dateid01,g,u,man,ser,man_wt,ser_wt
1999-01-01,2.6,5.7345,-0.371,5.4612,0.3148,0.6852
1999-04-01,3.07,5.4666,-7.8179,4.9455,0.2952,0.7048
1999-07-01,4.26,6.0403,6.7586,0.4357,0.2744,0.7256
1999-10-01,6.22,5.8288,9.4116,0.711,0.2542,0.7458
2000-01-01,4.79,5.8204,5.682,6.1324,0.3139,0.6861
2000-04-01,5.44,4.99,6.5905,0.3246,0.308,0.692
2000-07-01,9.3,5.024,15.4458,3.2831,0.2972,0.7028
2000-10-01,5.52,4.9935,28.8259,-2.3527,0.3102,0.6898
2001-01-01,1.6935,4.9594,-9.6276,4.1488,0.2842,0.7158
2001-04-01,-1.3556,4.496,-8.2862,4.1845,0.2815,0.7185
2001-07-01,2.0269,4.7938,-12.6,7.5302,0.2557,0.7443
2001-10-01,-2.2367,5.1229,-15.1446,0.8858,0.2745,0.7255
2002-01-01,4.5465,5.3324,4.4843,4.7464,0.2837,0.7163
2002-04-01,1.9619,4.9076,-0.1958,-0.1832,0.2815,0.7185
2002-07-01,1.1664,5.1461,6.5226,-1.629,0.2712,0.7288
2002-10-01,2.3057,5.1797,6.7389,3.1073,0.2814,0.7186
2003-01-01,-0.863,5.1908,-1.9763,0.9219,0.2778,0.7222
2003-04-01,-0.6653,4.9667,-4.5965,1.0597,0.27,0.73
2003-07-01,0.6439,5.4386,-5.6469,4.2156,0.252,0.748
2003-10-01,3.6434,5.6346,2.4415,1.6271,0.283,0.717
2004-01-01,1.6159,5.7848,-5.5931,0.2044,0.266,0.734
2004-04-01,-1.5505,5.4362,-11.6839,1.8455,0.2428,0.7572
2004-07-01,-0.4683,5.5518,-13.47,1.2465,0.2236,0.7764
2004-10-01,-0.6065,5.5562,-8.0276,1.2493,0.2639,0.7361
2005-01-01,0.1803,5.5065,-5.9244,3.2947,0.2481,0.7519
2005-04-01,5.1623,4.7538,1.0736,4.09,0.2375,0.7625
2005-07-01,4.0008,4.9018,6.8301,0.9546,0.2335,0.7665
2005-10-01,4.7977,5.0537,0.7015,5.7512,0.2546,0.7454
2006-01-01,4.261,5.2476,-0.2665,4.932,0.2388,0.7612
2006-04-01,2.7637,4.7907,2.2107,2.5026,0.2369,0.7631
2006-07-01,2.5157,4.851,-0.3156,4.3667,0.2254,0.7746
2006-10-01,1.001,4.8543,4.5061,1.2128,0.2607,0.7393
2007-01-01,5.8351,4.7425,9.4244,5.8455,0.2449,0.7551
2007-04-01,2.8269,4.2572,2.9371,3.8331,0.2354,0.7646
2007-07-01,3.9298,4.4225,2.2154,5.1117,0.2206,0.7794
2007-10-01,3.8134,4.1349,-3.544,5.0842,0.2445,0.7555
2008-01-01,2.5873,4.0978,1.6639,4.9469,0.239,0.761
2008-04-01,5.2521,3.857,6.2166,7.0314,0.234,0.766
2008-07-01,4.9632,3.9965,4.1674,5.8758,0.2178,0.7822
2008-10-01,2.6599,4.1958,4.0944,2.2999,0.2477,0.7523
2009-01-01,-2.8713,4.6526,-3.7465,-3.1062,0.2378,0.7622
2009-04-01,-4.2916,4.7618,-11.8711,-3.1061,0.2174,0.7826
2009-07-01,-4.1982,4.9252,-9.1866,-3.1549,0.207,0.793
2009-10-01,0.1425,5.0484,-10.3154,2.0319,0.2245,0.7755
2010-01-01,4.4081,4.9611,-3.6722,5.7133,0.2214,0.7786
2010-04-01,3.5293,4.4283,5.3896,5.8655,0.2167,0.7833
2010-07-01,3.8545,4.3156,5.7087,5.1691,0.2079,0.7921
2010-10-01,4.3766,4.2884,0.4991,4.2872,0.2181,0.7819
2011-01-01,3.1495,4.3092,2.2359,4.3483,0.2179,0.7821
2011-04-01,2.371,3.975,-6.6035,2.3779,0.2015,0.7985
2011-07-01,1.4383,4.1648,-10.7867,2.1957,0.1864,0.8136
2011-10-01,-0.4322,4.1944,-9.2886,3.0694,0.1971,0.8029
2012-01-01,-0.9948,4.4066,-15.3955,1.6236,0.1883,0.8117
2012-04-01,1.0324,4.2318,-5.7313,2.6886,0.1881,0.8119
2012-07-01,1.467,4.3106,0.065,3.2142,0.1817,0.8183
2012-10-01,1.4941,4.2629,3.2027,3.2188,0.1971,0.8029
