sold,date_auctn,years_old,rpremium,rhammer,rlow,rhigh,ravg,artist,medium,height,width,inchsq,signed,creation,age,yob,date,trend,da1,da2,da3,da4,da5,da6,da8,dm0,dm1,dm2,dm3,dm4,dm5,dm6,dm7,dm8,dm9,drec,d8791,d9296,d9700,d0104,d0508
1,2008.75,104.75,0.21658,0.17327,0.18277,0.27416,0.22846,1,7,8.0,10.13,81.04,1,1904,39,1865,2008.09,7926,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,2008.42,101.42,,,55.73515,83.60272,69.66893,1,2,21.2,15.5,328.6,1,1907,42,1865,2008.05,7812,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0,2007.92,105.92,,,7.11541,11.85902,9.48722,1,2,8.0,10.0,80.0,1,1902,37,1865,2007.11,7638,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007.92,86.92,285.09084,254.54539,237.1804,332.05256,284.61648,1,2,24.0,20.0,480.0,1,1921,56,1865,2007.11,7638,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007.92,84.92,364.78345,325.69951,142.30824,237.1804,189.74432,1,2,32.2,26.2,843.64,1,1923,58,1865,2007.11,7610,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007.92,82.92,187.84688,156.53906,47.43608,71.15412,59.2951,1,2,41.0,33.0,1353.0,1,1925,60,1865,2007.11,7637,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007.75,93.75,17.9309,14.94241,9.59384,14.39077,11.99231,1,2,9.0,10.75,96.75,1,1914,49,1865,2007.09,7571,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007.75,98.75,0.57563,0.4605,0.95938,1.43908,1.19923,1,2,12.75,15.5,197.625,1,1909,44,1865,2007.09,7563,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007.5,92.5,1.27134,1.05945,0.48157,0.72235,0.60196,1,7,13.0,10.5,136.5,1,1915,50,1865,2007.06,7463,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,2007.42,105.42,,,12.08821,16.9235,14.50586,1,2,26.0,32.2,837.2,0,1902,37,1865,2007.05,7449,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
