sold,date_auctn,years_old,rhammer,inchsq,signed,creation,age,yob,drec
1,2008.75,104.75,0.17327,81.04,1,1904,39,1865,1
0,2008.42,101.42,,328.6,1,1907,42,1865,1
0,2007.92,105.92,,80.0,1,1902,37,1865,0
1,2007.92,86.92,254.54539,480.0,1,1921,56,1865,0
1,2007.92,84.92,325.69951,843.64,1,1923,58,1865,0
1,2007.92,82.92,156.53906,1353.0,1,1925,60,1865,0
1,2007.75,93.75,14.94241,96.75,1,1914,49,1865,0
1,2007.75,98.75,0.4605,197.625,1,1909,44,1865,0
1,2007.5,92.5,1.05945,136.5,1,1915,50,1865,0
0,2007.42,105.42,,837.2,0,1902,37,1865,0
1,2007.42,83.42,227.04821,480.0,1,1924,59,1865,0
1,2007.42,81.42,186.68408,462.95,1,1926,61,1865,0
1,2007.42,95.42,47.9324,480.0,1,1912,47,1865,0
1,2007.42,92.42,40.36413,480.0,1,1915,50,1865,0
1,2007.42,109.42,32.79585,826.575,0,1898,33,1865,0
1,2007.33,81.33,0.67958,188.0,1,1926,61,1865,0
1,2006.92,91.92,87.81748,480.0,1,1915,50,1865,0
1,2006.92,108.92,33.57727,57.04,1,1898,33,1865,0
1,2006.92,82.92,194.92036,480.0,1,1924,59,1865,0
1,2006.5,108.5,19.82161,492.0,1,1898,33,1865,0
1,2006.42,93.42,147.217,480.0,1,1913,48,1865,0
1,2006.42,91.42,31.10218,480.0,1,1915,50,1865,0
1,2006.42,107.42,8.81229,854.4,1,1899,34,1865,0
1,2005.92,104.92,10.53486,57.66,1,1901,36,1865,0
1,2005.75,99.75,9.97288,838.4,0,1906,41,1865,0
1,2005.42,93.42,0.32197,134.0,1,1912,47,1865,0
1,2005.25,93.25,0.23822,132.0,1,1912,47,1865,0
1,2005.0,79.0,206.61813,480.0,1,1926,61,1865,0
1,2005.0,91.0,161.12132,480.0,1,1914,49,1865,0
0,2004.42,98.42,,617.05,0,1906,41,1865,0
0,2004.42,98.42,,838.4,0,1906,41,1865,0
1,2004.0,111.0,23.52748,440.44,0,1893,28,1865,0
1,2003.83,104.83,8.8046,24.4,1,1899,34,1865,0
1,2003.5,109.5,2.82359,54.0,0,1894,29,1865,0
1,2003.42,81.42,465.23187,480.0,1,1922,57,1865,0
1,2003.42,85.42,7.98726,246.25,1,1918,53,1865,0
1,2003.42,85.42,13.40718,240.0,1,1918,53,1865,0
0,2002.92,114.92,,35.0,1,1888,23,1865,0
1,2002.42,85.42,23.15611,400.4,1,1917,52,1865,0
0,2002.33,84.33,,832.0,1,1918,53,1865,0
1,2001.92,73.92,31.66197,568.83,1,1928,63,1865,1
1,2001.25,98.25,10.56938,45.6,1,1903,38,1865,1
1,2000.92,93.92,26.39645,288.0,1,1907,42,1865,0
0,2000.0,81.0,,480.0,1,1919,54,1865,0
1,2000.0,85.0,60.58811,480.0,1,1915,50,1865,0
1,1999.83,81.83,8.92326,250.0,1,1918,53,1865,0
1,1999.42,83.42,136.91128,480.0,1,1916,51,1865,0
1,1999.25,93.25,2.12379,28.8,1,1906,41,1865,0
1,1999.25,97.25,16.68953,832.0,1,1902,37,1865,0
1,1998.42,73.42,69.04842,480.0,1,1925,60,1865,0
0,1998.42,71.42,,564.81,1,1927,62,1865,0
0,1998.33,73.33,,832.0,1,1925,60,1865,0
1,1998.33,99.33,24.66091,891.0,1,1899,34,1865,0
0,1998.0,79.0,,480.0,1,1919,54,1865,0
0,1998.0,89.0,,2849.0,1,1909,44,1865,0
1,1997.0,86.0,89.42346,2849.0,1,1911,46,1865,0
1,1997.0,71.0,20.74167,2430.0,1,1926,61,1865,0
1,1996.42,86.42,22.37852,484.0,1,1910,45,1865,0
1,1996.25,95.25,11.57556,149.1,1,1901,36,1865,0
1,1996.25,85.25,7.07395,175.5,1,1911,46,1865,0
1,1995.75,71.75,0.31238,24.05,1,1924,59,1865,0
0,1996.75,98.75,,832.0,1,1898,33,1865,0
0,1995.0,71.0,,832.0,1,1924,59,1865,0
0,1995.0,85.0,,838.4,1,1910,45,1865,0
1,1994.42,98.42,7.45763,30.15,1,1896,31,1865,0
1,1994.0,70.0,80.15908,491.26,1,1924,59,1865,0
1,1994.0,66.0,63.0709,560.0,1,1928,63,1865,0
1,1993.75,91.75,5.83988,80.0,1,1902,37,1865,0
1,1993.42,65.42,74.39163,562.8,1,1928,63,1865,0
1,1993.42,79.42,209.62048,1353.0,1,1914,49,1865,0
1,1993.0,69.0,221.36332,480.0,1,1924,59,1865,0
1,1993.0,72.0,63.24666,496.8,1,1921,56,1865,0
1,1993.0,90.0,15.4603,285.0,0,1903,38,1865,0
1,1993.0,69.0,62.22449,837.2,1,1924,59,1865,0
1,1993.0,68.0,2.51618,192.0,1,1925,60,1865,0
0,1992.0,86.0,,3300.04,1,1906,41,1865,0
1,1992.0,80.0,68.74096,832.0,1,1912,47,1865,0
1,1990.42,91.42,15.49187,832.0,1,1899,34,1865,0
1,1987.42,97.42,12.38938,160.14,1,1890,25,1865,0
1,1987.42,96.42,11.50442,187.46,1,1891,26,1865,0
1,1987.42,96.42,44.24779,164.85,1,1891,26,1865,0
