state,income,bachelor
Alabama ,33.768,22.0
Alaska ,44.039,27.3
Arizona ,34.335,25.1
Arkansas ,32.397,18.8
California ,43.641,29.6
Colorado ,42.985,35.6
Connecticut ,56.272,35.6
Delaware ,40.519,27.5
District of Columbia,66.119,48.2
Florida ,39.267,25.8
Georgia ,34.893,27.5
Hawaii ,42.055,29.1
Idaho ,33.074,24.0
Illinois ,42.347,29.9
Indiana ,34.605,22.9
Iowa ,37.402,24.3
Kansas ,38.82,29.6
Kentucky ,32.076,19.7
Louisiana ,36.424,20.3
Maine ,36.457,25.4
Maryland ,48.378,35.2
Massachusetts ,51.254,38.1
Michigan ,34.949,24.7
Minnesota ,43.037,31.5
Mississippi ,30.399,19.4
Missouri ,36.631,25.0
Montana ,34.644,27.1
Nebraska ,39.15,27.1
Nevada ,41.182,21.9
New Hampshire ,43.623,33.3
New Jersey ,51.358,34.4
New Mexico ,33.43,24.7
New York ,48.753,31.9
North Carolina ,35.344,26.1
North Dakota ,39.87,26.9
Ohio ,36.021,24.1
Oklahoma ,35.985,22.2
Oregon ,36.297,28.1
Pennsylvania ,40.14,26.3
Rhode Island ,41.368,30.0
South Carolina ,32.666,23.7
South Dakota ,38.661,25.1
Tennessee ,34.976,22.9
Texas ,37.774,25.3
Utah ,31.944,29.1
Vermont ,38.686,32.1
Virginia ,44.224,33.7
Washington ,42.857,30.7
West Virginia ,31.641,17.1
Wisconsin ,37.767,25.7
Wyoming ,48.608,23.6
