dateid01,gap,fngap,inf,infex,t
1990-01-01,2.701,0.923,5.414,5.021,1
1990-04-01,2.0,0.479,4.695,5.059,2
1990-07-01,1.042,-0.245,4.167,5.303,3
1990-10-01,-0.073,-1.141,4.9,5.739,4
1991-01-01,-1.702,-2.56,6.495,6.071,5
1991-04-01,-1.634,-2.311,6.129,5.344,6
1991-07-01,-1.578,-2.087,5.778,4.775,7
1991-10-01,-1.711,-2.077,4.088,4.046,8
1992-01-01,-1.969,-2.211,1.56,2.613,9
1992-04-01,-2.057,-2.187,1.408,2.336,10
1992-07-01,-1.975,-2.001,1.261,2.237,11
1992-10-01,-2.002,-1.935,1.823,2.093,12
1993-01-01,-1.681,-1.529,2.095,2.295,13
1993-04-01,-1.339,-1.11,1.806,2.311,14
1993-07-01,-0.932,-0.635,1.798,2.218,15
1993-10-01,-1.026,-0.669,1.791,1.938,16
1994-01-01,-0.199,0.215,0.547,1.867,17
1994-04-01,0.597,1.066,0.0,0.944,18
1994-07-01,1.335,1.852,0.136,1.063,19
1994-10-01,1.341,1.904,0.0,1.362,20
1995-01-01,1.535,2.154,1.497,1.771,21
1995-04-01,0.79,1.478,2.592,2.22,22
1995-07-01,0.171,0.948,2.307,2.438,23
1995-10-01,-0.252,0.638,2.03,2.273,24
1996-01-01,-1.075,-0.063,1.475,1.713,25
1996-04-01,-1.274,-0.126,1.463,1.598,26
1996-07-01,-1.042,0.252,1.326,1.713,27
1996-10-01,-1.015,0.416,1.989,1.623,28
1997-01-01,-0.946,0.614,2.114,1.714,29
1997-04-01,-0.768,0.915,1.704,1.888,30
1997-07-01,-0.451,1.351,1.832,1.973,31
1997-10-01,-0.415,1.492,1.04,1.918,32
1998-01-01,0.013,2.024,1.035,1.443,33
1998-04-01,-0.749,1.336,0.902,1.437,34
1998-07-01,-0.858,1.306,0.771,1.45,35
1998-10-01,-0.486,1.763,1.158,1.502,36
1999-01-01,0.064,2.386,0.768,1.438,37
1999-04-01,0.065,2.426,1.66,1.247,38
1999-07-01,0.498,2.889,2.168,1.509,39
1999-10-01,1.028,3.438,2.29,1.878,40
2000-01-01,1.483,3.892,2.668,2.193,41
2000-04-01,1.881,4.275,2.387,2.285,42
2000-07-01,2.115,4.484,2.747,2.26,43
2000-10-01,1.477,3.801,3.109,2.5,44
2001-01-01,0.914,3.203,2.847,2.415,45
2001-04-01,0.442,2.711,3.681,2.364,46
2001-07-01,-0.376,1.873,2.673,2.475,47
2001-10-01,-0.562,1.685,1.086,2.194,48
2002-01-01,-0.1,2.159,1.444,1.187,49
2002-04-01,-0.201,2.05,1.302,1.539,50
2002-07-01,-0.024,2.215,2.367,1.963,51
2002-10-01,-0.097,2.126,3.699,2.354,52
2003-01-01,-0.3,1.903,4.508,2.447,53
2003-04-01,-1.029,1.146,2.804,2.773,54
2003-07-01,-1.292,0.869,2.081,2.376,55
2003-10-01,-1.126,1.033,1.841,1.9,56
2004-01-01,-1.122,1.022,0.908,1.488,57
2004-04-01,-0.579,1.551,2.159,1.53,58
2004-07-01,-0.014,2.089,2.039,1.894,59
2004-10-01,-0.014,2.034,2.26,2.014,60
2005-01-01,-0.233,1.748,2.137,1.894,61
2005-04-01,-0.087,1.829,1.891,1.929,62
2005-07-01,0.628,2.484,2.553,2.014,63
2005-10-01,1.016,2.791,2.21,2.312,64
2006-01-01,1.378,3.061,2.423,2.188,65
2006-04-01,0.938,2.509,2.62,1.784,66
2006-07-01,0.7,2.164,1.732,1.97,67
2006-10-01,0.686,2.05,1.405,1.892,68
2007-01-01,0.839,2.103,1.72,1.674,69
2007-04-01,1.311,2.475,2.234,1.917,70
2007-07-01,1.588,2.645,2.234,2.313,71
2007-10-01,1.547,2.493,2.345,2.137,72
2008-01-01,1.234,2.074,1.797,1.593,73
2008-04-01,1.431,2.185,2.289,1.783,74
2008-07-01,1.806,2.493,3.33,2.233,75
2008-10-01,0.399,1.026,1.979,2.3,76
2009-01-01,-2.145,-1.557,1.246,0.74,77
2009-04-01,-3.328,-2.732,0.102,0.613,78
2009-07-01,-3.136,-2.5,-0.806,1.138,79
2009-10-01,-2.251,-1.577,0.715,1.412,80
2010-01-01,-1.285,-0.593,1.641,1.72,81
2010-04-01,-1.025,-0.339,1.321,1.935,82
2010-07-01,-0.965,-0.297,1.827,2.084,83
2010-10-01,-0.336,0.32,2.333,1.96,84
2011-01-01,-0.009,0.634,2.624,2.119,85
2011-04-01,-0.481,0.142,3.41,2.283,86
2011-07-01,0.641,1.259,2.991,2.553,87
2011-10-01,0.743,1.356,2.676,2.159,88
2012-01-01,0.468,1.07,2.36,1.993,89
2012-04-01,0.381,0.982,1.552,2.062,90
2012-07-01,0.041,0.651,1.258,1.955,91
2012-10-01,-0.306,0.317,0.965,1.903,92
2013-01-01,-0.039,0.603,0.865,1.753,93
2013-04-01,-0.075,0.583,0.764,1.493,94
2013-07-01,0.054,0.72,1.147,1.4,95
2013-10-01,0.24,0.909,0.86,1.625,96
2014-01-01,-0.035,0.627,1.429,1.5,97
2014-04-01,0.285,0.936,2.275,1.7,98
2014-07-01,0.552,1.187,2.079,2.0,99
2014-10-01,0.578,1.186,1.991,1.925,100
