date,time,ge,ibm,ford,msft,dis,xom,mkt,riskfree
30JAN1998,1,0.056218,-0.056153,0.058842,0.154255,0.080884,-0.030644,0.004502,0.00447963
27FEB1998,2,0.003226,0.05962,0.109069,0.136154,0.047368,0.081728,0.073303,0.00447963
31MAR1998,3,0.112379,-0.005386,0.145856,0.056047,-0.046343,0.060784,0.051301,0.00451929
30APR1998,4,-0.011603,0.115523,0.086181,0.006983,0.168337,0.080407,0.010903,0.00450343
29MAY1998,5,-0.021277,0.015922,0.132333,-0.058946,-0.090818,-0.029461,-0.025748,0.00448757
30JUN1998,6,0.089955,-0.022872,0.137349,0.277819,-0.072296,0.012411,0.031939,0.0044955
31JUL1998,7,-0.012517,0.154056,-0.02678,0.014418,-0.015158,-0.015762,-0.023368,0.00447963
31AUG1998,8,-0.105521,-0.14834,-0.217105,-0.127345,-0.203267,-0.062669,-0.15784,0.00447963
30SEP1998,9,-0.001719,0.140954,0.053221,0.147231,-0.075171,0.079274,0.063828,0.00441614
30OCT1998,10,0.099764,0.155642,0.164043,-0.038047,0.063645,0.014159,0.074393,0.00424132
30NOV1998,11,0.032857,0.113434,0.014977,0.152302,0.194896,0.052845,0.062024,0.00417766
31DEC1998,12,0.132503,0.116578,0.065834,0.136783,-0.067961,-0.025,0.063051,0.0044082
29JAN1999,13,0.028186,-0.006102,0.054696,0.26183,0.1,-0.039316,0.038456,0.00396249
26FEB1999,14,-0.043504,-0.072469,-0.034588,-0.142143,0.066288,-0.046655,-0.038085,0.00392259
31MAR1999,15,0.106293,0.044183,-0.044257,0.194005,-0.115453,0.060094,0.037932,0.00392259
30APR1999,16,-0.047458,0.180183,0.136009,-0.092748,0.02008,0.177148,0.049105,0.00391461
28MAY1999,17,-0.034994,0.1102,-0.106549,-0.007686,-0.082677,-0.033439,-0.020709,0.00389864
30JUN1999,18,0.111248,0.114224,-0.012035,0.117738,0.05794,-0.034429,0.05082,0.00401833
30JUL1999,19,-0.032301,-0.027563,-0.132492,-0.04851,-0.105477,0.029173,-0.030716,0.00412989
31AUG1999,20,0.03039,-0.007996,0.074742,0.07866,0.006803,-0.001134,-0.009987,0.00423336
30SEP1999,21,0.058765,-0.0286,-0.035971,-0.021607,-0.063063,-0.03645,-0.022846,0.00432082
29OCT1999,22,0.142857,-0.188017,0.10199,0.022084,0.019231,-0.025493,0.062147,0.00432877
30NOV1999,23,-0.039668,0.050204,-0.079727,-0.016374,0.059811,0.076827,0.036823,0.00446376
31DEC1999,24,0.192392,0.046695,0.055693,0.282306,0.049327,0.01576,0.083758,0.00510424
31JAN2000,25,-0.136511,0.040556,-0.057444,-0.16167,0.241453,0.035687,-0.039612,0.00463817
29FEB2000,26,-0.009355,-0.083563,-0.163317,-0.086845,-0.077453,-0.092105,0.03182,0.00470942
31MAR2000,27,0.178735,0.148418,0.103604,0.188811,0.231343,0.034855,0.053526,0.00484385
28APR2000,28,0.010442,-0.055085,0.202449,-0.343529,0.05,-0.003208,-0.059529,0.00492283
31MAY2000,29,0.005167,-0.03583,-0.113014,-0.103047,-0.031746,0.078069,-0.038967,0.00523809
30JUN2000,30,0.005931,0.020373,-0.077691,0.278721,-0.074516,-0.057764,0.051591,0.0053246
31JUL2000,31,-0.026903,0.026241,0.094477,-0.127344,-0.003221,0.019108,-0.017106,0.00529315
31AUG2000,32,0.140948,0.175142,-0.100419,0.0,0.006462,0.025812,0.07591,0.00528529
29SEP2000,33,-0.014711,-0.147727,0.046512,-0.136079,-0.017657,0.091884,-0.051054,0.00529315
31OCT2000,34,-0.049837,-0.124444,0.043951,0.141969,-0.063725,0.000701,-0.024597,0.00528529
30NOV2000,35,-0.095781,-0.049442,-0.129187,-0.166969,-0.191972,-0.008381,-0.102492,0.00529315
29DEC2000,36,-0.029559,-0.090909,0.03022,-0.244009,0.007257,-0.012074,0.020402,0.0053246
31JAN2001,37,-0.040834,0.317647,0.215573,0.407781,0.052268,-0.032063,0.039499,0.0047015
28FEB2001,38,0.011309,-0.106875,-0.01348,-0.033777,0.01642,-0.03161,-0.099263,0.00442408
30MAR2001,39,-0.096344,-0.037237,0.011147,-0.073093,-0.075929,-0.000617,-0.07026,0.00412192
30APR2001,40,0.159341,0.19713,0.059033,0.238857,0.057692,0.093827,0.083832,0.00388267
31MAY2001,41,0.009685,-0.027792,-0.174016,0.021107,0.045289,0.006659,0.010576,0.00333803
29JUN2001,42,-0.005102,0.010733,0.008214,0.055218,-0.086338,-0.015549,-0.017464,0.00313697
