id,year,month,count,occasion,advanced,alcbev,appar,college,entert,food,foodaway,health,hsplus,income,midwest,nohs,northeast,older,read,rural,smsa,south,west
251162,2013,1,1,1,0,6.67,27.78,1,38.0,108.33,115.56,74.56,0,50.0,0,0,0,0,4.44,0,1,0,1
251210,2013,1,1,1,0,1.67,107.56,1,20.33,195.33,78.89,55.56,0,89.17,0,0,0,0,7.78,0,1,0,1
251214,2013,1,1,1,0,0.0,0.0,0,27.22,37.78,20.0,195.67,1,53.81,1,0,0,0,4.44,0,1,0,0
251247,2013,1,1,1,0,0.0,0.0,1,31.67,187.78,23.11,146.22,0,45.22,1,0,0,0,0.78,0,1,0,0
251271,2013,1,1,1,0,36.67,220.89,0,305.44,72.22,130.0,240.27,1,69.83,0,0,0,1,28.22,0,1,1,0
251326,2013,1,1,1,0,20.0,31.44,0,195.67,260.0,144.44,26.67,1,94.17,0,0,0,0,0.0,0,1,0,1
251359,2013,1,1,1,0,0.0,58.89,1,122.56,72.22,144.44,121.56,0,74.88,0,0,0,0,0.0,0,1,1,0
251361,2013,1,1,1,0,0.0,14.44,1,48.33,195.0,43.33,277.86,0,70.89,1,0,0,1,0.0,1,0,0,0
251382,2013,1,1,1,0,0.0,0.0,0,94.89,187.78,0.0,294.44,1,51.17,0,0,0,0,8.33,0,1,1,0
251396,2013,1,1,1,0,0.0,6.11,0,128.0,195.0,28.89,34.0,1,57.19,0,0,0,0,2.22,0,1,1,0
251419,2013,1,1,1,0,0.0,56.67,0,121.78,216.67,80.0,5.0,1,66.95,1,0,0,0,0.0,1,0,0,0
251498,2013,1,1,1,0,0.0,14.67,0,91.33,166.11,10.67,119.89,1,26.43,0,0,0,0,1.11,1,1,1,0
251505,2013,1,1,1,1,108.89,76.44,0,124.89,274.44,167.78,185.22,0,186.79,0,0,0,0,11.89,0,1,1,0
251507,2013,1,1,1,0,0.0,26.67,1,125.11,122.78,265.56,0.0,0,101.19,0,0,1,0,8.33,0,1,0,0
251560,2013,1,1,1,0,0.0,33.56,1,203.67,162.78,344.44,286.38,0,90.41,0,0,1,1,0.0,0,1,0,0
251617,2013,1,1,1,0,0.0,0.0,0,0.0,130.0,0.0,0.0,1,36.44,0,0,0,0,0.0,0,1,1,0
251623,2013,1,1,1,0,16.67,35.44,1,91.33,173.33,183.33,111.33,0,18.73,0,0,1,0,5.78,0,1,0,0
251662,2013,1,1,1,0,0.0,33.33,0,24.67,122.78,101.11,0.0,1,10.0,0,0,0,0,0.0,0,1,1,0
251689,2013,1,1,1,0,0.0,0.0,0,2.22,115.56,27.78,80.0,1,56.15,1,0,0,0,0.0,1,0,0,0
251707,2013,1,1,1,0,3.78,162.67,1,314.78,266.0,199.0,221.44,0,179.94,0,0,0,0,11.0,0,1,1,0
251713,2013,1,1,1,0,0.0,2.44,0,8.0,43.33,7.22,0.0,1,19.88,0,0,0,0,3.33,0,1,0,1
251735,2013,1,1,1,0,15.56,30.11,0,58.89,101.11,134.89,63.56,1,83.33,0,0,0,0,5.44,0,1,1,0
251745,2013,1,1,1,0,0.0,0.0,0,59.33,158.89,0.0,39.97,1,14.37,0,0,0,1,0.0,0,1,0,1
251750,2013,1,1,1,1,13.33,42.78,0,67.33,158.89,28.89,130.89,0,72.63,1,0,0,0,0.0,0,1,0,0
251758,2013,1,1,1,0,6.67,277.22,1,68.89,225.56,66.11,403.86,0,79.53,0,0,0,1,13.44,0,1,1,0
251775,2013,1,1,1,0,3.33,11.11,0,79.22,173.33,28.89,144.44,1,59.21,0,0,0,0,0.0,0,1,1,0
251780,2013,1,1,1,0,0.0,65.56,1,62.11,158.89,31.44,243.78,0,66.85,0,0,0,0,3.56,0,1,1,0
251825,2013,1,1,1,0,0.0,20.78,1,33.33,172.11,28.89,46.78,0,57.83,0,0,1,0,0.0,0,1,0,0
251845,2013,1,1,1,0,13.33,47.22,1,93.0,122.78,72.22,111.11,0,55.42,0,0,0,0,0.0,0,1,0,1
251902,2013,1,1,1,0,0.0,36.0,0,39.56,324.22,64.11,52.44,1,73.98,0,0,1,0,4.67,0,1,0,0
251904,2013,1,1,1,0,13.33,0.0,0,49.22,72.22,57.78,75.0,1,35.9,0,0,0,0,0.0,0,1,1,0
251926,2013,1,1,1,1,50.0,61.11,0,162.33,462.22,144.44,61.67,0,66.47,0,0,0,0,33.33,0,1,1,0
251959,2013,1,1,1,1,0.0,0.0,0,40.0,144.44,0.0,96.16,0,56.62,0,0,0,1,0.0,0,1,1,0
251992,2013,1,1,1,0,0.0,6.33,1,37.44,122.78,28.89,5.0,0,98.2,0,0,0,0,23.89,0,1,0,1
252025,2013,1,1,1,0,0.0,2.78,0,0.0,166.11,0.0,0.0,1,37.0,0,0,0,0,0.0,0,0,1,0
252090,2013,1,1,1,0,0.0,0.0,0,61.67,101.11,14.44,1.11,1,55.04,0,0,0,0,0.0,1,0,1,0
252091,2013,1,1,1,0,0.0,15.0,1,16.67,158.89,144.44,74.38,0,52.03,0,0,0,1,0.0,0,1,1,0
252112,2013,1,1,1,0,21.67,73.33,0,61.11,187.44,153.33,124.49,1,66.95,1,0,0,1,0.0,0,1,0,0
252113,2013,1,1,1,0,0.0,11.11,1,73.44,86.67,14.44,58.0,0,83.54,1,0,0,0,0.0,0,1,0,0
252117,2013,1,1,1,0,0.0,51.78,0,88.22,187.78,57.78,13.56,1,58.9,0,0,0,0,8.22,0,0,1,0
252146,2013,1,1,1,0,0.0,18.33,1,156.11,274.44,21.67,563.52,0,81.43,0,0,0,0,1.11,1,0,0,1
252163,2013,1,1,1,0,0.0,88.11,1,173.11,137.22,22.22,204.89,0,82.52,0,0,0,0,8.33,0,1,0,1
252224,2013,1,1,1,0,0.0,27.78,0,74.11,108.33,0.0,51.67,1,70.83,0,0,0,0,0.0,0,1,1,0
252244,2013,1,1,1,1,13.33,59.89,0,131.22,130.0,41.11,253.33,0,100.09,1,0,0,0,10.67,0,1,0,0
252264,2013,1,1,1,1,16.67,116.67,0,253.22,144.44,141.67,119.11,0,67.5,1,0,0,0,44.44,0,1,0,0
252317,2013,2,1,1,0,26.67,57.37,1,195.96,192.59,28.89,33.04,0,100.93,0,0,1,0,0.0,0,1,0,0
252324,2013,2,1,1,1,2.22,41.89,0,152.0,240.74,122.0,65.78,0,179.29,1,0,0,0,0.0,0,1,0,0
252336,2013,2,1,1,0,8.89,3.7,0,21.48,48.15,24.07,0.0,1,19.64,0,0,0,0,0.0,0,1,1,0
252367,2013,2,1,1,1,0.0,83.0,0,118.67,192.59,137.7,303.85,0,142.42,0,0,0,0,15.56,0,1,0,1
252409,2013,2,1,1,0,0.0,50.67,0,38.78,154.07,120.37,0.0,1,31.75,0,0,0,0,4.67,0,0,1,0
252413,2013,2,1,1,1,0.0,41.11,0,102.96,192.59,14.44,135.56,0,108.33,0,0,1,0,0.0,0,1,0,0
252436,2013,2,1,1,0,0.0,135.56,1,109.0,269.63,52.96,137.78,0,68.56,0,0,0,0,4.44,0,1,0,1
252544,2013,2,1,1,1,5.56,35.19,0,23.33,77.04,116.85,67.59,0,91.67,0,0,0,0,7.48,0,1,1,0
252584,2013,2,1,1,0,0.0,0.0,0,0.74,77.04,9.63,111.09,1,41.02,1,0,0,0,0.0,0,0,0,0
252602,2013,2,1,1,0,0.0,0.0,1,21.33,77.04,9.63,22.2,0,32.87,0,0,0,1,0.0,1,0,1,0
252618,2013,2,1,1,1,0.0,75.56,0,83.04,125.19,48.15,168.89,0,101.43,0,0,0,0,14.07,0,1,0,1
252650,2013,2,1,1,0,0.0,8.33,0,12.0,52.96,24.07,49.96,0,13.59,0,1,0,1,0.0,0,1,0,1
252701,2013,2,1,1,0,0.0,39.0,0,41.15,105.93,48.15,23.09,1,46.45,1,0,0,0,2.15,0,1,0,0
252713,2013,2,1,1,0,0.0,277.78,1,35.56,86.67,77.04,28.89,0,94.27,1,0,0,0,0.0,0,1,0,0
252751,2013,2,1,1,0,22.22,58.33,0,38.85,139.63,62.0,51.07,1,65.25,0,0,0,0,0.0,0,1,1,0
252817,2013,2,1,1,0,0.0,31.11,0,11.85,52.96,37.04,96.67,1,86.0,0,0,1,0,0.0,0,1,0,0
252824,2013,2,1,1,0,0.0,4.26,0,11.56,79.93,19.26,44.87,1,12.52,1,0,0,0,0.0,0,1,0,0
252828,2013,2,1,1,0,0.0,0.0,1,22.22,125.19,24.07,34.96,0,82.02,0,0,1,0,0.0,0,1,0,0
252859,2013,2,1,1,0,0.0,250.89,0,32.07,86.67,96.3,241.67,1,124.94,1,0,0,0,1.85,0,1,0,0
252913,2013,2,1,1,0,4.44,32.22,1,59.11,115.56,19.26,25.22,0,96.67,0,0,0,0,3.19,0,1,1,0
252939,2013,2,1,1,0,0.0,22.22,0,51.11,62.59,38.52,72.0,1,35.49,1,0,0,0,0.0,0,1,0,0
252941,2013,2,1,1,0,0.0,13.33,1,52.0,30.0,23.7,91.07,0,53.95,1,0,0,1,0.0,0,1,0,0
252976,2013,2,1,1,0,11.11,44.44,1,70.37,91.48,7.7,87.7,0,91.68,1,0,0,0,8.15,0,1,0,0
252977,2013,2,1,1,0,0.0,2.22,0,0.0,48.15,4.81,22.2,1,31.09,1,0,0,1,0.0,0,1,0,0
252985,2013,2,1,1,1,13.33,32.56,0,82.67,48.15,19.26,2.22,0,27.68,0,0,0,0,0.0,0,1,0,1
253009,2013,2,1,1,1,0.0,15.93,0,25.78,84.07,99.63,74.22,0,53.47,0,0,1,0,35.19,0,1,0,0
253066,2013,2,1,1,1,20.0,45.78,0,32.22,96.3,19.26,0.0,0,53.62,1,0,0,0,0.0,0,1,0,0
253102,2013,2,1,1,0,22.22,113.0,1,106.78,96.3,87.04,77.41,0,129.18,1,0,0,0,0.0,0,0,0,0
253104,2013,2,1,1,0,0.0,60.56,0,105.04,130.0,62.59,40.93,1,179.16,0,0,0,0,6.89,0,1,0,1
253114,2013,2,1,1,1,0.0,0.0,0,28.33,192.59,72.22,103.33,0,137.58,0,0,0,0,14.81,0,1,1,0
253159,2013,2,1,1,0,0.0,35.44,1,25.56,101.11,48.15,32.22,0,46.16,0,0,0,1,3.33,0,1,1,0
253163,2013,2,1,1,1,11.11,34.22,0,40.81,182.96,47.41,78.81,0,112.14,0,0,0,0,10.67,1,1,1,0
253210,2013,2,1,1,0,0.0,0.0,0,17.78,105.11,0.0,0.0,1,18.12,0,0,0,0,0.0,0,1,1,0
253228,2013,2,1,1,0,0.0,2.22,1,72.48,238.81,0.0,60.74,0,199.53,0,0,0,0,10.96,0,1,1,0
253253,2013,2,1,1,0,0.0,2.22,1,18.67,86.67,19.26,81.11,0,166.67,0,0,1,0,0.0,0,1,0,0
253254,2013,2,1,1,0,0.0,53.0,1,86.7,182.96,96.3,0.0,0,98.51,0,0,0,0,0.0,0,1,1,0
253259,2013,2,1,1,0,1.22,48.22,0,80.56,144.44,46.89,239.09,1,30.09,0,0,0,0,0.0,1,0,1,0
253281,2013,2,1,1,0,13.33,6.3,0,93.33,33.7,57.78,88.44,1,94.01,1,0,0,0,0.0,0,1,0,0
253311,2013,2,1,1,0,16.67,11.78,1,33.7,48.15,40.74,1.11,0,62.37,0,0,1,0,2.96,0,1,0,0
253318,2013,2,1,1,0,77.67,63.0,1,26.26,344.41,122.59,73.41,0,72.78,0,0,0,0,4.44,0,1,0,1
253327,2013,2,1,1,1,0.0,54.44,0,80.37,198.15,114.81,56.67,0,199.17,0,0,0,0,7.41,0,1,0,1
253352,2013,2,1,1,0,0.0,0.0,0,48.22,91.48,14.44,90.22,1,80.84,1,0,0,0,2.22,0,1,0,0
253408,2013,3,1,1,0,8.33,0.0,0,0.0,21.67,9.63,5.56,1,60.09,1,0,0,0,0.0,0,1,0,0
253418,2013,3,1,1,0,4.44,0.0,1,20.0,108.33,42.78,66.67,0,85.83,1,0,0,0,0.78,0,1,0,0
253422,2013,3,1,1,0,0.0,26.56,0,19.7,77.04,36.11,47.22,1,79.66,0,0,0,0,0.0,0,1,1,0
253495,2013,3,1,1,0,0.0,0.0,0,7.78,55.37,19.26,0.0,1,38.33,0,0,0,0,0.0,0,1,1,0
253500,2013,3,1,1,0,0.0,0.0,0,8.56,24.07,10.59,0.0,1,64.43,0,0,0,0,1.67,0,1,1,0
253525,2013,3,1,1,0,0.0,16.67,0,27.11,91.48,23.33,95.56,1,50.0,0,0,0,0,0.0,0,1,1,0
253528,2013,3,1,1,0,0.0,94.74,0,6.0,48.15,28.89,88.43,1,83.0,0,0,0,0,0.74,0,1,0,1
253533,2013,3,1,1,1,0.0,29.78,0,23.7,156.48,24.07,79.22,0,104.33,1,0,0,0,0.44,0,0,0,0
253537,2013,3,1,1,0,0.0,38.3,1,9.78,43.33,0.0,3.7,0,106.67,0,0,1,0,0.0,0,1,0,0
253555,2013,3,1,1,0,0.0,12.26,0,28.96,33.7,25.37,32.77,1,62.5,0,0,0,0,0.0,0,1,0,1
253559,2013,3,1,1,0,8.33,0.0,0,5.56,57.78,15.74,3.33,1,85.66,1,0,0,0,0.0,0,0,0,0
253572,2013,3,1,1,0,0.0,0.0,0,11.3,42.19,0.0,41.25,1,22.94,0,0,0,1,0.0,0,1,0,1
253593,2013,3,1,1,0,0.0,0.0,1,19.33,48.15,19.26,65.67,0,110.56,0,0,0,0,0.0,0,1,0,1
253595,2013,3,1,1,0,0.0,32.56,0,49.48,33.7,19.26,82.33,1,71.69,0,0,0,0,2.63,0,1,1,0
253632,2013,3,1,1,0,0.0,77.78,1,26.48,101.11,61.81,51.78,0,123.25,0,0,1,0,48.0,0,1,0,0
253649,2013,3,1,1,0,11.11,35.0,1,37.59,48.15,12.04,54.22,0,189.63,0,0,0,0,0.0,0,1,1,0
253652,2013,3,1,1,0,0.0,1.22,1,33.56,65.0,9.63,95.11,0,66.25,1,0,0,0,0.0,0,1,0,0
253701,2013,3,1,1,0,0.0,0.0,0,175.56,65.0,0.0,0.77,1,40.36,0,0,1,0,0.0,0,1,0,0
253756,2013,3,1,1,0,19.44,24.63,1,24.22,96.3,72.22,0.0,0,144.37,0,0,1,0,0.0,0,1,0,0
253790,2013,3,1,1,0,0.0,20.0,1,15.33,72.22,33.7,0.0,0,58.33,1,0,0,0,0.15,0,1,0,0
253865,2013,3,1,1,0,22.22,6.85,1,19.81,156.48,59.26,29.41,0,183.54,0,0,0,0,3.15,0,1,1,0
253877,2013,3,1,1,0,0.0,0.0,0,8.41,40.93,21.67,59.26,1,45.83,1,0,0,0,0.0,0,1,0,0
253887,2013,3,1,1,0,5.33,17.11,1,24.44,52.59,72.59,0.0,0,20.79,0,0,0,0,0.0,0,1,0,1
253928,2013,3,1,1,0,0.0,22.89,1,8.85,84.26,0.0,58.33,0,171.17,0,0,0,0,3.33,0,1,0,1
253960,2013,3,1,1,0,0.0,99.67,0,190.0,57.78,19.26,35.3,1,56.08,0,0,0,0,0.56,0,1,1,0
253971,2013,3,1,1,0,0.0,41.67,1,6.44,65.0,24.07,14.81,0,104.17,0,0,1,0,0.0,0,1,0,0
253987,2013,3,1,1,0,0.0,0.0,0,0.0,52.56,22.78,0.0,1,43.8,1,0,0,0,0.0,0,1,0,0
254068,2013,3,1,1,0,3.33,3.33,1,7.0,13.96,7.22,0.0,0,37.94,0,0,0,0,0.0,0,1,0,1
254148,2013,3,1,1,0,0.0,0.0,1,6.67,57.78,48.15,22.78,0,88.17,0,0,1,0,0.0,0,1,0,0
254216,2013,3,1,1,1,2.22,0.56,0,113.19,65.11,0.0,80.67,0,114.93,1,0,0,0,2.22,0,1,0,0
254278,2013,3,1,1,0,0.0,0.0,0,7.78,48.15,0.0,0.0,1,10.58,0,0,0,0,0.0,0,1,0,1
254327,2013,3,1,1,0,0.0,0.0,0,4.89,25.04,0.0,26.53,1,14.21,0,0,0,1,0.0,1,0,1,0
254336,2013,3,1,1,0,0.0,0.0,0,11.11,43.33,38.52,0.0,1,35.56,0,0,1,0,0.0,0,1,0,0
254368,2013,3,1,1,1,0.0,0.0,0,0.0,45.74,9.63,22.22,0,46.99,1,0,0,0,0.0,0,1,0,0
254376,2013,3,1,1,0,0.0,0.0,1,8.0,31.3,7.22,40.88,0,31.39,1,0,0,1,0.0,0,1,0,0
254434,2013,3,1,1,1,0.0,29.81,0,25.89,48.15,76.48,56.67,0,102.5,0,0,0,0,1.48,0,1,0,1
254461,2013,3,1,1,1,5.0,11.11,0,15.11,57.78,9.15,14.44,0,39.06,1,0,0,0,0.0,0,1,0,0
254559,2013,1,2,1,1,0.0,13.44,0,132.33,115.56,3.33,166.11,0,50.0,1,0,0,0,0.0,0,1,0,0
254559,2013,4,2,2,1,0.0,0.0,0,102.11,122.78,28.89,88.89,0,50.0,1,0,0,0,0.0,0,1,0,0
254561,2013,1,1,1,0,0.0,19.33,1,9.33,192.11,21.67,239.33,0,98.87,0,0,0,0,2.33,0,1,0,1
254565,2013,1,2,1,1,0.0,0.0,0,0.67,239.78,28.89,538.93,0,23.1,0,0,0,1,5.0,0,1,0,1
254565,2013,4,2,2,1,0.0,0.0,0,0.0,158.89,21.67,366.71,0,15.35,0,0,0,1,0.0,0,1,0,1
254568,2013,1,2,1,0,23.33,15.56,1,24.0,216.67,28.89,38.89,0,103.33,0,0,1,0,2.22,0,1,0,0
254568,2013,4,2,2,0,106.67,11.11,1,150.56,494.44,577.78,155.0,0,92.87,0,0,1,0,2.78,0,1,0,0
254597,2013,1,1,1,1,13.33,54.78,0,46.44,43.33,125.67,14.11,0,48.75,0,0,0,0,2.89,0,1,1,0
254603,2013,1,2,1,0,26.67,21.67,0,59.11,144.44,36.11,0.0,1,70.83,0,0,0,0,0.0,0,1,1,0
254603,2013,4,2,2,0,0.0,17.67,0,28.33,130.0,72.22,11.0,1,67.15,0,0,0,0,0.0,0,1,1,0
254607,2013,1,2,1,1,28.89,76.89,0,496.0,57.78,122.78,39.44,0,103.03,0,0,0,0,18.89,0,1,0,1
254607,2013,4,2,2,1,33.33,36.67,0,538.44,254.44,164.89,234.0,0,127.37,0,0,0,0,0.0,0,1,0,1
254617,2013,1,2,1,0,0.0,41.78,0,80.56,187.78,57.78,61.11,1,57.5,0,0,0,0,0.0,0,0,1,0
254617,2013,4,2,2,0,0.0,33.44,0,29.44,180.56,86.67,66.67,1,45.13,0,0,0,0,0.0,0,0,1,0
254672,2013,1,2,1,0,13.33,0.0,0,75.78,50.56,43.33,11.11,1,49.97,0,0,0,0,0.0,0,0,1,0
254672,2013,4,2,2,0,0.0,0.0,0,38.0,137.22,69.44,154.56,1,49.39,0,0,0,0,0.0,0,0,1,0
254673,2013,1,2,1,1,30.0,148.33,0,61.11,202.22,28.89,78.89,0,117.93,0,0,1,0,12.56,0,1,0,0
254673,2013,4,2,2,1,63.33,71.11,0,56.78,202.22,86.67,70.89,0,72.72,0,0,1,0,0.0,0,1,0,0
254678,2013,1,2,1,1,26.67,20.22,0,67.44,115.56,28.89,80.89,0,70.02,0,0,0,0,1.33,0,1,1,0
254678,2013,4,2,2,1,13.33,12.89,0,23.33,108.33,72.22,205.56,0,67.09,0,0,0,0,0.0,0,1,1,0
254702,2013,1,2,1,0,20.0,3.33,0,30.22,144.44,0.0,311.3,1,25.89,0,0,0,1,2.22,0,1,0,1
254702,2013,4,2,2,0,11.33,1.0,0,22.33,130.0,0.0,360.74,1,22.83,0,0,0,1,0.78,0,1,0,1
254729,2013,4,1,1,0,103.33,219.89,1,481.78,231.11,160.78,315.11,0,179.12,0,0,0,0,0.0,0,1,0,1
254740,2013,1,2,1,0,0.0,9.0,1,8.89,144.44,32.11,141.11,0,19.5,0,0,0,0,6.56,1,1,1,0
254740,2013,4,2,2,0,0.0,0.0,1,33.56,209.44,8.0,190.67,0,35.0,0,0,0,0,0.0,1,1,1,0
254752,2013,1,1,1,0,1.0,70.22,0,193.78,104.44,195.56,45.33,1,116.27,0,0,0,0,2.22,0,1,1,0
254760,2013,1,1,1,0,3.0,26.67,0,32.11,144.44,0.0,77.74,1,12.06,0,0,0,0,4.33,0,1,0,0
254771,2013,1,2,1,0,0.0,63.56,1,122.0,202.22,233.33,0.0,0,85.19,0,0,1,1,0.0,0,1,0,0
254771,2013,4,2,2,0,33.33,49.22,1,190.56,130.0,83.33,125.56,0,146.6,0,0,1,1,0.0,0,1,0,0
254782,2013,1,1,1,0,0.0,28.44,0,17.78,166.11,43.33,0.0,1,20.3,0,0,0,0,3.56,0,1,0,1
254783,2013,1,2,1,0,0.0,0.0,0,30.78,86.67,14.44,33.3,1,31.84,0,0,0,0,0.0,0,1,1,0
254783,2013,4,2,2,0,0.0,0.0,0,30.0,130.0,28.89,34.97,1,41.67,0,0,0,0,0.0,0,1,1,0
254793,2013,1,2,1,0,0.0,0.0,0,33.33,252.78,68.89,0.0,1,132.7,0,0,0,0,0.0,0,0,1,0
254793,2013,4,2,2,0,0.0,0.0,0,43.33,195.67,161.11,0.67,1,111.67,0,0,0,0,0.0,0,0,1,0
254799,2013,1,2,1,0,0.0,29.89,0,82.0,158.89,43.33,204.0,1,61.82,0,0,1,0,0.67,0,1,0,0
254799,2013,4,2,2,0,0.0,0.0,0,67.0,216.67,86.67,200.67,1,67.88,0,0,1,0,0.0,0,1,0,0
254803,2013,4,1,1,0,0.0,26.89,0,10.78,144.44,36.11,198.97,1,31.77,0,0,0,1,0.0,0,1,0,1
254811,2013,4,1,1,0,0.0,0.0,0,33.33,101.11,43.33,16.67,1,97.32,0,0,0,0,0.0,0,1,0,1
254849,2013,1,1,1,0,0.0,0.0,0,20.0,14.44,216.67,0.0,0,18.63,0,1,0,0,0.0,0,1,1,0
254854,2013,1,2,1,0,0.0,3.56,1,52.22,101.11,14.44,61.11,0,67.64,1,0,0,0,0.0,0,1,0,0
254854,2013,4,2,2,0,13.33,16.44,1,51.11,86.67,28.89,65.56,0,56.67,1,0,0,0,0.0,0,1,0,0
254866,2013,1,2,1,0,0.0,47.22,1,45.11,72.22,108.89,82.0,0,61.25,0,0,1,0,5.56,0,0,0,0
254866,2013,4,2,2,0,0.0,17.67,1,47.44,87.78,139.44,222.22,0,52.5,0,0,1,0,1.67,0,0,0,0
254871,2013,4,1,1,0,33.33,0.0,0,27.0,154.56,79.44,27.11,1,78.42,1,0,0,0,0.0,0,1,0,0
254911,2013,1,2,1,0,0.0,89.78,1,63.33,187.78,57.78,37.56,0,65.0,0,0,1,0,0.0,0,1,0,0
254911,2013,4,2,2,0,10.0,38.0,1,50.0,260.0,43.33,44.0,0,75.0,0,0,1,0,1.67,0,1,0,0
254929,2013,1,2,1,0,0.0,0.0,0,36.67,245.56,72.22,141.11,1,70.87,0,0,0,0,0.0,0,1,1,0
254929,2013,4,2,2,0,0.0,0.0,0,33.33,252.78,72.22,133.33,1,70.02,0,0,0,0,0.0,0,1,1,0
254930,2013,4,1,1,0,0.0,0.0,0,6.0,72.22,0.0,193.33,1,18.0,0,0,0,1,0.0,0,1,0,1
254957,2013,1,2,1,1,20.0,272.78,0,161.56,151.67,205.0,56.89,0,66.67,0,0,1,1,0.0,0,1,0,0
254957,2013,4,2,2,1,19.44,91.0,0,141.67,325.0,155.56,91.86,0,89.8,0,0,1,1,0.0,0,1,0,0
255022,2013,1,2,1,1,0.0,213.78,0,41.89,288.89,225.56,134.67,0,125.0,1,0,0,0,4.67,0,1,0,0
255022,2013,4,2,2,1,0.0,114.56,0,52.33,252.78,72.22,97.0,0,91.15,1,0,0,0,1.67,0,1,0,0
255026,2013,1,2,1,0,6.67,4.67,0,58.78,108.33,108.33,33.0,1,76.67,1,0,0,0,0.0,0,0,0,0
255026,2013,4,2,2,0,8.33,4.0,0,45.67,86.67,86.67,9.67,1,60.29,1,0,0,0,0.0,0,0,0,0
255027,2013,1,2,1,1,0.0,55.33,0,76.33,108.33,144.44,8.33,0,99.02,0,0,1,0,0.0,0,1,0,0
255027,2013,4,2,2,1,0.0,52.22,0,56.67,130.0,28.89,29.44,0,90.83,0,0,1,0,0.0,0,1,0,0
255030,2013,1,2,1,0,41.67,55.56,0,26.67,310.56,108.33,308.89,1,15.01,0,0,0,0,0.0,0,1,1,0
255030,2013,4,2,2,0,0.0,0.0,0,0.0,245.56,88.56,308.89,1,179.12,0,0,0,0,0.0,0,1,1,0
255051,2013,1,2,1,0,10.0,11.11,0,40.0,144.44,28.89,22.22,1,72.5,0,0,0,0,0.0,0,1,1,0
255051,2013,4,2,2,0,10.0,0.0,0,38.33,180.56,0.0,22.22,1,43.61,0,0,0,0,0.0,0,1,1,0
255055,2013,1,2,1,0,0.0,29.44,1,18.11,151.67,86.67,219.33,0,81.67,0,0,0,1,0.0,0,1,1,0
255055,2013,4,2,2,0,0.0,15.56,1,47.44,180.56,72.22,183.0,0,77.53,0,0,0,1,0.0,0,1,1,0
255056,2013,1,2,1,0,6.67,11.11,0,28.67,288.89,0.0,82.22,1,95.0,1,0,0,0,5.0,0,1,0,0
255056,2013,4,2,2,0,5.0,20.0,0,28.67,231.11,0.0,146.67,1,98.0,1,0,0,0,5.33,0,1,0,0
255061,2013,1,2,1,0,0.0,10.56,0,32.78,57.78,14.44,113.56,1,57.27,0,0,0,0,0.11,0,1,0,1
255061,2013,4,2,2,0,0.0,3.33,0,10.44,108.33,14.44,486.11,1,69.7,0,0,0,0,0.0,0,1,0,1
255068,2013,1,2,1,0,0.0,48.33,1,118.22,166.11,144.44,110.0,0,59.87,0,0,0,0,9.56,0,1,1,0
255068,2013,4,2,2,0,0.0,24.44,1,200.78,195.0,93.89,102.22,0,44.76,0,0,0,0,0.33,0,1,1,0
255069,2013,1,2,1,0,0.0,21.33,0,7.22,99.67,28.89,0.0,0,34.18,0,1,0,0,0.0,0,1,0,1
255069,2013,4,2,2,0,0.0,31.67,0,3.33,72.22,57.78,0.11,0,34.29,0,1,0,0,0.0,0,1,0,1
255092,2013,1,2,1,0,60.0,6.33,0,176.11,180.56,86.67,313.78,1,99.63,1,0,0,0,0.0,0,1,0,0
255092,2013,4,2,2,0,46.67,10.67,0,148.89,168.33,106.22,311.11,1,69.45,1,0,0,0,0.0,0,1,0,0
