advanced,alcbev,appar,college,entert,food,foodaway,health,income,smsa
0,11.11,0.0,0,43.44,9.63,47.56,58.22,123.7,1
0,0.0,6.22,0,17.56,94.22,77.04,3.33,59.68,1
0,10.0,0.0,1,5.0,38.52,39.81,33.33,80.99,1
0,11.11,29.44,1,20.0,173.33,0.0,130.59,133.24,1
0,0.0,22.44,1,56.0,173.33,108.33,135.11,81.01,0
1,21.67,33.67,0,111.22,122.78,85.0,103.89,105.87,1
0,0.0,0.0,0,26.33,65.0,65.0,79.93,51.52,1
0,0.0,33.33,0,0.0,137.22,72.22,0.0,26.07,1
0,0.0,21.33,0,7.22,99.67,28.89,0.0,34.18,1
0,0.0,0.0,0,26.67,109.41,50.81,46.22,74.23,1
0,0.0,0.0,0,48.56,21.67,4.33,172.16,16.88,1
0,0.0,0.0,0,28.67,158.89,144.44,0.0,65.04,1
0,0.0,0.0,0,0.0,52.96,0.0,0.0,18.8,1
1,21.19,122.22,0,79.78,139.63,68.37,16.0,76.36,1
0,11.67,467.89,0,220.56,50.56,80.22,96.89,37.0,1
1,88.89,125.3,0,120.89,211.85,48.15,258.33,179.35,1
0,0.0,0.0,0,13.56,99.26,70.37,49.0,104.83,1
0,0.0,6.67,0,75.93,105.11,57.04,22.22,77.82,1
0,0.0,250.89,0,32.07,86.67,96.3,241.67,124.94,1
0,0.0,25.93,0,0.0,38.52,0.0,0.0,16.83,1
0,0.0,0.0,0,21.89,144.44,0.0,135.56,53.08,1
1,0.0,0.0,0,91.11,144.44,9.63,84.42,30.87,1
1,0.0,49.63,0,74.04,95.93,47.26,200.0,66.82,1
0,8.33,34.78,0,158.22,86.67,86.67,123.3,84.48,1
0,25.48,7.22,0,5.89,192.59,48.15,3.33,135.71,1
1,13.33,5.78,0,12.11,69.81,24.07,0.0,189.87,1
1,0.0,36.78,0,125.22,260.0,115.56,215.0,50.75,1
0,16.67,55.56,0,26.59,79.44,332.78,23.77,90.26,1
0,0.0,0.0,0,21.56,86.67,0.0,47.09,59.49,1
0,0.0,33.33,0,23.33,125.19,9.63,0.0,30.0,1
0,0.0,0.0,0,19.11,120.37,24.07,62.22,51.76,1
0,6.67,277.22,1,68.89,225.56,66.11,403.86,79.53,1
0,0.0,35.67,0,25.33,81.85,45.04,0.0,28.88,1
0,0.0,0.0,1,3.56,38.52,19.26,4.81,76.01,1
0,0.0,3.56,1,0.0,48.15,0.0,44.44,63.09,1
0,0.0,51.78,0,88.22,187.78,57.78,13.56,58.9,0
0,0.0,116.56,0,104.67,144.44,48.89,180.33,50.73,1
0,3.33,0.0,0,0.0,195.0,0.0,0.0,84.72,1
0,0.0,559.26,0,51.48,61.85,44.44,66.11,85.0,1
0,5.56,8.89,1,33.48,81.85,32.89,27.56,64.43,1
0,8.33,0.0,1,15.93,52.96,24.07,17.59,118.33,1
0,13.33,55.0,1,77.78,187.78,36.11,106.67,20.58,1
0,0.0,0.0,1,21.33,77.04,9.63,22.2,32.87,0
0,0.0,72.22,1,35.56,62.59,4.81,4.44,78.4,1
1,0.0,51.11,0,33.33,101.11,28.89,26.78,119.17,1
0,0.0,35.44,1,25.56,101.11,48.15,32.22,46.16,1
0,20.0,38.89,0,22.22,38.52,50.74,39.98,49.67,1
0,0.0,0.0,0,3.33,81.85,14.44,66.6,24.59,1
0,0.0,16.11,0,0.78,28.89,38.52,38.52,110.17,1
0,11.11,14.44,1,40.0,86.67,9.63,129.04,58.93,1
0,0.56,2.22,1,3.33,48.15,12.04,11.66,29.48,1
1,0.0,38.78,0,120.11,151.19,63.7,64.52,76.88,1
0,10.0,3.7,1,1.56,96.3,20.74,35.93,47.71,1
0,0.0,117.44,0,141.78,137.22,61.67,172.78,67.51,1
0,0.0,30.11,1,17.41,72.22,37.22,0.0,20.0,0
0,0.0,0.0,0,13.56,96.3,19.26,71.15,101.44,1
0,0.0,0.0,1,0.0,38.52,9.63,0.0,26.92,1
0,50.0,62.11,1,115.56,361.11,112.0,79.44,115.93,1
0,0.0,0.0,1,77.44,115.56,38.52,0.0,70.94,1
1,0.0,18.7,0,18.67,134.81,0.0,25.53,49.86,0
1,0.0,0.0,0,13.33,52.0,42.59,10.0,50.0,1
0,8.33,27.89,1,2.89,33.7,48.15,12.78,108.33,1
0,0.0,7.22,0,5.56,115.56,0.0,31.11,32.5,1
0,11.11,44.44,1,70.37,91.48,7.7,87.7,91.68,1
0,0.0,16.67,0,38.74,40.93,12.04,78.94,67.41,1
0,22.22,58.33,0,38.85,139.63,62.0,51.07,65.25,1
0,0.0,22.78,1,18.78,144.44,109.11,0.0,42.29,1
0,11.11,11.11,1,11.11,57.78,24.07,493.0,59.21,1
0,0.0,5.56,0,0.0,86.67,36.11,0.0,17.27,1
0,0.0,0.0,1,26.78,99.93,0.0,4.44,41.7,1
0,14.67,4.67,0,26.22,96.3,19.26,44.89,97.65,1
0,0.0,68.44,0,239.44,48.15,9.63,39.44,65.83,0
0,0.0,0.0,0,2.67,84.26,36.11,35.05,29.14,1
