year,firm,lsales,lcapital,llabor,sk_labor,lmaterials,foreign,export,intangibles,ownership,latitude,longitude
2004,1,10.42139,9.848661,5.308268,0.2673267,9.964441,0.25,1,1,0,0.7295485,2.154361
2005,1,10.87933,10.06505,5.438079,0.2673267,10.45363,0.25,1,1,0,0.7295485,2.154361
2006,1,11.28274,10.0939,5.493062,0.2673267,10.83685,0.25,1,1,0,0.7295485,2.154361
2004,2,9.355739,8.774158,4.025352,0.0,8.940368,0.0,0,0,0,0.5268858,1.846558
2005,2,9.313799,8.874867,4.025352,0.0,9.021598,0.0,0,0,0,0.5268858,1.846558
2006,2,9.574984,8.874867,4.043051,0.0,9.229359,0.0,0,0,0,0.5268858,1.846558
2004,3,10.26879,10.81717,5.56452,0.5823755,9.180706,0.0,0,1,0,0.7019243,2.033679
2005,3,10.06233,10.76403,5.537334,0.5823755,7.701653,0.0,0,1,0,0.7019243,2.033679
2006,3,8.765303,11.04652,4.762174,0.5823755,9.179469,0.0,0,1,0,0.7019243,2.033679
2004,4,9.302464,10.48988,5.351858,0.1374408,7.74846,0.0,0,1,0,0.6966363,2.036293
2005,4,9.337766,10.45938,5.57973,0.1374408,8.993676,0.0,0,1,0,0.6966363,2.036293
2006,4,9.21004,10.4615,5.505332,0.1374408,8.767797,0.0,0,1,0,0.6966363,2.036293
2004,5,9.050172,7.307873,3.555348,0.2,7.022868,0.0,0,0,1,0.6959738,2.025166
2005,5,8.993054,8.083328,3.871201,0.2,7.881938,0.0,0,0,1,0.6959738,2.025166
2006,5,9.08421,7.628518,3.871201,0.2,7.072422,0.0,0,0,1,0.6959738,2.025166
2004,6,10.81681,8.75005,5.398163,0.321267,9.443593,0.0,0,0,1,0.6965553,2.033875
2005,6,10.54207,8.743372,5.32301,0.321267,9.203718,0.0,0,0,1,0.6965553,2.033875
2006,6,9.945684,8.956866,5.236442,0.321267,8.657303,0.0,0,0,1,0.6965553,2.033875
2004,7,9.445966,8.719971,3.526361,0.1470588,9.175956,0.0,0,0,1,0.6968105,2.0344
2005,7,9.7029,8.875846,3.555348,0.1470588,9.496947,0.0,0,0,1,0.6968105,2.0344
2006,7,9.775143,8.991936,3.931826,0.1470588,9.550947,0.0,0,0,1,0.6968105,2.0344
2004,8,8.863333,9.642642,4.454347,0.1046512,6.701961,0.0,0,0,1,0.6951879,2.030442
2005,8,8.545392,7.237059,4.488636,0.1046512,7.053586,0.0,0,0,1,0.6951879,2.030442
2006,8,7.821643,9.228376,4.442651,0.1046512,6.638568,0.0,0,0,1,0.6951879,2.030442
2004,9,7.756196,6.559615,3.951244,0.1923077,6.1717,0.0,0,0,1,0.6961169,2.032933
2005,9,7.47817,6.496775,4.204693,0.1923077,6.104793,0.0,0,0,1,0.6961169,2.032933
2006,9,7.399398,7.783224,3.970292,0.1923077,6.234411,0.0,0,0,1,0.6961169,2.032933
2004,10,8.739697,8.687948,3.610918,0.4324324,6.295266,0.0,0,1,0,0.694735,2.032473
2005,10,8.790269,9.184407,4.584968,0.4324324,5.849325,0.0,0,1,0,0.694735,2.032473
2006,10,8.99293,8.249576,4.382027,0.4324324,5.393628,0.0,0,1,0,0.694735,2.032473
2004,11,10.34801,10.07761,4.934474,0.4892086,8.92572,0.0,1,0,1,0.694735,2.032473
2005,11,10.55717,10.12134,4.997212,0.4892086,9.321166,0.0,1,0,1,0.694735,2.032473
2006,11,10.60314,9.805324,5.068904,0.4892086,9.468465,0.0,1,0,1,0.694735,2.032473
2004,12,9.935906,7.118826,3.295837,0.037037,9.734832,0.0,0,0,0,0.6912997,2.026731
2005,12,9.813946,7.186144,3.555348,0.037037,9.526464,0.0,0,1,0,0.6912997,2.026731
2006,12,10.19947,7.627544,3.496508,0.037037,10.18316,0.0,0,1,0,0.6912997,2.026731
2004,13,11.54579,10.81013,5.805135,0.1626506,10.25696,0.0,1,1,0,0.6965026,2.032368
2005,13,11.56747,10.67151,5.231109,0.1626506,9.298534,0.0,1,1,0,0.6965026,2.032368
2006,13,11.65363,11.28345,5.509388,0.1626506,9.644976,0.0,0,1,0,0.6961169,2.032933
2004,14,9.138092,8.328692,3.951244,0.2692308,9.06184,0.0,0,0,1,0.6969367,2.032017
2005,14,8.889859,8.295798,3.912023,0.2692308,7.346655,0.0,0,0,1,0.6969367,2.032017
2006,14,8.925188,8.297295,3.871201,0.2692308,7.440146,0.0,0,0,1,0.6969367,2.032017
2004,15,9.081939,9.339437,3.555348,0.3428572,7.82764,0.0,0,1,0,0.6967317,2.031204
2005,15,9.675457,9.343472,3.688879,0.3428572,8.227108,0.0,0,1,0,0.6967317,2.031204
2006,15,9.409191,9.607572,4.143135,0.3428572,8.174139,0.0,0,0,0,0.6967317,2.031204
2004,16,10.28783,9.397981,5.945421,0.1701571,9.400961,0.0,0,1,0,0.6961202,2.031996
2005,16,10.2956,9.016634,5.693732,0.1701571,9.289151,0.0,0,1,0,0.6947442,2.034791
2006,16,10.05612,9.204121,5.525453,0.1701571,9.161466,0.0,0,1,0,0.6947442,2.034791
2004,17,10.23738,9.194922,5.111988,0.1144578,9.509556,0.0,0,1,0,0.6961202,2.031996
2005,17,10.2027,9.095827,5.075174,0.1144578,9.575747,0.0,0,1,0,0.6968105,2.0344
2006,17,10.32967,9.111293,5.049856,0.1144578,9.466842,0.0,0,1,0,0.6968105,2.0344
2004,18,9.092682,8.036573,4.025352,0.0714286,8.863192,1.0,0,1,0,0.6938316,2.029708
2005,18,9.028099,8.081475,4.077538,0.0714286,8.813141,0.2473684,0,1,0,0.6938316,2.029708
2006,18,9.040856,8.083637,3.912023,0.0714286,8.934851,0.2439282,0,1,0,0.6938316,2.029708
2004,19,8.527143,6.263398,2.397895,0.5454546,8.38229,0.0,0,0,0,0.6959082,2.03087
2005,19,8.831274,6.885509,2.772589,0.5454546,8.227108,0.0,0,0,0,0.6965553,2.033875
2006,19,8.567125,7.385851,2.995732,0.5454546,8.39231,0.0,0,0,0,0.6965553,2.033875
2004,20,10.67556,8.672829,4.465908,0.4022988,10.52519,0.0,0,1,0,0.6960775,2.030007
2005,20,10.60896,8.741137,4.532599,0.4022988,10.27118,0.0,0,1,0,0.6960775,2.030007
2006,20,10.43793,9.015541,4.867535,0.4022988,10.30075,0.0,0,1,0,0.6960775,2.030007
2004,21,9.979291,9.658162,5.308268,0.0940594,9.071652,0.0,0,1,0,0.7019243,2.033679
2005,21,9.914625,9.779963,5.375278,0.0940594,9.21124,0.0,0,1,0,0.7019243,2.033679
2006,21,10.06182,9.803944,5.463832,0.0940594,9.671618,0.0,0,1,0,0.7019243,2.033679
2004,22,8.900549,8.263332,3.433987,0.3548387,7.981733,0.0,0,1,0,0.6969728,2.032319
2005,22,9.202812,8.421123,3.78419,0.3548387,8.661813,0.0,0,1,0,0.6969728,2.032319
2006,22,9.103089,5.438079,3.806663,0.3548387,8.607582,0.0,0,1,0,0.6969728,2.032319
2004,23,10.28671,9.716977,5.53339,0.3043478,8.721276,0.0,0,0,0,0.6988864,2.033742
2005,23,10.71188,9.682155,5.627621,0.3043478,8.757941,0.0,0,1,0,0.6968105,2.0344
2006,23,11.10712,9.875397,5.802118,0.3043478,8.596004,0.0,0,1,0,0.6968105,2.0344
2004,24,9.340404,8.659387,4.770685,0.0677966,9.1442,0.0,0,0,0,0.6968105,2.0344
2005,24,9.366404,8.672144,4.189655,0.0677966,9.099855,0.0,0,0,0,0.6968105,2.0344
2006,24,9.484861,8.642415,4.304065,0.0677966,9.437237,0.0,0,0,0,0.6968105,2.0344
2004,25,10.97577,10.97442,5.726848,0.1726384,10.24491,0.0,0,1,0,0.6968105,2.0344
2005,25,11.06714,11.11764,5.717028,0.1726384,10.35806,0.0,0,1,0,0.6968105,2.0344
2006,25,10.62901,9.828225,5.70711,0.1726384,9.772068,0.0,0,1,0,0.6968105,2.0344
2004,26,6.906755,7.999343,2.944439,0.5263158,5.513429,0.0,0,0,1,0.6961169,2.032933
2005,26,6.972606,7.999343,2.995732,0.5263158,5.493062,0.0,0,0,1,0.6961169,2.032933
2006,26,6.579251,8.005701,2.944439,0.5263158,5.429346,0.0,0,0,1,0.6961169,2.032933
2004,27,8.648747,6.928538,3.688879,0.325,7.968666,0.0,0,0,0,0.6965026,2.032368
2005,27,8.894258,6.951772,3.688879,0.325,8.255829,0.0,0,0,0,0.6965026,2.032368
2006,27,9.158942,6.80017,3.178054,0.325,8.334231,0.0,0,0,0,0.6965026,2.032368
2004,28,9.416866,8.489205,3.688879,0.225,9.198369,0.0,0,0,0,0.6965026,2.032368
2005,28,9.463741,8.489205,3.663562,0.225,9.158731,0.0,0,0,0,0.6965026,2.032368
2006,28,9.339964,8.425516,3.526361,0.225,8.976262,0.0,0,0,0,0.6965026,2.032368
2004,29,8.943637,7.186901,4.369448,0.113924,8.071843,0.0,0,1,0,0.6975798,2.033133
