price,sqft,age,pool,fireplace,close,twostory,occupied
96.5,16.77,10,0,0,0,0,0
106.0,17.51,10,0,0,0,0,0
114.0,18.37,9,0,0,0,0,1
119.9,29.1,9,0,0,0,0,0
122.7,14.68,9,0,0,0,0,1
125.0,18.23,8,0,0,0,0,0
125.5,21.86,10,0,0,0,0,1
129.9,16.1,9,0,0,0,0,1
130.0,17.1,7,0,0,0,0,0
137.0,18.26,10,0,0,0,0,1
138.0,19.32,9,0,0,0,0,1
158.0,19.88,6,0,0,0,0,1
167.0,22.48,10,0,0,0,0,1
475.0,42.91,5,0,1,0,1,0
490.0,40.71,6,0,1,0,0,0
520.0,42.91,5,0,1,0,1,1
158.0,21.55,5,0,1,0,0,0
170.0,21.03,3,0,1,0,0,0
179.0,20.5,3,0,1,0,0,0
181.0,20.03,4,0,1,0,0,0
183.0,19.95,4,0,1,0,0,0
184.0,20.05,4,0,1,0,0,1
188.5,19.47,3,0,1,0,0,1
188.88,21.55,5,0,1,0,0,1
189.9,20.06,4,0,1,0,0,0
198.0,21.12,3,0,1,0,0,1
198.5,21.87,4,0,1,0,0,1
199.5,23.41,5,1,1,0,0,0
199.9,20.35,2,0,1,0,0,1
200.0,22.01,5,0,1,0,0,1
201.0,20.41,3,0,1,0,0,0
203.5,21.12,4,0,1,0,0,1
210.0,21.01,2,0,1,0,0,1
98.8,10.0,10,0,0,0,0,1
125.0,31.22,9,1,1,0,0,0
145.0,10.8,6,0,0,0,0,0
163.0,27.47,10,0,1,0,0,1
177.5,11.65,10,0,0,0,0,0
185.0,28.05,9,0,0,0,0,0
185.0,30.18,10,0,1,0,0,1
187.0,14.64,10,0,0,0,0,0
188.0,20.28,10,0,0,0,1,1
200.0,32.66,10,0,1,0,0,0
215.0,26.7,10,0,1,0,0,1
215.0,24.93,8,0,0,0,0,1
215.0,25.88,8,0,1,0,0,0
240.0,39.91,10,0,1,0,0,1
247.0,19.8,6,0,0,0,0,0
255.0,19.63,10,0,1,0,0,0
265.0,20.96,10,0,0,0,0,1
265.0,24.93,8,0,0,0,0,1
268.0,25.3,10,0,0,0,0,1
279.0,27.47,9,0,0,0,1,1
279.0,23.15,9,0,1,0,0,0
285.0,23.0,10,0,1,0,0,1
285.0,26.08,10,0,0,0,0,1
290.0,33.06,10,0,1,0,0,1
295.0,46.1,9,0,1,0,1,1
305.0,25.08,10,1,0,0,0,0
312.0,26.19,10,0,0,0,0,1
335.0,31.75,11,0,0,0,0,1
350.0,27.47,9,0,0,0,1,0
355.0,34.77,8,0,1,0,0,1
380.92,44.22,6,0,1,0,1,1
390.0,28.45,10,0,0,0,0,1
392.0,33.57,10,0,1,0,1,1
420.0,34.0,4,0,1,0,0,1
490.0,37.1,6,0,1,0,0,0
555.0,50.9,4,0,1,0,1,0
575.0,50.98,10,0,1,0,1,1
599.0,66.19,10,0,0,0,1,0
1125.0,67.3,3,1,1,0,1,1
132.0,15.97,9,0,0,0,0,1
155.0,22.17,9,0,1,0,0,0
162.5,14.88,10,0,0,0,0,0
165.0,23.54,9,0,0,0,0,0
176.0,22.2,9,0,0,0,0,1
185.0,22.22,10,0,0,0,0,1
187.0,22.17,9,0,1,0,0,1
287.0,32.49,7,0,0,0,1,0
445.0,42.18,2,0,1,0,0,1
50.0,23.4,9,0,0,0,0,0
52.5,22.3,9,0,0,0,0,0
53.0,19.47,9,0,0,0,0,0
57.0,20.67,11,0,0,0,0,0
67.0,19.44,9,0,0,0,0,0
69.5,24.1,9,0,0,0,0,0
72.5,21.02,8,0,0,0,0,0
85.0,25.63,6,0,0,0,0,0
90.0,22.53,10,0,0,0,0,0
93.15,15.55,9,0,0,0,0,0
93.5,24.66,10,0,1,0,0,0
99.9,19.91,9,0,1,0,0,0
100.0,16.12,9,0,0,0,0,0
110.0,24.02,8,0,0,0,0,0
113.0,23.5,10,0,1,0,0,1
114.0,25.96,6,0,0,0,0,0
116.0,25.0,9,0,0,0,0,0
118.5,20.71,8,0,0,0,0,0
119.0,22.75,9,0,0,0,0,0
120.0,19.46,9,0,0,0,0,0
