time,depart,reds,trains
40,33,8,0
26,11,8,1
40,16,6,1
48,37,3,1
47,16,6,1
54,21,13,1
29,15,4,0
52,29,9,0
59,46,7,0
47,26,7,0
34,20,3,1
35,32,11,0
36,14,7,0
48,20,9,0
42,16,7,0
36,11,6,1
39,24,8,0
38,23,11,0
42,19,9,1
39,19,10,1
34,17,4,0
53,27,11,1
33,9,6,1
47,21,10,0
35,16,10,0
55,30,9,2
51,28,12,1
29,13,4,0
46,14,7,1
45,16,7,0
56,32,8,1
45,33,4,2
27,9,8,0
51,29,7,1
45,25,7,1
41,5,7,1
39,11,3,1
40,20,6,0
47,22,9,1
56,24,9,1
39,19,7,1
44,38,4,1
43,24,11,0
50,19,9,1
45,7,8,0
39,31,7,0
36,18,7,0
31,8,9,0
39,13,9,0
38,15,11,1
33,29,7,0
25,12,5,1
38,28,8,1
34,23,5,1
47,8,10,0
50,23,8,0
62,60,5,0
40,15,8,1
36,24,3,1
52,26,7,1
43,12,8,0
40,26,6,1
40,33,5,0
39,10,8,0
47,35,5,1
44,29,8,1
41,18,4,0
68,46,9,0
47,24,10,0
37,28,7,0
39,16,9,0
43,11,9,0
46,26,10,0
49,32,7,3
33,20,5,1
39,31,9,0
40,19,10,0
45,8,11,0
52,14,10,0
62,23,10,1
36,23,5,1
53,36,7,1
44,28,4,0
41,7,4,1
46,39,5,0
58,11,11,1
35,11,2,0
50,15,11,0
50,32,8,1
39,13,8,0
37,13,7,1
38,12,3,1
44,21,8,0
25,19,5,0
53,51,10,1
35,13,7,1
54,33,10,2
24,15,6,0
48,10,9,0
47,33,8,0
40,45,9,0
40,18,11,0
47,29,6,1
26,8,6,0
36,16,11,0
44,11,11,1
39,31,4,1
46,17,9,0
41,16,9,0
42,14,4,0
48,25,10,1
42,22,8,1
54,34,10,1
42,23,7,0
38,32,5,0
37,32,11,2
38,15,7,0
38,30,6,1
39,28,8,0
38,16,4,0
37,29,6,0
36,18,6,0
43,38,6,2
49,38,7,1
57,52,9,2
56,46,7,0
30,12,7,1
39,22,8,0
55,58,6,1
37,27,8,0
39,18,6,1
34,8,6,0
50,18,12,1
34,14,5,0
42,11,9,0
37,26,7,1
51,39,7,1
39,25,6,1
32,9,7,0
44,47,8,1
40,8,9,1
38,15,10,0
34,32,7,1
40,11,6,1
37,15,7,0
53,28,9,1
37,19,8,0
39,7,5,1
40,18,8,1
62,50,6,3
22,9,5,0
37,21,7,0
49,16,6,1
49,10,10,1
59,61,6,3
37,34,6,1
41,12,7,1
54,40,10,0
41,13,7,0
46,28,7,1
47,24,8,1
47,18,9,0
47,24,8,0
27,22,6,0
46,20,9,0
43,10,8,0
41,19,5,1
36,17,8,0
36,13,8,0
63,35,6,2
33,15,5,1
39,31,6,1
69,69,6,2
41,47,5,0
39,37,8,0
37,37,7,0
38,29,6,0
50,18,7,1
38,20,6,1
31,23,10,0
41,16,9,1
36,9,8,0
48,24,7,0
44,41,6,1
31,23,8,1
34,11,8,1
35,18,10,0
52,56,10,2
48,18,10,1
39,27,10,0
49,30,10,2
33,21,9,1
49,22,9,1
55,22,12,1
54,33,6,2
50,28,9,1
29,12,11,0
31,8,7,0
64,63,7,2
26,22,5,1
38,12,7,1
34,17,5,0
57,31,12,2
40,11,8,1
52,21,11,1
36,18,6,0
42,8,9,0
49,19,8,1
31,27,5,0
66,77,6,2
46,20,10,0
28,13,8,0
45,27,7,1
46,11,10,0
28,18,3,1
77,59,6,3
39,10,8,0
39,13,8,0
54,25,8,1
53,29,11,1
44,30,8,2
28,24,6,0
44,24,8,1
34,6,10,0
44,11,10,0
50,17,9,0
43,28,7,1
53,53,7,2
36,8,7,0
42,18,6,0
48,25,9,1
65,27,13,1
26,23,1,0
44,36,5,1
44,24,6,0
70,82,8,3
47,21,6,0
36,14,8,0
45,18,11,1
60,37,9,3
51,56,5,1
34,16,5,1
48,21,10,1
41,14,10,0
42,10,7,1
36,17,6,0
50,29,9,0
46,24,6,0
60,29,10,0
