age,asian,black,divorced,educ,exper,faminc,female,hrswork,insure,married,mcaid,mcare,metro,midwest,nchild,northeast,single,south,union,wage,west,white
45,0,0,0,13,26,39200,1,38,1,1,0,0,0,0,0,1,0,0,1,14.38,0,1
63,0,0,0,18,39,902,1,40,1,1,0,0,0,0,0,1,0,0,0,21.63,0,1
46,0,0,0,12,28,48303,1,40,1,1,0,0,0,0,0,1,0,0,0,13.14,0,1
22,0,0,0,12,4,10401,1,40,1,1,0,0,0,0,0,1,0,0,0,11.75,0,1
56,0,0,0,16,34,40319,1,40,1,1,0,0,0,0,0,1,0,0,0,7.2,0,1
29,1,0,0,18,5,13422,1,40,1,1,0,0,1,0,0,1,0,0,0,28.85,0,0
47,0,0,0,16,25,27300,1,40,1,1,0,0,0,0,2,1,0,0,0,10.0,0,1
51,0,0,0,12,33,40705,1,40,1,1,0,0,0,0,1,1,0,0,0,7.35,0,1
39,0,0,0,18,15,50010,1,35,1,1,0,0,0,0,2,1,0,0,0,42.0,0,1
60,0,0,0,12,42,51000,1,38,1,1,0,0,0,0,0,1,0,0,0,11.0,0,1
58,0,0,0,16,36,48000,1,40,1,1,0,0,0,0,0,1,0,0,0,18.98,0,1
52,0,0,0,18,28,50042,1,37,1,1,0,0,0,0,1,1,0,0,0,24.0,0,1
54,0,0,0,13,35,76008,1,40,1,1,0,0,1,0,0,1,0,0,0,25.0,0,1
45,0,0,0,12,27,40794,1,38,1,1,0,0,1,0,1,1,0,0,0,12.05,0,1
51,0,0,0,14,31,73769,1,45,1,1,0,0,1,0,1,1,0,0,0,20.93,0,1
36,0,0,0,14,16,43730,1,40,1,1,0,0,1,0,1,1,0,0,0,25.0,0,1
34,0,0,0,13,15,79940,1,45,1,1,0,0,0,0,2,1,0,0,0,17.7,0,1
49,0,0,0,12,31,52002,1,40,1,1,0,0,0,0,0,1,0,0,0,11.35,0,1
26,0,0,0,18,2,91505,1,40,1,1,0,0,0,0,0,1,0,0,0,21.63,0,1
56,0,0,0,13,37,67417,1,35,1,1,0,0,0,0,0,1,0,0,0,18.57,0,1
27,0,0,0,16,5,34000,1,40,1,1,0,0,0,0,1,1,0,0,0,17.8,0,1
65,0,0,0,20,39,129000,1,40,1,1,0,0,1,0,0,1,0,0,0,64.9,0,1
33,0,0,0,16,11,20400,1,45,1,1,1,0,1,0,1,1,0,0,0,33.33,0,1
26,0,0,0,16,4,192500,1,40,1,1,0,0,0,0,0,1,0,0,0,21.63,0,1
55,0,0,0,12,37,57200,1,60,1,1,0,0,0,0,0,1,0,0,0,15.29,0,1
33,0,0,0,16,11,49600,1,45,1,1,0,0,1,0,2,1,0,0,0,20.51,0,1
54,0,0,0,14,34,56575,1,42,1,1,0,0,1,0,1,1,0,0,0,16.02,0,1
51,0,0,0,12,33,30000,1,40,1,1,0,0,1,0,0,1,0,0,0,24.05,0,1
57,0,0,0,12,39,30000,1,50,1,1,0,0,1,0,0,1,0,0,0,7.94,0,1
45,0,0,0,14,25,36000,1,40,1,1,0,0,1,0,0,1,0,0,0,19.2,0,1
28,0,0,0,16,6,35000,1,40,1,1,0,0,1,0,0,1,0,0,1,14.43,0,1
46,0,0,0,16,24,205011,1,40,1,1,1,0,1,0,1,1,0,0,0,39.42,0,1
54,0,0,0,12,36,26174,1,40,1,1,1,0,1,0,0,1,0,0,0,24.02,0,1
43,0,0,0,16,21,152458,1,40,1,1,1,0,1,0,2,1,0,0,0,30.0,0,1
46,0,0,0,18,22,90552,1,40,1,1,0,0,1,0,2,1,0,0,1,27.4,0,1
64,0,0,0,16,42,81106,1,40,1,1,0,0,1,0,1,1,0,0,1,36.9,0,1
42,0,0,0,13,23,77000,1,40,1,1,0,0,1,0,0,1,0,0,0,31.25,0,1
41,0,0,0,13,22,90168,1,40,1,1,0,0,1,0,2,1,0,0,0,24.02,0,1
39,0,0,0,18,15,90808,1,40,1,1,0,0,1,0,2,1,0,0,0,30.0,0,1
59,0,0,0,18,35,24550,1,56,1,1,0,0,1,0,0,1,0,0,0,30.0,0,1
48,0,0,0,16,26,45320,1,48,1,1,0,0,1,0,1,1,0,0,1,30.0,0,1
31,0,0,0,16,9,36410,1,40,1,1,0,0,1,0,2,1,0,0,0,13.5,0,1
46,0,0,0,16,24,119647,1,55,1,1,0,0,1,0,2,1,0,0,1,18.53,0,1
36,0,0,0,16,14,40084,1,45,1,1,0,0,1,0,1,1,0,0,0,31.11,0,1
65,0,0,0,16,43,110005,1,36,1,1,0,0,1,0,0,1,0,0,1,20.0,0,1
47,0,0,0,16,25,63048,1,40,1,1,0,0,1,0,3,1,0,0,0,10.57,0,1
55,0,0,0,14,35,44646,1,40,1,1,0,0,1,0,1,1,0,0,0,13.5,0,1
54,0,0,0,18,30,64125,1,50,1,1,0,0,1,0,1,1,0,0,1,27.0,0,1
40,0,0,0,16,18,16966,1,40,0,1,0,0,1,0,1,1,0,0,0,10.0,0,1
64,0,0,0,13,45,12001,1,40,1,1,0,0,1,0,0,1,0,0,0,16.32,0,1
44,0,0,0,16,22,530,1,43,1,1,0,0,1,0,2,1,0,0,0,19.23,0,1
54,0,0,0,16,32,94315,1,38,1,1,0,0,1,0,2,1,0,0,0,54.66,0,1
55,0,0,0,12,37,20135,1,40,1,1,0,0,1,0,0,1,0,0,0,13.75,0,1
56,0,0,0,12,38,41685,1,40,1,1,0,0,1,0,0,1,0,0,0,30.0,0,1
42,0,0,0,16,20,50500,1,50,1,1,0,0,1,0,2,1,0,0,0,8.0,0,1
62,0,0,0,14,42,30000,1,40,1,1,0,0,0,0,0,1,0,0,0,30.0,0,1
31,0,0,0,16,9,91700,1,40,1,1,0,0,0,0,0,1,0,0,0,36.05,0,1
56,0,0,0,12,38,81002,1,40,0,1,0,0,0,0,0,1,0,0,1,17.41,0,1
49,0,0,0,18,25,53483,1,40,1,1,0,0,0,0,2,1,0,0,1,18.27,0,1
56,0,0,0,16,34,100001,1,40,1,1,0,0,1,0,0,1,0,0,0,16.83,0,1
61,0,0,0,16,39,9550,1,40,1,1,0,0,1,0,0,1,0,0,0,57.7,0,1
58,0,0,0,18,34,286470,1,40,1,1,0,0,1,0,1,1,0,0,0,38.45,0,1
47,0,0,0,12,29,84500,1,40,1,1,0,0,1,0,1,1,0,0,0,19.5,0,1
58,0,0,0,12,40,97600,1,38,1,1,0,0,0,0,0,1,0,0,1,20.25,0,1
55,0,0,0,20,29,61685,1,40,1,1,0,0,1,0,0,1,0,0,0,64.9,0,1
45,0,0,0,14,25,83000,1,40,1,1,0,0,1,0,0,1,0,0,0,26.25,0,1
50,0,0,0,13,31,40000,1,40,1,1,0,0,1,0,1,1,0,0,0,13.75,0,1
52,0,0,0,18,28,13620,1,45,1,1,0,0,0,0,1,1,0,0,1,42.0,0,1
42,0,0,0,20,16,127825,1,50,1,1,0,0,0,0,2,1,0,0,0,25.97,0,1
41,0,0,0,12,23,41002,1,36,1,1,0,0,0,0,0,1,0,0,0,13.0,0,1
65,0,0,0,16,43,85101,1,45,1,1,0,0,0,0,0,1,0,0,0,33.5,0,1
54,0,0,0,16,32,112037,1,40,1,1,0,0,0,0,3,1,0,0,0,21.0,0,1
31,0,0,0,12,13,89000,1,38,1,1,0,0,0,0,2,1,0,0,0,20.0,0,1
54,0,0,0,18,30,92358,1,55,1,1,0,0,0,0,2,1,0,0,1,23.42,0,1
35,0,0,0,12,17,50050,1,45,0,1,0,0,0,0,2,1,0,0,0,19.22,0,1
57,0,0,0,13,38,40063,1,40,1,1,0,0,0,0,0,1,0,0,0,18.03,0,1
59,0,0,0,18,35,34048,1,50,0,1,0,0,0,0,0,1,0,0,0,30.0,0,1
41,0,0,0,18,17,47162,1,40,1,1,0,0,0,0,2,1,0,0,1,23.08,0,1
58,0,0,0,12,40,24100,1,40,1,1,0,0,0,0,1,1,0,0,0,10.0,0,1
63,0,0,0,11,46,66000,1,40,0,1,0,0,0,0,0,1,0,0,0,11.5,0,1
64,0,0,0,13,45,30708,1,40,1,1,0,0,0,0,0,1,0,0,1,12.0,0,1
67,0,0,0,16,45,46816,1,53,1,1,0,1,0,0,0,1,0,0,0,15.25,0,1
51,0,0,0,13,32,32775,1,37,1,1,0,0,0,0,0,1,0,0,0,21.0,0,1
38,0,0,0,18,14,31000,1,50,1,1,0,0,0,0,0,1,0,0,0,19.24,0,1
30,0,0,0,16,8,30000,1,40,1,1,0,0,1,0,3,1,0,0,0,9.13,0,1
44,0,0,0,16,22,80000,1,40,1,1,0,0,1,0,1,1,0,0,0,24.05,0,1
54,0,0,0,16,32,131600,1,38,1,1,0,0,1,0,0,1,0,0,0,35.31,0,1
52,0,0,0,13,33,50025,1,35,1,1,0,0,0,0,0,1,0,0,0,25.0,0,1
47,0,0,0,16,25,231,1,40,1,1,0,0,0,0,1,1,0,0,0,39.42,0,1
61,0,0,0,14,41,50084,1,50,1,1,0,0,0,0,0,1,0,0,0,26.92,0,1
42,0,0,0,18,18,56130,1,40,1,1,0,0,1,0,2,1,0,0,0,38.95,0,1
