age,asian,black,divorced,educ,exper,faminc,female,hrswork,insure,married,mcaid,mcare,metro,midwest,nchild,northeast,single,south,union,wage,west,white
53,1,0,0,0,47,56649,1,52,1,1,0,0,1,0,0,0,0,0,0,13.45,1,0
44,0,0,0,12,26,103422,1,40,1,1,0,0,1,1,2,0,0,0,0,14.55,0,1
31,0,0,0,16,9,35001,1,40,1,1,0,0,1,0,2,0,0,0,0,20.17,1,1
31,0,1,0,14,11,31000,1,52,1,1,0,0,1,0,2,0,0,1,0,19.23,0,0
62,0,0,0,21,35,59950,1,50,1,1,0,0,1,0,1,0,0,1,0,45.0,0,1
54,0,1,0,16,32,96234,1,36,1,1,0,0,1,0,1,0,0,1,0,62.0,0,0
25,0,0,0,16,3,48000,1,40,1,1,0,0,1,0,0,0,0,0,0,28.5,1,1
58,0,0,0,12,40,19199,1,42,1,1,0,0,1,0,0,0,0,1,0,15.0,0,1
53,1,0,0,8,39,49000,1,40,1,1,0,0,1,0,0,0,0,0,0,14.5,1,0
51,0,0,0,12,33,30000,1,40,1,1,0,0,1,0,0,1,0,0,0,24.05,0,1
27,0,0,0,16,5,34000,1,40,1,1,0,0,0,0,1,1,0,0,0,17.8,0,1
58,0,0,0,16,36,48000,1,40,1,1,0,0,0,0,0,1,0,0,0,18.98,0,1
35,0,0,0,14,15,41501,1,40,1,1,0,0,1,1,0,0,0,0,0,23.0,0,1
51,1,0,0,16,29,83213,1,40,1,1,0,0,1,0,1,0,0,0,0,12.3,1,0
51,0,0,0,13,32,40000,1,40,1,1,0,0,1,0,0,1,0,0,0,24.05,0,1
64,0,0,0,13,45,1676,1,40,1,1,0,0,1,1,0,0,0,0,0,19.23,0,1
56,0,0,0,13,37,42000,1,40,1,1,0,0,0,0,0,0,0,0,0,24.0,1,1
29,0,1,0,21,2,70683,1,50,1,1,0,0,1,0,0,0,0,1,0,35.38,0,0
32,0,0,0,16,10,58000,1,40,1,1,0,0,1,0,1,1,0,0,0,20.0,0,1
46,0,0,0,16,24,95808,1,40,1,1,0,0,1,0,2,1,0,0,0,21.63,0,1
36,0,0,0,16,14,35000,1,40,1,1,0,0,1,0,2,0,0,1,0,15.38,0,1
55,1,0,0,18,31,318426,1,50,1,1,0,0,1,0,0,1,0,0,0,30.76,0,0
61,0,0,0,12,43,3900,1,40,1,1,0,0,1,0,0,0,0,1,0,13.27,0,1
37,0,0,0,16,15,44002,1,45,1,1,0,0,1,1,2,0,0,0,1,31.02,0,1
33,0,0,0,14,13,94050,1,40,1,1,0,0,0,0,4,0,0,0,0,19.0,1,1
29,0,0,0,18,5,45850,1,36,1,1,0,0,1,0,2,0,0,1,0,35.0,0,1
47,0,0,0,16,25,231,1,40,1,1,0,0,0,0,1,1,0,0,0,39.42,0,1
42,0,1,0,20,16,25292,1,40,1,1,0,0,1,0,3,0,0,1,0,72.13,0,0
37,0,0,0,16,15,45000,1,40,1,1,0,0,1,0,0,0,0,1,0,28.85,0,1
47,0,0,0,14,27,30075,1,40,1,1,0,0,1,0,2,0,0,0,0,13.66,1,1
33,0,0,0,13,14,35770,1,20,1,1,0,0,0,1,1,0,0,0,0,8.0,0,1
34,0,1,0,12,16,0,1,40,0,1,0,0,1,0,7,0,0,1,0,6.93,0,0
37,0,0,0,16,15,22679,1,40,1,1,0,0,1,0,0,0,0,0,1,17.3,1,1
42,0,0,0,18,18,70808,1,40,1,1,0,0,1,1,2,0,0,0,0,21.63,0,1
50,0,0,0,16,28,100250,1,40,1,1,0,0,1,0,0,0,0,0,0,38.45,1,1
52,0,0,0,18,28,50042,1,37,1,1,0,0,0,0,1,1,0,0,0,24.0,0,1
30,0,0,0,12,12,72300,1,40,1,1,0,0,1,0,1,0,0,0,1,15.61,1,1
55,0,0,0,12,37,24659,1,40,1,1,0,0,1,0,0,0,0,1,0,16.83,0,1
51,0,0,0,18,27,91946,1,60,1,1,1,0,1,0,1,1,0,0,0,15.38,0,1
32,0,0,0,14,12,33005,1,40,0,1,0,0,1,0,0,0,0,1,0,15.38,0,1
55,0,1,0,18,31,42879,1,50,1,1,0,0,1,1,0,0,0,0,0,8.08,0,0
51,0,0,0,13,32,90779,1,40,1,1,0,0,1,1,2,0,0,0,0,18.68,0,1
28,0,0,0,18,4,85010,1,50,1,1,0,0,1,0,0,0,0,1,1,34.04,0,1
35,0,0,0,16,13,19000,1,40,1,1,0,0,0,1,0,0,0,0,1,14.4,0,1
46,0,1,0,12,28,36000,1,40,1,1,0,0,1,0,1,0,0,1,0,14.4,0,0
51,0,0,0,18,27,101163,1,43,1,1,0,0,1,0,2,1,0,0,0,33.53,0,1
51,0,0,0,18,27,65012,1,40,1,1,0,0,0,0,1,0,0,0,0,34.63,1,1
27,0,0,0,16,5,25502,1,40,0,1,0,0,1,1,0,0,0,0,0,13.0,0,1
49,0,0,0,12,31,145962,1,40,1,1,0,0,0,0,2,0,0,1,0,15.34,0,1
