county,year,crmrte,prbarr,prbconv,prbpris,avgsen,polpc,density,taxpc,west,central,urban,pctmin80,wcon,wtuc,wtrd,wfir,wser,wmfg,wfed,wsta,wloc,mix,pctymle,d82,d83,d84,d85,d86,d87,lcrmrte,lprbarr,lprbconv,lprbpris,lavgsen,lpolpc,ldensity,ltaxpc,lwcon,lwtuc,lwtrd,lwfir,lwser,lwmfg,lwfed,lwsta,lwloc,lmix,lpctymle,lpctmin,clcrmrte,clprbarr,clprbcon,clprbpri,clavgsen,clpolpc,cltaxpc,clmix
1,81,0.0398849,0.289696,0.402062,0.472222,5.61,0.00178678,2.3071594,25.69763,0,1,0,20.2187,206.4803,333.62088,182.33301,272.4492,215.73349,229.12,409.37,236.24,231.47,0.09991788,0.08769682,0,0,0,0,0,0,-3.2217574,-1.2389232,-0.91114897,-0.75030607,1.7245507,-6.32734,0.8360171,3.2463987,5.330205,5.810005,5.205835,5.607452,5.374044,5.434246,6.0146194,5.464848,5.4444504,-2.3034067,-2.4338696,3.006608,,,,,,,,
1,82,0.0383449,0.338111,0.433005,0.506993,5.59,0.00176659,2.330254,24.874252,0,1,0,20.2187,212.7542,369.29642,189.54141,300.87875,231.5767,240.33,419.7,253.88,236.79,0.10304912,0.08637666,1,0,0,0,0,0,-3.2611337,-1.084381,-0.837006,-0.6792581,1.7209793,-6.338704,0.8459773,3.2138333,5.3601375,5.9115996,5.2446074,5.7067075,5.444911,5.4820127,6.0395403,5.536862,5.4671736,-2.2725494,-2.4490378,3.006608,-0.03937626,0.15454221,0.07414299,0.07104796,-0.003571391,-0.011363983,-0.032565355,0.030857325
1,83,0.0303048,0.330449,0.525703,0.479705,5.8,0.00183577,2.3418014,26.451443,0,1,0,20.2187,219.78021,1394.8035,196.63947,309.96964,240.15685,269.7,438.85,250.36,248.58,0.08067867,0.08509085,0,1,0,0,0,0,-3.4964492,-1.107303,-0.64301884,-0.7345839,1.7578579,-6.300291,0.85092044,3.2753108,5.392628,7.240509,5.281372,5.7364745,5.4812922,5.59731,6.0841575,5.5229,5.5157647,-2.517281,-2.4640357,3.006608,-0.23531556,-0.022922039,0.19398713,-0.055325806,0.036878586,0.038413048,0.061477423,-0.24473166
1,84,0.0347259,0.362525,0.604706,0.520104,6.89,0.00188588,2.3464203,26.842348,0,1,0,20.2187,223.4238,398.8604,200.56291,350.08633,252.44768,281.74,459.17,261.93,264.38,0.07850353,0.08383328,0,0,1,0,0,0,-3.3602695,-1.0146619,-0.5030129,-0.6537265,1.9300711,-6.2733607,0.8528909,3.289981,5.4090705,5.9886117,5.301128,5.8581796,5.531204,5.6409845,6.1294208,5.568077,5.5773873,-2.5446117,-2.4789252,3.006608,0.13617969,0.092641115,0.14000595,0.080857396,0.1722132,0.026930332,0.014670134,-0.027330637
1,85,0.036573,0.325395,0.578723,0.497059,6.55,0.00192436,2.364896,28.140337,0,1,0,20.2187,243.75624,358.78302,206.88274,383.07074,261.08612,298.88,490.43,281.44,288.58,0.09324856,0.08230646,0,0,0,1,0,0,-3.308445,-1.1227155,-0.5469313,-0.69904655,1.8794651,-6.253162,0.86073405,3.337204,5.4961686,5.8827176,5.3321524,5.94822,5.5648503,5.7000422,6.1952825,5.6399193,5.6649723,-2.3724866,-2.4973056,3.006608,0.05182457,-0.108053565,-0.04391843,-0.045320034,-0.050606012,0.020198822,0.04722309,0.1721251
1,86,0.0347524,0.326062,0.512324,0.439863,6.9,0.00189522,2.3856814,29.74098,0,1,0,20.2187,257.91394,369.5465,218.51653,409.88425,269.61285,322.65,478.67,286.91,306.7,0.09732283,0.08008062,0,0,0,0,1,0,-3.3595066,-1.1206677,-0.6687981,-0.821292,1.9315214,-6.26842,0.8694848,3.392526,5.552626,5.9122767,5.386862,6.015875,5.5969872,5.776568,6.1710114,5.6591687,5.72587,-2.3297217,-2.5247214,3.006608,-0.05106163,0.0020477772,-0.12186676,-0.12224543,0.052056313,-0.015258312,0.05532193,0.042764902
1,87,0.0356036,0.29827,0.527596,0.43617,6.71,0.00182786,2.4226327,30.993681,0,1,0,20.2187,281.4259,408.7245,221.27007,453.1722,274.17746,334.54,477.58,292.09,311.91,0.08016878,0.07787097,0,0,0,0,0,1,-3.3353086,-1.2097563,-0.63942444,-0.8297232,1.9035989,-6.3046093,0.88485485,3.4337833,5.639869,6.0130415,5.399384,6.116272,5.6137757,5.8127565,6.1687317,5.677062,5.742715,-2.523621,-2.552702,3.006608,0.024198055,-0.08908856,0.029373646,-0.008431196,-0.027922511,-0.03618908,0.04125738,-0.1938994
3,81,0.0163921,0.202899,0.869048,0.465753,8.45,0.00059392,0.976834,14.560878,0,1,0,7.91632,188.76828,292.64215,151.42339,202.42915,191.37416,210.75,381.72,247.38,213.17,0.05612245,0.08700462,0,0,0,0,0,0,-4.1109557,-1.595047,-0.14035691,-0.76409984,2.1341665,-7.428766,-0.02343855,2.6783383,5.24052,5.6789503,5.0200796,5.31039,5.2542305,5.3506727,5.9446874,5.510926,5.36209,-2.8802195,-2.4417942,2.0689263,,,,,,,,
3,82,0.0190651,0.162218,0.772152,0.377049,5.71,0.00070467,0.992278,35.640728,0,1,0,7.91632,186.9658,345.72168,156.88258,225.04092,208.81895,217.77,386.42,374.07,219.18,0.04731183,0.08647217,1,0,0,0,0,0,-3.9598958,-1.8188142,-0.25857386,-0.9753801,1.742219,-7.257781,-0.007751989,3.573489,5.2309256,5.845634,5.0554976,5.416282,5.341468,5.3834395,5.956925,5.924443,5.389893,-3.0509949,-2.4479327,2.0689263,0.15105987,-0.22376716,-0.11821695,-0.21128029,-0.3919475,0.17098475,0.89515066,-0.17077541
3,83,0.0151492,0.181586,1.02817,0.438356,8.69,0.00065866,1.003861,19.261877,0,1,0,7.91632,193.59834,604.9115,157.12946,248.13896,219.08472,236.64,382.65,268.9,223.06,0.0596206,0.0859426,0,1,0,0,0,0,-4.1898074,-1.706026,0.027780512,-0.8247239,2.1621728,-7.325303,0.0038535162,2.958128,5.2657857,6.405082,5.0570703,5.513989,5.3894587,5.46654,5.9471207,5.5943394,5.4074407,-2.8197541,-2.4540756,2.0689263,-0.22991157,0.1127882,0.28635436,0.15065622,0.41995382,-0.06752205,-0.615361,0.23124075
3,84,0.0136621,0.194986,0.885714,0.5,8.01,0.0006089,1.015444,21.39557,0,1,0,7.91632,219.08472,340.65933,162.26646,263.64764,228.59216,255.22,376.53,288.05,242.05,0.05899705,0.08549932,0,0,1,0,0,0,-4.29313,-1.6348275,-0.12136119,-0.6931472,2.0806909,-7.4038568,0.015325995,3.063184,5.3894587,5.830883,5.0892396,5.5746136,5.4319396,5.5421257,5.930998,5.663134,5.4891443,-2.830268,-2.4592469,2.0689263,-0.103322506,0.07119846,-0.1491417,0.13157672,-0.08148193,-0.07855368,0.10505605,-0.0105137825
3,85,0.0120346,0.206897,0.909091,0.366667,8.59,0.00064134,1.0308881,24.036367,0,1,0,7.91632,2324.5984,338.7238,173.16806,250.15634,257.65497,262.06,411.23,312.8,262.84,0.08503401,0.08486101,0,0,0,1,0,0,-4.4199696,-1.5755342,-0.095310085,-1.0033011,2.1505988,-7.3519506,0.030420644,3.179568,7.7513027,5.825185,5.1542625,5.522086,5.5516214,5.5685735,6.0191526,5.745564,5.5715456,-2.464704,-2.4667406,2.0689263,-0.12683964,0.05929327,0.026051104,-0.31015396,0.0699079,0.05190611,0.11638403,0.36556387
