dateid01,charv,churb
1982-01-01,44.47,56.15
1982-02-01,43.97,55.92
1982-03-01,43.46,55.76
1982-04-01,43.04,55.76
1982-05-01,42.83,56.02
1982-06-01,42.84,56.47
1982-07-01,43.08,56.76
1982-08-01,43.5,56.46
1982-09-01,44.02,55.69
1982-10-01,44.54,54.91
1982-11-01,45.02,54.13
1982-12-01,45.48,53.54
1983-01-01,45.87,53.94
1983-02-01,46.22,55.16
1983-03-01,46.57,56.43
1983-04-01,46.8,57.47
1983-05-01,46.91,58.12
1983-06-01,46.99,58.39
1983-07-01,47.21,58.49
1983-08-01,47.64,58.67
1983-09-01,48.0,58.93
1983-10-01,48.09,59.1
1983-11-01,48.04,59.06
1983-12-01,48.1,58.89
1984-01-01,48.25,58.8
1984-02-01,48.44,58.95
1984-03-01,48.72,59.33
1984-04-01,49.0,59.88
1984-05-01,49.3,60.41
1984-06-01,49.73,60.69
1984-07-01,50.2,60.75
1984-08-01,50.37,60.66
1984-09-01,50.08,60.62
1984-10-01,49.7,60.71
1984-11-01,49.57,60.75
1984-12-01,49.72,60.7
1985-01-01,49.99,60.87
1985-02-01,50.2,61.24
1985-03-01,50.43,61.48
1985-04-01,50.77,61.49
1985-05-01,51.01,61.58
1985-06-01,51.14,61.91
1985-07-01,51.38,62.19
1985-08-01,51.64,62.5
1985-09-01,51.77,62.79
1985-10-01,51.71,62.88
1985-11-01,51.67,62.92
1985-12-01,51.74,62.97
1986-01-01,51.89,62.93
1986-02-01,52.2,62.97
1986-03-01,52.56,63.24
1986-04-01,52.86,63.7
1986-05-01,53.29,64.28
1986-06-01,53.85,64.83
1986-07-01,54.35,65.25
1986-08-01,54.68,65.32
1986-09-01,54.91,65.15
1986-10-01,55.06,65.11
1986-11-01,55.15,65.15
1986-12-01,55.26,65.05
1987-01-01,55.34,64.73
1987-02-01,55.38,65.01
1987-03-01,55.54,65.96
1987-04-01,55.98,66.7
1987-05-01,56.65,67.28
1987-06-01,57.36,67.67
1987-07-01,58.01,67.85
1987-08-01,58.44,68.06
1987-09-01,58.68,68.22
1987-10-01,58.98,68.14
1987-11-01,59.36,67.92
1987-12-01,59.68,67.81
1988-01-01,59.89,67.89
1988-02-01,60.11,68.07
1988-03-01,60.47,68.49
1988-04-01,61.05,69.11
1988-05-01,61.75,69.67
1988-06-01,62.43,70.08
1988-07-01,62.95,70.41
1988-08-01,63.23,70.63
1988-09-01,63.53,70.49
1988-10-01,64.07,70.15
1988-11-01,64.69,70.06
1988-12-01,65.24,70.14
1989-01-01,65.72,70.22
1989-02-01,66.29,70.41
1989-03-01,67.0,70.67
1989-04-01,67.73,70.92
1989-05-01,68.31,71.15
1989-06-01,68.75,71.43
1989-07-01,69.15,71.58
1989-08-01,69.54,71.52
1989-09-01,69.94,71.53
1989-10-01,70.33,71.62
1989-11-01,70.74,71.53
1989-12-01,71.11,71.37
1990-01-01,71.32,71.31
1990-02-01,71.44,71.38
1990-03-01,71.69,71.65
1990-04-01,72.16,71.99
1990-05-01,72.63,72.26
1990-06-01,72.96,72.42
1990-07-01,73.25,72.5
1990-08-01,73.37,72.46
1990-09-01,73.24,72.37
1990-10-01,72.99,72.42
1990-11-01,72.77,72.37
1990-12-01,72.72,72.17
1991-01-01,72.8,72.17
1991-02-01,72.97,72.43
1991-03-01,73.24,72.77
1991-04-01,73.52,73.09
1991-05-01,73.77,73.27
1991-06-01,74.09,73.43
1991-07-01,74.2,73.61
1991-08-01,74.1,73.7
1991-09-01,74.22,73.71
1991-10-01,74.59,73.79
1991-11-01,74.9,73.88
1991-12-01,75.05,73.85
1992-01-01,75.23,73.91
1992-02-01,75.6,74.29
1992-03-01,75.88,74.71
1992-04-01,75.82,74.91
1992-05-01,75.68,75.0
1992-06-01,75.73,75.09
1992-07-01,76.0,75.26
1992-08-01,76.35,75.3
1992-09-01,76.58,75.35
1992-10-01,76.65,75.45
1992-11-01,76.59,75.39
1992-12-01,76.21,75.12
1993-01-01,75.82,74.97
1993-02-01,75.77,75.0
1993-03-01,75.94,75.2
1993-04-01,76.29,75.75
1993-05-01,76.66,76.44
1993-06-01,76.81,76.91
1993-07-01,76.82,77.08
1993-08-01,76.83,77.27
1993-09-01,76.8,77.47
1993-10-01,76.79,77.36
1993-11-01,76.82,77.27
1993-12-01,76.73,77.45
1994-01-01,76.68,77.69
1994-02-01,76.77,78.07
1994-03-01,76.99,78.67
1994-04-01,77.48,79.38
1994-05-01,78.02,80.07
1994-06-01,78.43,80.72
1994-07-01,78.62,81.3
1994-08-01,78.61,81.63
1994-09-01,78.52,81.64
1994-10-01,78.49,81.52
1994-11-01,78.57,81.43
1994-12-01,78.59,81.52
1995-01-01,78.52,81.62
1995-02-01,78.48,81.63
1995-03-01,78.55,81.82
1995-04-01,78.67,82.27
1995-05-01,78.7,82.78
1995-06-01,78.81,83.31
1995-07-01,79.07,83.77
1995-08-01,79.32,84.03
1995-09-01,79.38,84.11
1995-10-01,79.32,84.01
1995-11-01,79.34,84.05
