dateid01,france,germany
1990-01-01,3.382,2.765
1990-04-01,3.052,2.435
1990-07-01,3.179,2.736
1990-10-01,3.438,3.021
1991-01-01,3.272,2.84
1991-04-01,3.244,3.269
1991-07-01,3.221,4.438
1991-10-01,2.909,5.425
1992-01-01,2.893,5.959
1992-04-01,2.869,6.043
1992-07-01,2.171,4.958
1992-10-01,1.884,3.338
1993-01-01,2.142,4.664
1993-04-01,1.859,4.342
1993-07-01,2.125,4.588
1993-10-01,1.982,4.307
1994-01-01,1.704,2.883
1994-04-01,1.695,2.861
1994-07-01,1.691,2.581
1994-10-01,1.684,2.452
1995-01-01,1.675,2.166
1995-04-01,1.667,1.643
1995-07-01,1.79,1.509
1995-10-01,1.911,1.511
1996-01-01,2.155,1.372
1996-04-01,2.396,1.493
1996-07-01,1.759,1.363
1996-10-01,1.75,1.489
1997-01-01,1.489,1.845
1997-04-01,0.862,1.593
1997-07-01,1.358,2.323
1997-10-01,1.106,2.2
1998-01-01,0.733,1.208
1998-04-01,0.977,1.327
1998-07-01,0.609,0.597
1998-10-01,0.243,0.359
1999-01-01,0.243,0.239
1999-04-01,0.363,0.476
1999-07-01,0.484,0.713
1999-10-01,1.091,0.954
2000-01-01,1.453,1.548
2000-04-01,1.566,1.185
2000-07-01,1.928,1.297
2000-10-01,1.799,1.771
2001-01-01,1.313,1.641
2001-04-01,2.017,2.459
2001-07-01,1.773,2.095
2001-10-01,1.413,1.624
2002-01-01,2.12,2.076
2002-04-01,1.628,1.371
2002-07-01,1.742,1.14
2002-10-01,2.207,1.256
2003-01-01,2.422,1.13
2003-04-01,1.945,0.789
2003-07-01,1.941,1.127
2003-10-01,2.159,1.127
2004-01-01,1.802,0.894
2004-04-01,2.357,1.79
2004-07-01,2.24,1.784
2004-10-01,2.113,2.007
2005-01-01,1.659,1.661
2005-04-01,1.645,1.319
2005-07-01,1.972,1.643
2005-10-01,1.634,1.639
2006-01-01,1.85,1.743
2006-04-01,1.942,1.844
2006-07-01,1.611,1.509
2006-10-01,1.286,1.29
2007-01-01,1.068,1.713
2007-04-01,1.164,2.023
2007-07-01,1.268,2.229
2007-10-01,2.328,3.079
2008-01-01,2.96,2.947
2008-04-01,3.347,2.923
2008-07-01,3.34,3.115
2008-10-01,1.861,1.648
2009-01-01,0.616,0.818
2009-04-01,-0.202,0.203
2009-07-01,-0.505,-0.302
2009-10-01,0.305,0.405
2010-01-01,1.327,0.811
2010-04-01,1.623,1.113
2010-07-01,1.624,1.111
2010-10-01,1.619,1.413
2011-01-01,1.813,1.911
2011-04-01,2.096,2.002
2011-07-01,2.098,2.198
2011-10-01,2.49,2.189
2012-01-01,2.374,2.172
2012-04-01,1.955,1.865
2012-07-01,1.957,2.053
2012-10-01,1.555,2.045
2013-01-01,1.063,1.546
2013-04-01,0.767,1.541
2013-07-01,0.96,1.628
2013-10-01,0.574,1.336
2014-01-01,0.669,1.142
2014-04-01,0.666,1.044
2014-07-01,0.38,0.848
2014-10-01,0.285,0.471
