dateid01,iron,xrate
2010-01-01,125.91,0.8909
2010-02-01,127.62,0.8899
2010-03-01,139.77,0.9159
2010-04-01,172.47,0.93
2010-05-01,161.35,0.849
2010-06-01,143.63,0.8523
2010-07-01,126.36,0.8986
2010-08-01,145.34,0.8918
2010-09-01,140.63,0.9667
2010-10-01,148.48,0.9761
2010-11-01,160.55,0.9618
2010-12-01,168.53,1.0163
2011-01-01,179.63,0.9924
2011-02-01,187.18,1.0163
2011-03-01,169.36,1.0334
2011-04-01,179.26,1.09
2011-05-01,177.09,1.0709
2011-06-01,170.88,1.0739
2011-07-01,172.98,1.0954
2011-08-01,177.45,1.0691
2011-09-01,177.23,0.9781
2011-10-01,150.43,1.0509
2011-11-01,135.54,1.0021
2011-12-01,136.45,1.0156
2012-01-01,140.35,1.0637
2012-02-01,140.4,1.0816
2012-03-01,144.66,1.0402
2012-04-01,147.65,1.0453
2012-05-01,136.27,0.9727
2012-06-01,134.62,1.0191
2012-07-01,127.94,1.0526
2012-08-01,107.8,1.0301
2012-09-01,99.47,1.0464
2012-10-01,113.95,1.0378
2012-11-01,120.35,1.0431
2012-12-01,128.87,1.0384
2013-01-01,150.49,1.0394
2013-02-01,154.64,1.0275
2013-03-01,139.87,1.0426
2013-04-01,137.39,1.0368
2013-05-01,124.01,0.9649
2013-06-01,114.81,0.9275
2013-07-01,127.19,0.9037
2013-08-01,137.06,0.8947
2013-09-01,134.19,0.9309
2013-10-01,132.57,0.949
2013-11-01,136.32,0.9087
2013-12-01,135.79,0.8948
2014-01-01,128.12,0.8763
2014-02-01,121.37,0.8947
2014-03-01,111.83,0.9221
2014-04-01,114.58,0.9287
2014-05-01,100.56,0.9319
2014-06-01,92.74,0.942
2014-07-01,95.97,0.9324
2014-08-01,92.63,0.9349
2014-09-01,82.27,0.8752
2014-10-01,80.09,0.8805
2014-11-01,73.12,0.8491
2014-12-01,68.8,0.8202
2015-01-01,67.39,0.7781
2015-02-01,62.69,0.7792
2015-03-01,56.94,0.7634
2015-04-01,51.15,0.7981
2015-05-01,60.23,0.7663
2015-06-01,62.29,0.768
2015-07-01,51.5,0.7294
2015-08-01,55.38,0.7149
2015-09-01,56.43,0.701
2015-10-01,52.74,0.7099
2015-11-01,46.16,0.7189
2015-12-01,39.6,0.7306
2016-01-01,41.25,0.71
2016-02-01,46.18,0.714
2016-03-01,55.52,0.7657
2016-04-01,59.58,0.7655
2016-05-01,54.85,0.7242
2016-06-01,51.36,0.7426
2016-07-01,56.57,0.7522
2016-08-01,60.47,0.7514
2016-09-01,56.67,0.763
2016-10-01,58.02,0.7613
2016-11-01,72.25,0.7474
2016-12-01,79.43,0.7236
