dateid01,fngap,gap,inf,infex,t
1990-01-01,1.904,1.561,6.42,6.545,1
1990-04-01,1.927,1.359,6.13,5.845,2
1990-07-01,1.804,1.047,6.452,5.618,3
1990-10-01,0.858,-0.045,6.716,6.323,4
1991-01-01,2.559,1.517,6.216,6.642,5
1991-04-01,1.709,0.582,6.498,6.204,6
1991-07-01,1.447,0.266,6.417,6.095,7
1991-10-01,2.34,1.109,5.769,5.796,8
1992-01-01,2.315,1.066,5.852,5.291,9
1992-04-01,1.952,0.709,5.424,5.209,10
1992-07-01,1.426,0.195,5.025,5.127,11
1992-10-01,0.431,-0.779,4.959,5.798,12
1993-01-01,-0.006,-1.201,4.553,5.68,13
1993-04-01,-0.55,-1.728,4.662,5.319,14
1993-07-01,-1.025,-2.181,4.785,4.773,15
1993-10-01,-0.639,-1.776,4.567,4.319,16
1994-01-01,-0.249,-1.356,4.355,3.773,17
1994-04-01,0.075,-0.986,3.994,3.695,18
1994-07-01,0.277,-0.729,3.805,3.785,19
1994-10-01,0.774,-0.173,3.916,3.831,20
1995-01-01,1.578,0.69,4.322,3.918,21
1995-04-01,1.178,0.361,5.318,4.788,22
1995-07-01,1.153,0.398,5.718,4.99,23
1995-10-01,1.518,0.81,5.507,4.725,24
1996-01-01,1.494,0.826,5.143,4.415,25
1996-04-01,0.816,0.182,4.348,4.001,26
1996-07-01,0.254,-0.361,3.467,3.618,27
1996-10-01,-0.542,-1.151,3.022,3.2,28
1997-01-01,-0.098,-0.719,2.582,2.631,29
1997-04-01,0.396,-0.24,1.882,2.403,30
1997-07-01,0.571,-0.072,1.877,2.143,31
1997-10-01,1.658,1.005,2.0,2.16,32
1998-01-01,0.57,-0.081,1.987,2.02,33
1998-04-01,0.657,-0.003,2.111,1.953,34
1998-07-01,0.285,-0.395,1.974,1.869,35
1998-10-01,-0.533,-1.236,1.699,1.606,36
1999-01-01,-0.562,-1.297,1.429,1.369,37
1999-04-01,-0.431,-1.2,1.421,1.386,38
1999-07-01,-0.117,-0.914,1.806,1.612,39
1999-10-01,0.751,-0.066,2.057,1.748,40
2000-01-01,1.279,0.459,2.305,1.914,41
2000-04-01,1.745,0.934,2.548,2.046,42
2000-07-01,1.858,1.066,2.535,2.15,43
2000-10-01,2.688,1.913,2.645,2.154,44
2001-01-01,2.956,2.202,2.879,2.175,45
2001-04-01,2.049,1.323,2.981,2.266,46
2001-07-01,1.297,0.586,2.843,2.364,47
2001-10-01,0.833,0.117,2.454,1.95,48
2002-01-01,0.685,-0.047,2.433,1.788,49
2002-04-01,0.789,0.034,2.292,2.065,50
2002-07-01,0.744,-0.034,2.404,2.125,51
2002-10-01,0.583,-0.216,2.754,2.077,52
2003-01-01,0.164,-0.656,2.732,2.149,53
2003-04-01,-0.363,-1.207,2.712,2.287,54
2003-07-01,-0.376,-1.251,2.817,2.219,55
2003-10-01,-0.088,-0.998,2.564,2.244,56
2004-01-01,0.201,-0.738,2.312,2.16,57
2004-04-01,0.269,-0.692,2.296,2.115,58
2004-07-01,0.288,-0.69,2.169,2.189,59
2004-10-01,0.197,-0.795,1.932,2.18,60
2005-01-01,-0.187,-1.186,1.921,2.076,61
2005-04-01,0.36,-0.65,1.908,1.977,62
2005-07-01,0.811,-0.198,2.011,1.91,63
2005-10-01,0.758,-0.228,2.118,2.04,64
2006-01-01,1.126,0.173,2.106,2.083,65
2006-04-01,1.488,0.583,2.203,2.002,66
2006-07-01,1.681,0.844,2.191,2.065,67
2006-10-01,2.595,1.835,1.856,2.011,68
2007-01-01,2.856,2.195,1.737,1.852,69
2007-04-01,2.721,2.174,1.616,1.797,70
2007-07-01,2.529,2.1,1.608,1.85,71
2007-10-01,2.335,2.025,2.358,1.917,72
2008-01-01,3.295,3.098,2.988,2.4,73
2008-04-01,2.584,2.501,3.499,2.703,74
2008-07-01,1.361,1.382,4.008,3.09,75
2008-10-01,-0.828,-0.732,2.827,2.682,76
2009-01-01,-3.634,-3.491,1.554,1.292,77
2009-04-01,-3.802,-3.63,0.922,0.975,78
2009-07-01,-3.019,-2.821,0.101,1.13,79
2009-10-01,-2.735,-2.49,0.611,1.291,80
2010-01-01,-2.033,-1.715,1.224,1.553,81
2010-04-01,-1.146,-0.736,1.421,1.571,82
2010-07-01,-0.489,0.029,1.621,1.619,83
2010-10-01,0.018,0.656,1.822,1.677,84
2011-01-01,0.55,1.313,2.419,1.7,85
2011-04-01,0.912,1.8,2.603,2.31,86
2011-07-01,0.56,1.561,2.792,2.368,87
2011-10-01,-0.272,0.825,3.28,2.16,88
2012-01-01,-1.055,0.121,3.248,2.279,89
2012-04-01,-1.425,-0.181,3.317,2.81,90
2012-07-01,-1.702,-0.398,3.201,2.512,91
2012-10-01,-1.961,-0.599,2.502,2.512,92
2013-01-01,-2.597,-1.185,1.907,1.958,93
2013-04-01,-2.365,-0.89,1.133,1.834,94
2013-07-01,-2.04,-0.498,1.128,1.55,95
2013-10-01,-1.84,-0.223,0.657,1.55,96
2014-01-01,-1.814,-0.116,0.468,1.1,97
2014-04-01,-1.719,0.065,0.467,0.875,98
2014-07-01,-1.597,0.277,-0.093,0.7,99
2014-10-01,-1.366,0.604,0.093,0.5,100
