year,cn,p,w1,i,klag,e,w2,g,tx,plag,time,w,y,elag
1920,39.8,12.7,28.8,2.7,180.1,44.9,2.2,2.4,3.4,,-11,31.0,41.5,
1921,41.9,12.4,25.5,-0.2,182.8,45.6,2.7,3.9,7.7,12.7,-10,28.2,37.89999999999999,44.9
1922,45.0,16.9,29.3,1.9,182.6,50.1,2.9,3.2,3.9,12.4,-9,32.2,46.2,45.6
1923,49.2,18.4,34.1,5.2,184.5,57.2,2.9,2.8,4.7,16.9,-8,37.0,52.5,50.1
1924,50.6,19.4,33.9,3.0,189.7,57.1,3.1,3.5,3.8,18.4,-7,37.0,53.300000000000004,57.2
1925,52.6,20.1,35.4,5.1,192.7,61.0,3.2,3.3,5.5,19.4,-6,38.6,55.5,57.1
1926,55.1,19.6,37.4,5.6,197.8,64.0,3.3,3.3,7.0,20.1,-5,40.699999999999996,57.0,61.0
1927,56.2,19.8,37.9,4.2,203.4,64.4,3.6,4.0,6.7,19.6,-4,41.5,57.7,64.0
1928,57.3,21.1,39.2,3.0,207.6,64.5,3.7,4.2,4.2,19.8,-3,42.900000000000006,60.3,64.4
1929,57.8,21.7,41.3,5.1,210.6,67.0,4.0,4.1,4.0,21.1,-2,45.3,63.0,64.5
1930,55.0,15.6,37.9,1.0,215.7,61.2,4.2,5.2,7.7,21.7,-1,42.1,53.5,67.0
1931,50.9,11.4,34.5,-3.4,216.7,53.4,4.8,5.9,7.5,15.6,0,39.3,45.9,61.2
1932,45.6,7.0,29.0,-6.2,213.3,44.3,5.3,4.9,8.3,11.4,1,34.3,36.0,53.4
1933,46.5,11.2,28.5,-5.1,207.1,45.1,5.6,3.7,5.4,7.0,2,34.1,39.7,44.3
1934,48.7,12.3,30.6,-3.0,202.0,49.7,6.0,4.0,6.8,11.2,3,36.6,42.900000000000006,45.1
1935,51.3,14.0,33.2,-1.3,199.0,54.4,6.1,4.4,7.2,12.3,4,39.300000000000004,47.199999999999996,49.7
1936,57.7,17.6,36.8,2.1,197.7,62.7,7.4,2.9,8.3,14.0,5,44.199999999999996,54.400000000000006,54.4
1937,58.7,17.3,41.0,2.0,199.8,65.0,6.7,4.3,6.7,17.6,6,47.7,58.3,62.7
1938,57.5,15.3,38.2,-1.9,201.8,60.9,7.7,5.3,7.4,17.3,7,45.900000000000006,53.5,65.0
1939,61.6,19.0,41.6,1.3,199.9,69.5,7.8,6.6,8.9,15.3,8,49.4,60.6,60.9
1940,65.0,21.1,45.0,3.3,201.2,75.7,8.0,7.4,9.6,19.0,9,53.0,66.10000000000001,69.5
1941,69.7,23.5,53.3,4.9,204.5,88.4,8.5,13.8,11.6,21.1,10,61.8,76.80000000000001,75.7
