id,t,time,educ,exper,score,motheduc,fatheduc,broken,sibs,wage
1485,1,2,12,2,0.88,13,17,0,4,4.62
623,1,0,11,2,0.17,12,12,0,6,7.39
872,1,14,17,8,1.55,12,12,0,3,8.94
337,1,3,11,1,1.04,10,12,0,2,4.06
1669,1,3,12,3,0.49,9,9,0,3,7.1
143,1,6,15,5,0.59,15,14,0,2,10.38
457,1,1,13,4,-0.12,12,13,0,5,8.17
1262,1,7,16,7,0.79,12,12,0,1,6.96
1980,1,1,10,7,-1.02,14,12,1,2,12.68
1945,1,2,12,3,-0.74,12,12,0,6,6.49
244,1,1,9,3,-1.53,12,12,0,3,5.47
2169,1,0,12,2,-0.83,11,13,0,5,9.12
1931,1,4,9,5,-1.9,4,5,0,7,4.35
613,1,5,13,9,0.24,12,12,0,0,7.39
2167,1,8,15,3,0.29,16,14,0,1,12.68
2014,1,4,12,2,1.07,12,16,0,2,4.85
1190,1,10,18,4,0.82,14,19,1,1,15.49
1694,1,2,12,2,0.29,12,12,0,2,5.47
2013,1,4,12,3,1.19,9,12,0,3,8.5
2087,1,0,10,2,-0.06,14,18,0,3,5.99
2164,1,6,13,2,-0.21,12,12,0,3,3.97
2163,1,8,14,3,0.98,13,16,0,3,5.21
1506,1,8,15,6,0.53,12,16,1,5,23.81
2161,1,9,19,4,1.14,13,14,0,3,7.39
954,1,4,12,2,-0.16,12,12,0,0,5.21
334,1,6,12,3,0.07,12,12,0,1,1.93
2159,1,4,13,4,1.03,12,13,0,1,9.97
41,1,5,15,3,0.68,13,14,0,3,11.47
1365,1,0,12,3,0.15,16,16,1,3,7.46
1078,1,3,13,2,0.01,12,10,0,6,5.99
277,1,3,12,4,-1.11,12,12,1,4,5.99
936,1,7,12,4,-0.43,11,11,0,6,7.03
1833,1,0,13,1,-1.0,4,6,0,2,7.92
1071,1,0,11,3,-0.95,10,8,0,5,3.56
1850,1,3,11,2,-0.61,14,9,0,2,5.58
1276,1,0,12,3,0.02,12,16,0,3,6.05
1952,1,8,16,2,-0.21,18,18,0,2,2.1
2114,1,6,11,6,-1.12,7,8,0,4,3.19
2084,1,5,12,5,-1.55,10,6,0,4,3.97
1101,1,0,12,2,0.43,12,12,0,2,12.43
993,1,13,17,7,1.39,17,17,0,2,8.25
1300,1,3,11,1,-1.29,12,8,1,2,5.37
2054,1,2,12,3,0.28,6,0,0,6,7.39
983,1,2,13,5,1.21,11,16,0,1,9.12
1382,1,3,13,4,0.62,12,12,0,5,9.97
2136,1,0,11,2,0.73,9,8,0,1,5.99
750,1,9,16,4,1.46,16,16,0,2,15.33
920,1,3,13,2,-0.25,12,11,0,1,37.34
1510,1,0,11,1,1.07,12,13,0,5,3.49
2140,1,2,17,2,0.97,16,18,0,1,5.58
459,1,4,10,5,-0.79,12,12,0,3,7.24
1653,1,5,15,4,0.36,12,12,0,3,10.8
1804,1,0,9,5,-2.49,6,3,0,8,5.99
751,1,6,12,7,0.03,10,12,0,2,6.82
2135,1,1,12,2,-0.37,12,12,1,0,5.42
699,1,1,15,3,0.95,12,9,1,1,8.33
804,1,7,10,6,-0.19,12,12,0,3,4.81
774,1,3,11,5,0.0,12,12,0,1,17.29
1024,1,2,11,1,1.35,12,12,0,2,7.77
2127,1,4,10,5,-0.07,14,12,0,1,4.85
267,1,6,12,3,0.67,12,14,0,0,4.48
2063,1,7,15,2,0.31,12,12,0,1,5.42
1454,1,5,12,4,-0.91,12,10,0,5,3.63
2121,1,11,11,15,-1.99,11,5,1,6,15.18
667,1,7,12,6,-0.23,12,10,0,1,3.6
2126,1,6,11,9,-0.11,9,1,1,7,5.87
860,1,8,14,6,1.43,12,8,0,2,10.49
1592,1,0,12,3,-0.37,12,12,0,6,6.55
1344,1,1,12,2,1.1,8,7,1,3,2.92
2125,1,5,15,3,0.25,12,12,1,1,5.64
265,1,3,17,0,0.9,12,13,0,1,8.25
1858,1,12,18,4,1.54,15,19,0,2,5.31
1272,1,2,10,2,0.39,11,8,0,0,5.21
2110,1,4,12,3,-0.22,8,10,1,1,7.77
706,1,6,12,5,-0.73,11,12,0,3,1.49
221,1,7,10,10,-0.43,9,9,1,4,3.6
1867,1,0,11,2,-0.5,14,16,0,12,5.31
95,1,0,12,3,-0.41,12,12,0,5,8.58
1207,1,7,9,9,-0.2,12,16,0,2,7.24
1683,1,8,15,4,1.01,16,8,0,0,3.39
2076,1,9,15,3,0.52,12,12,0,1,9.49
2061,1,8,12,11,-2.39,4,12,0,8,8.0
1188,1,0,12,3,0.29,12,10,0,3,15.03
628,1,3,14,5,-0.71,12,12,0,4,8.5
1045,1,2,11,3,-1.14,6,6,1,4,5.31
668,1,2,16,2,1.38,12,10,0,1,11.02
2021,1,4,12,1,-0.23,13,14,0,2,4.9
955,1,4,15,3,0.79,12,13,0,4,9.03
1264,1,0,13,3,0.48,15,14,0,1,10.18
2093,1,5,12,8,0.54,10,12,1,2,18.54
