wfood,wcloth,totexp,age,nk
0.4272,0.0,50,25,2
0.3739,0.0091,90,39,2
0.1941,0.0012,180,47,2
0.4438,0.0539,80,33,2
0.3331,0.0399,90,31,1
0.3752,0.117,70,24,1
0.2568,0.0453,140,46,1
0.4533,0.1131,50,25,1
0.3279,0.1671,100,30,1
0.4608,0.023,90,41,1
0.3447,0.2547,100,48,2
0.4491,0.1617,100,24,1
0.4439,0.0018,80,28,2
0.209,0.0728,40,31,2
0.2706,0.201,70,32,1
0.5536,0.0501,70,47,2
0.5195,0.0722,50,32,2
0.2396,0.0727,150,38,2
0.2846,0.1511,120,45,1
0.3472,0.0454,50,28,1
0.4715,0.0931,80,29,1
0.3284,0.0246,70,34,1
0.4574,0.0506,140,43,2
0.3102,0.1451,100,33,1
0.3429,0.0054,60,47,2
0.1851,0.018,80,53,2
0.4079,0.2388,50,29,2
0.5911,0.0392,70,40,2
0.4152,0.0788,60,33,2
0.3459,0.3875,90,57,1
0.4885,0.0077,100,43,2
0.4478,0.0085,50,32,1
0.4094,0.131,60,25,2
0.4934,0.1428,90,29,2
0.2901,0.0458,150,38,2
0.2663,0.2943,120,34,2
0.3813,0.0662,160,36,2
0.4107,0.153,90,50,1
0.434,0.2702,80,28,1
0.3216,0.1808,100,34,2
0.3827,0.1046,70,23,2
0.3867,0.0033,100,47,2
0.393,0.0058,70,36,2
0.3586,0.0419,110,44,1
0.285,0.0662,60,20,1
0.3926,0.0542,90,35,2
0.3527,0.1605,70,23,1
0.345,0.1109,60,29,1
0.2629,0.0,140,32,2
0.3875,0.0796,80,35,2
0.2917,0.1156,80,26,1
0.3149,0.1846,100,30,2
0.175,0.2889,140,30,1
0.3749,0.161,90,29,1
0.1839,0.0928,190,49,1
0.2186,0.2845,280,41,2
0.4155,0.1902,100,47,2
0.3472,0.1102,80,24,1
0.4649,0.0517,90,51,1
0.2423,0.1495,110,35,2
0.4419,0.106,60,47,1
0.354,0.1012,130,29,1
0.4502,0.0254,100,29,2
0.3358,0.2637,80,38,2
0.3719,0.0155,90,38,2
0.6465,0.0049,40,32,2
0.5217,0.1491,50,29,2
0.3585,0.0834,70,34,2
0.277,0.0098,90,26,2
0.5348,0.198,130,33,2
0.4984,0.0147,40,47,1
0.4223,0.1582,90,28,2
0.4533,0.0596,130,25,1
0.4202,0.0419,70,28,2
0.4362,0.1914,110,40,2
0.3533,0.02,80,24,1
0.1946,0.0927,360,41,1
0.5833,0.0217,60,33,1
0.3788,0.2294,90,32,2
0.0954,0.0017,310,36,1
0.1541,0.2278,170,52,1
0.3933,0.1393,210,38,1
0.3059,0.0144,70,30,1
0.3127,0.0451,100,46,2
0.4432,0.0,40,29,1
0.545,0.0168,40,28,1
0.4724,0.0306,50,59,1
0.44,0.0038,90,39,1
0.3212,0.2158,120,44,2
0.3942,0.137,70,34,2
0.3527,0.0717,70,37,2
0.2806,0.0834,140,35,2
0.5766,0.0446,80,26,2
0.3694,0.0,70,30,2
0.3057,0.168,100,34,1
0.4299,0.0,60,36,1
0.1694,0.0856,230,36,2
0.3738,0.0674,70,32,2
0.2685,0.3036,120,40,2
0.4645,0.0985,70,53,1
0.5164,0.1172,70,30,2
0.3427,0.003,80,32,1
0.2412,0.0184,160,45,1
0.3644,0.0456,70,30,2
0.3697,0.0693,60,26,2
0.3834,0.1423,80,25,2
0.4053,0.0213,110,32,2
0.2957,0.0363,90,30,2
0.2762,0.1034,130,32,1
0.2976,0.0755,90,32,2
0.4156,0.0,90,25,2
0.3124,0.1856,90,29,1
0.431,0.0049,70,24,2
0.3437,0.2395,130,57,1
0.4042,0.2728,90,34,2
0.4542,0.0613,60,27,1
0.3216,0.0863,70,33,2
0.5014,0.1169,50,30,2
0.2488,0.3933,110,50,1
0.4533,0.0453,70,42,1
0.2205,0.2002,160,35,1
0.2249,0.1613,70,30,2
0.3389,0.0616,90,27,1
0.4056,0.083,50,21,1
0.398,0.0623,60,19,1
0.601,0.0054,40,37,1
0.3364,0.1744,70,31,2
0.3838,0.1345,50,31,1
0.3929,0.0493,70,28,1
0.4722,0.0579,70,21,1
0.3017,0.0545,80,41,1
0.378,0.2106,80,28,2
0.3477,0.1114,70,32,2
0.3629,0.1848,80,24,2
0.4101,0.194,100,39,2
0.3658,0.0842,80,49,1
0.3106,0.1344,110,42,2
0.4269,0.1353,150,42,2
0.5405,0.1261,90,25,2
0.3847,0.0825,70,29,2
0.391,0.1731,100,45,2
0.3065,0.114,150,53,2
0.4999,0.0985,70,36,1
0.3992,0.0447,60,52,1
0.2944,0.0167,100,31,2
0.4522,0.144,70,53,2
0.2772,0.2382,50,27,1
0.3962,0.0126,70,33,2
0.261,0.1297,130,49,1
0.2807,0.3082,90,33,2
0.4399,0.0,70,38,1
0.1945,0.0452,100,41,1
0.5701,0.0004,60,34,2
0.4398,0.0134,80,36,2
0.359,0.1747,230,47,1
0.3636,0.0319,90,25,2
0.5982,0.1465,60,35,2
0.1851,0.0317,90,41,1
0.323,0.011,80,26,1
0.5488,0.0,60,32,2
0.328,0.0981,70,38,2
0.2709,0.0872,70,34,1
0.2599,0.131,130,48,2
0.3497,0.1583,60,24,1
0.3484,0.0371,110,32,2
0.3238,0.1875,120,36,2
0.4954,0.0645,120,40,2
0.4322,0.1037,80,31,2
0.2263,0.0639,150,33,2
0.3794,0.1647,130,33,1
0.4905,0.0952,70,40,2
0.4193,0.1739,90,37,2
0.3539,0.0714,100,48,2
0.2525,0.0717,80,41,1
0.3542,0.2046,100,55,2
0.4954,0.0499,170,31,2
0.2534,0.026,100,37,2
0.4168,0.097,80,37,2
0.2711,0.0599,80,24,1
0.3652,0.0806,80,34,2
0.2524,0.0861,180,40,2
0.3118,0.1077,220,33,1
0.5008,0.1823,80,47,2
0.3932,0.1086,110,43,2
0.4222,0.0883,90,26,2
0.2935,0.051,110,36,2
0.2829,0.1519,120,35,2
0.3064,0.0398,170,35,1
0.3179,0.1463,60,37,2
0.3115,0.0,50,34,1
0.349,0.0155,60,26,1
0.2732,0.078,130,34,2
0.2379,0.1368,90,30,2
0.2649,0.2587,140,37,2
0.4293,0.003,70,28,2
0.6198,0.1253,90,31,2
0.2304,0.3148,190,52,1
0.3047,0.0033,50,33,2
0.3369,0.0252,80,36,2
0.4712,0.0509,70,33,2
0.3133,0.0621,90,33,2
0.4675,0.0109,80,40,2
0.4443,0.0205,80,30,1
0.2289,0.0932,80,33,2
0.5017,0.0738,70,25,2
0.2027,0.1237,190,41,1
0.3768,0.0,50,33,1
0.3379,0.0245,60,28,1
0.3324,0.0136,110,35,2
0.1835,0.0517,150,35,2
0.2276,0.0173,90,26,1
0.2553,0.2086,100,37,2
0.4138,0.0991,60,31,2
0.328,0.0264,110,37,2
0.2864,0.1863,80,37,2
0.3427,0.0129,140,41,2
0.2955,0.0247,100,30,1
0.338,0.0751,120,34,2
0.4854,0.1545,70,30,2
0.1651,0.0447,120,33,1
0.4313,0.057,50,28,1
0.5303,0.0233,60,33,2
0.3351,0.2344,90,30,2
0.4342,0.2543,100,48,2
0.4325,0.0054,60,29,1
0.1622,0.259,110,32,2
0.3918,0.0888,70,27,1
0.2994,0.0076,60,24,1
0.3198,0.0,120,30,1
0.2924,0.1498,160,41,2
0.3762,0.1533,70,48,2
0.3412,0.0369,60,31,1
0.481,0.1174,100,55,1
0.5358,0.0935,60,30,2
0.3227,0.0128,90,27,2
0.4738,0.0,40,43,1
0.3529,0.1243,60,35,2
0.4066,0.0673,70,37,2
0.1704,0.2385,190,25,2
0.5611,0.0,40,50,1
0.4024,0.009,70,39,1
0.3764,0.0612,100,44,2
0.2423,0.0395,110,41,2
0.4081,0.1426,130,30,2
0.388,0.1055,70,34,2
0.3655,0.1012,110,33,1
0.3862,0.2756,110,39,1
0.2942,0.055,80,43,1
0.4118,0.0542,60,43,1
0.1976,0.1584,80,34,1
0.2167,0.1196,100,38,1
0.1803,0.1759,150,43,2
0.6184,0.0,70,29,1
0.2957,0.0483,150,32,2
0.3868,0.1092,90,44,1
0.3422,0.0317,70,31,2
0.4151,0.0253,90,37,2
