totexp,pclothes,pfood,pfoodaway,pfuel,phealthcare,prent,pschool,ptelephone,pvice
2.5,0.0,0.6,0.0,0.024,0.08,0.0,0.0,0.0,0.0
6.0,0.1833,0.25,0.1667,0.0083,0.0023,0.0,0.0,0.0417,0.0
8.0,0.0,0.5,0.0625,0.0188,0.0,0.0,0.0,0.0,0.0
15.0,0.1133,0.2,0.01,0.1667,0.2067,0.0,0.1467,0.0,0.0
6.0,0.3333,0.5,0.0,0.0267,0.0,0.0,0.0,0.0,0.0
9.0,0.0778,0.5556,0.0556,0.0278,0.0,0.0,0.0556,0.0,0.0
12.0,0.0125,0.4167,0.025,0.05,0.0,0.0,0.025,0.0783,0.0
3.0,0.0,0.1667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0923,0.3462,0.0408,0.0,0.0092,0.0,0.1154,0.0,0.0
4.0,0.0,0.75,0.0,0.15,0.0,0.0,0.0225,0.0,0.0125
10.0,0.3,0.2,0.02,0.05,0.01,0.0,0.25,0.0,0.0
15.0,0.28,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0857,0.0286,0.0,0.0286,0.0,0.0571,0.0,0.0
5.5,0.0,0.3636,0.0,0.0909,0.0,0.0,0.0145,0.0227,0.0
3.0,0.1667,0.2,0.0667,0.0,0.05,0.0,0.0833,0.1667,0.0
5.0,0.0,0.4,0.2,0.02,0.002,0.0,0.0,0.0,0.0
8.0,0.0,0.3125,0.0,0.0625,0.005,0.0,0.0225,0.0,0.0
0.6,0.0,0.3,0.0,0.0833,0.0,0.0,0.0,0.0,0.0
6.5,0.3769,0.3846,0.0,0.0,0.0,0.0,0.1231,0.0,0.0
2.5,0.0,0.8,0.0,0.0,0.008,0.0,0.008,0.0,0.0
20.0,0.075,0.5,0.0,0.075,0.0,0.0,0.005,0.0,0.0
20.0,0.0,0.3,0.0015,0.1425,0.0,0.25,0.063,0.0,0.0
20.0,0.0,0.2,0.1,0.025,0.025,0.175,0.0175,0.3,0.0
28.0,0.0286,0.3214,0.0714,0.1,0.0,0.0,0.125,0.0,0.0
6.0,0.0417,0.5,0.0033,0.145,0.0033,0.0833,0.0,0.0,0.0
7.0,0.0,0.3571,0.0,0.1714,0.0,0.0,0.0,0.0,0.0
12.0,0.0183,0.5,0.0,0.175,0.0,0.0,0.0283,0.0,0.0
12.5,0.0,0.4,0.0,0.04,0.048,0.12,0.032,0.0,0.0
10.0,0.0,0.5,0.0,0.098,0.002,0.0,0.0,0.004,0.0
25.0,0.024,0.12,0.0,0.1,0.024,0.16,0.224,0.028,0.0
14.0,0.0,0.3,0.0286,0.2143,0.0536,0.0,0.0857,0.0,0.0
44.5,0.0787,0.1573,0.1124,0.0899,0.0157,0.2697,0.027,0.027,0.0
12.0,0.0208,0.2917,0.0,0.0892,0.0,0.0167,0.0025,0.0,0.0
34.0,0.0,0.2353,0.0,0.1353,0.0071,0.0735,0.0441,0.2941,0.0
15.85,0.0,0.5047,0.0252,0.0442,0.0473,0.0,0.0379,0.005,0.0252
37.0,0.0568,0.3108,0.0541,0.0216,0.0,0.1081,0.0324,0.1351,0.0
3.8,0.5,0.2632,0.0,0.0658,0.0,0.0,0.0132,0.0,0.0
28.0,0.05,0.25,0.0071,0.0625,0.0214,0.0,0.0036,0.0,0.0
8.0,0.0438,0.5,0.0,0.035,0.0,0.0,0.0,0.0,0.0
15.5,0.0355,0.3226,0.0,0.0581,0.1106,0.1613,0.0,0.0,0.0
13.0,0.1308,0.2308,0.0,0.0462,0.0,0.1385,0.0769,0.0538,0.0
120.0,0.0,0.25,0.0,0.0208,0.0,0.0,0.0792,0.325,0.0
30.0,0.1167,0.2,0.0667,0.0733,0.0,0.1533,0.1,0.0,0.0
33.0,0.0303,0.1818,0.0909,0.0879,0.0212,0.0758,0.0833,0.0848,0.0303
6.0,0.0,0.5333,0.0667,0.0833,0.0,0.0,0.0,0.0,0.0
45.0,0.0,0.2222,0.2222,0.0756,0.0,0.0556,0.0044,0.08,0.0
9.0,0.0389,0.4444,0.0444,0.0667,0.0,0.0,0.0167,0.0,0.0
15.0,0.1733,0.3,0.0333,0.2167,0.1,0.0,0.004,0.0,0.0
8.0,0.0,0.25,0.0,0.1313,0.0,0.0938,0.0,0.0875,0.0
50.0,0.1,0.11,0.01,0.05,0.03,0.06,0.02,0.36,0.0
