y,x
205.57704,10
135.40819,10
184.60799,10
308.58322,10
205.92912,10
271.11838,10
155.23868,10
225.11703,10
215.95946,10
186.31409,10
230.77954,10
203.34172,10
224.99223,10
273.50674,10
234.98715,10
271.22614,10
192.74031,10
174.00728,10
186.57843,10
204.60097,10
296.53134,20
291.6857,20
298.57349,20
173.18623,20
270.47159,20
284.23138,20
306.13309,20
315.92169,20
305.66669,20
314.94205,20
281.91354,20
283.12817,20
313.18518,20
228.98988,20
337.59552,20
357.31024,20
394.02234,20
388.99619,20
256.99985,20
337.63364,20
