x,y
10.0,168.71967
10.0,191.21019
10.0,169.14005
10.0,213.3201
10.0,191.4944
10.0,208.75937
10.0,181.8609
10.0,245.97905
10.0,140.81178
10.0,231.59174
10.0,193.80067
10.0,174.24754
10.0,187.83736
10.0,163.18541
10.0,279.20776
10.0,142.81071
10.0,162.16902
10.0,185.38779
10.0,185.67545
10.0,337.02173
10.0,139.67151
10.0,152.66849
10.0,170.29489
10.0,393.4248
10.0,239.91785
10.0,176.88036
10.0,148.73735
10.0,168.8432
10.0,169.41829
10.0,200.08727
10.0,181.25275
10.0,156.24524
10.0,166.63335
10.0,160.66034
10.0,146.00174
10.0,161.88483
10.0,153.11652
10.0,193.81908
10.0,192.09207
10.0,190.004
10.0,168.99968
10.0,197.32686
10.0,291.9602
10.0,178.19739
10.0,149.62173
10.0,153.09279
10.0,157.94469
10.0,154.52129
10.0,334.5468
10.0,225.92084
10.0,214.77402
10.0,173.73083
10.0,151.76154
10.0,157.1915
10.0,258.19638
10.0,308.62564
10.0,198.20918
10.0,165.36296
10.0,340.93347
10.0,168.9373
10.0,331.727
10.0,166.01585
10.0,148.30199
10.0,159.28114
10.0,161.79698
10.0,219.37086
10.0,164.76967
10.0,218.19945
10.0,150.2924
10.0,195.5478
10.0,235.98422
10.0,176.68835
10.0,181.18163
10.0,181.64235
10.0,166.6263
10.0,135.69687
10.0,269.22034
10.0,172.02715
10.0,219.743
10.0,170.43355
10.0,205.63937
10.0,205.39572
10.0,169.27264
10.0,222.04872
10.0,278.22742
10.0,192.07932
10.0,222.83138
10.0,145.25505
10.0,258.28864
10.0,205.15027
10.0,170.28679
10.0,298.674
10.0,187.43849
10.0,192.93513
10.0,206.34038
10.0,215.75502
10.0,155.65625
10.0,197.01424
10.0,199.82909
10.0,211.08823
10.0,307.36948
10.0,165.24147
10.0,213.95435
10.0,192.31354
10.0,208.79861
10.0,233.39922
10.0,235.11589
10.0,133.31966
10.0,332.71967
10.0,154.5547
10.0,203.93149
10.0,308.03152
10.0,232.88715
10.0,201.02446
10.0,225.03181
10.0,163.21547
10.0,231.04216
10.0,299.47995
10.0,164.59799
10.0,342.6388
10.0,161.30797
10.0,178.9365
10.0,182.6353
10.0,228.54353
10.0,273.64993
10.0,173.38332
10.0,190.64081
10.0,220.88684
10.0,193.7809
10.0,179.6183
10.0,215.8989
10.0,152.90175
10.0,345.56976
10.0,170.64574
10.0,143.60687
10.0,181.54266
10.0,140.67422
10.0,143.67183
10.0,158.8053
10.0,173.58203
10.0,181.78767
10.0,228.89702
10.0,230.40639
10.0,161.32997
10.0,145.2157
10.0,197.2237
10.0,173.4405
10.0,277.6112
10.0,221.91826
10.0,213.20082
10.0,215.54094
10.0,159.37625
10.0,156.0689
10.0,146.49821
10.0,193.325
10.0,148.54517
10.0,199.34218
10.0,136.34383
10.0,161.69164
10.0,223.9605
10.0,152.46188
10.0,191.88527
10.0,213.40237
10.0,262.31143
10.0,193.4776
10.0,186.17773
10.0,222.07733
10.0,187.9258
10.0,236.14331
10.0,174.74985
10.0,176.95673
10.0,228.08374
10.0,189.04521
10.0,163.15202
10.0,187.9981
10.0,232.4936
10.0,137.45926
10.0,234.31964
10.0,199.31993
10.0,178.20245
10.0,303.93692
10.0,178.28616
10.0,210.93497
10.0,190.6945
10.0,199.87407
10.0,226.9877
10.0,167.9227
10.0,179.14003
10.0,160.74931
10.0,213.92018
10.0,234.39404
10.0,423.10916
10.0,174.34248
10.0,179.95352
10.0,176.19797
10.0,166.81378
10.0,245.52682
10.0,184.06792
10.0,183.99799
10.0,190.82878
10.0,178.03638
10.0,178.56354
10.0,181.83449
10.0,146.36185
10.0,222.22491
10.0,193.11636
10.0,172.56458
10.0,152.70741
10.0,174.85715
10.0,207.51541
10.0,203.45644
10.0,267.27402
10.0,221.72467
10.0,368.00082
10.0,159.25539
10.0,163.65001
10.0,294.77258
10.0,166.04732
10.0,241.57372
10.0,177.3904
10.0,232.306
10.0,242.59906
10.0,159.72156
10.0,232.73434
10.0,167.5897
10.0,177.07071
10.0,222.4875
10.0,219.57103
10.0,153.19682
10.0,184.67537
10.0,190.14522
10.0,299.63544
10.0,159.42493
10.0,150.21051
10.0,259.8882
10.0,189.49269
10.0,194.56593
10.0,157.38176
10.0,224.75525
10.0,178.32903
10.0,421.9548
10.0,171.3639
10.0,181.15778
10.0,152.93134
10.0,155.3543
10.0,200.72002
10.0,210.1159
10.0,175.68929
10.0,260.1832
10.0,191.04208
20.0,259.9391
20.0,284.9493
20.0,350.34952
20.0,359.26108
20.0,313.85507
20.0,247.10097
20.0,268.23755
20.0,277.3206
20.0,286.63254
20.0,330.1931
20.0,275.7257
20.0,313.6015
20.0,258.4483
20.0,307.79028
20.0,278.81863
20.0,330.8216
20.0,246.63171
20.0,288.74472
20.0,345.7
20.0,320.3553
20.0,311.77893
20.0,293.32596
20.0,269.13
20.0,318.2471
20.0,278.53253
20.0,301.35123
20.0,303.28046
20.0,315.8248
20.0,325.16574
20.0,272.85492
20.0,295.96045
20.0,258.0041
20.0,290.87003
20.0,309.5794
20.0,233.22064
20.0,238.18724
20.0,279.04803
20.0,265.91174
20.0,242.10841
20.0,308.08466
20.0,306.86203
20.0,300.31992
20.0,266.13162
20.0,290.80432
20.0,256.35107
20.0,280.53622
20.0,304.62912
20.0,268.19257
20.0,257.56073
20.0,287.7986
20.0,263.34454
20.0,289.22736
20.0,251.8811
20.0,274.02725
20.0,360.4164
20.0,302.48904
20.0,285.9555
20.0,288.63953
20.0,261.13782
20.0,390.27258
20.0,269.0949
20.0,285.4498
20.0,325.60733
20.0,328.93015
20.0,232.48018
20.0,251.83804
20.0,279.51053
20.0,325.1134
20.0,285.05807
20.0,260.48483
20.0,262.39398
20.0,300.00134
20.0,251.62044
20.0,304.38538
20.0,355.1192
20.0,280.1956
20.0,316.38828
20.0,276.91238
20.0,316.96188
20.0,346.5183
20.0,269.08798
20.0,298.02756
20.0,311.1884
20.0,292.86072
20.0,285.40942
20.0,256.37057
20.0,261.7647
20.0,273.7747
20.0,268.85614
20.0,323.78058
20.0,289.1418
20.0,261.21674
20.0,281.9302
20.0,253.60674
20.0,266.50046
20.0,330.70978
20.0,316.26328
20.0,319.60938
20.0,306.87076
20.0,383.60944
20.0,308.42172
20.0,284.5002
20.0,277.8692
20.0,285.04337
20.0,272.975
20.0,260.71344
20.0,354.46457
20.0,297.03995
20.0,349.0357
20.0,249.83403
20.0,335.49603
20.0,385.06955
20.0,297.03738
20.0,283.94144
20.0,265.01096
20.0,253.02425
20.0,376.03418
20.0,261.56708
20.0,265.9791
20.0,283.0829
20.0,271.35556
20.0,280.10913
20.0,243.02089
20.0,264.8193
20.0,361.31924
20.0,309.60162
20.0,256.4121
20.0,356.15692
20.0,243.69199
20.0,307.4391
20.0,260.42453
20.0,394.73114
20.0,260.317
20.0,369.41467
20.0,305.9772
20.0,450.48676
20.0,247.8912
20.0,259.00348
20.0,299.2284
20.0,243.75052
20.0,238.72336
20.0,257.53925
20.0,263.10773
20.0,287.2741
20.0,329.6198
20.0,239.30017
20.0,271.7731
20.0,281.61694
20.0,338.65436
20.0,302.4016
20.0,267.2406
20.0,349.55145
20.0,300.90964
20.0,288.15076
20.0,279.38345
20.0,444.91672
20.0,354.14716
20.0,364.23798
20.0,281.90277
20.0,337.12225
20.0,303.44452
20.0,272.72577
20.0,317.3459
20.0,346.4071
20.0,253.9594
20.0,241.59027
20.0,329.7972
20.0,269.09854
20.0,342.89893
20.0,313.06226
20.0,268.28348
20.0,241.33128
20.0,243.39023
20.0,262.78662
20.0,293.75208
20.0,377.84055
