dateid01,bcycles,sunspots
1950-01-01,13.5,119
1951-01-01,5.5,98
1952-01-01,5.5,45
1953-01-01,0.7,20
1954-01-01,2.8,7
1955-01-01,6.6,54
1956-01-01,2.1,201
1957-01-01,0.4,269
1958-01-01,3.0,261
1959-01-01,4.7,225
1960-01-01,1.0,159
1961-01-01,6.4,76
1962-01-01,4.3,54
1963-01-01,5.2,40
1964-01-01,5.2,15
1965-01-01,8.5,22
1966-01-01,4.6,67
1967-01-01,2.7,133
1968-01-01,5.0,150
1969-01-01,2.1,149
1970-01-01,-0.1,148
1971-01-01,4.5,94
1972-01-01,6.9,98
1973-01-01,4.1,54
1974-01-01,-1.9,49
1975-01-01,2.7,22
1976-01-01,4.400000000000001,18
1977-01-01,5.0,39
1978-01-01,6.9,131
1979-01-01,1.3,220
1980-01-01,0.1,219
1981-01-01,1.4,199
1982-01-01,-1.3,163
1983-01-01,7.8,91
1984-01-01,5.7,61
1985-01-01,4.3,21
1986-01-01,3.0,15
1987-01-01,4.5,34
1988-01-01,3.9,123
1989-01-01,2.8,211
1990-01-01,0.7,191
1991-01-01,1.2,203
1992-01-01,4.3,133
1993-01-01,2.7,76
1994-01-01,4.2,45
1995-01-01,2.3,25
1996-01-01,4.5,12
1997-01-01,4.400000000000001,29
1998-01-01,5.0,88
1999-01-01,4.7,136
2000-01-01,3.0,174
2001-01-01,0.2,170
2002-01-01,2.1,164
2003-01-01,4.400000000000001,99
2004-01-01,3.1,65
2005-01-01,3.0,46
2006-01-01,2.4,25
2007-01-01,1.9,13
2008-01-01,-2.7,4
2009-01-01,-0.2,5
2010-01-01,2.7,25
2011-01-01,1.7,81
2012-01-01,1.3,84
2013-01-01,2.5,94
2014-01-01,2.5,114
