dateid01,oil
1980-01-01,37.85
1980-04-01,39.5
1980-07-01,37.84
1980-10-01,36.32
1981-01-01,38.0
1981-04-01,36.67
1981-07-01,35.0
1981-10-01,35.0
1982-01-01,34.02
1982-04-01,32.0
1982-07-01,32.0
1982-10-01,32.67
1983-01-01,30.4
1983-04-01,30.58
1983-07-01,31.59
1983-10-01,29.85
1984-01-01,30.21
1984-04-01,30.37
1984-07-01,29.08
1984-10-01,27.89
1985-01-01,27.11
1985-04-01,27.88
1985-07-01,27.79
1985-10-01,29.19
1986-01-01,16.91
1986-04-01,13.94
1986-07-01,13.87
1986-10-01,15.37
1987-01-01,18.29
1987-04-01,19.39
1987-07-01,20.39
1987-10-01,18.7
1988-01-01,16.69
1988-04-01,17.25
1988-07-01,15.19
1988-10-01,14.76
1989-01-01,18.49
1989-04-01,20.59
1989-07-01,19.32
1989-10-01,20.36
1990-01-01,21.83
1990-04-01,17.79
1990-07-01,26.48
1990-10-01,31.97
1991-01-01,21.86
1991-04-01,20.74
1991-07-01,21.69
1991-10-01,21.76
1992-01-01,18.89
1992-04-01,21.19
1992-07-01,21.66
1992-10-01,20.48
1993-01-01,19.81
1993-04-01,19.77
1993-07-01,17.79
1993-10-01,16.45
1994-01-01,14.81
1994-04-01,17.78
1994-07-01,18.49
1994-10-01,17.65
1995-01-01,18.37
1995-04-01,19.35
1995-07-01,17.84
1995-10-01,18.16
1996-01-01,19.76
1996-04-01,21.73
1996-07-01,22.41
1996-10-01,24.63
1997-01-01,22.78
1997-04-01,19.9
1997-07-01,19.77
1997-10-01,19.88
1998-01-01,15.96
1998-04-01,14.64
1998-07-01,14.17
1998-10-01,12.9
1999-01-01,12.9
1999-04-01,17.57
1999-07-01,21.53
1999-10-01,24.67
2000-01-01,28.79
2000-04-01,28.81
2000-07-01,31.72
2000-10-01,31.94
2001-01-01,28.78
2001-04-01,27.85
2001-07-01,26.49
2001-10-01,20.36
2002-01-01,21.6
2002-04-01,26.26
2002-07-01,28.32
2002-10-01,28.28
2003-01-01,34.02
2003-04-01,28.98
2003-07-01,30.2
2003-10-01,31.18
2004-01-01,35.23
2004-04-01,38.35
2004-07-01,43.89
2004-10-01,48.31
2005-01-01,49.65
2005-04-01,53.05
2005-07-01,63.06
2005-10-01,60.02
2006-01-01,63.33
2006-04-01,70.47
2006-07-01,70.42
2006-10-01,59.99
2007-01-01,58.03
2007-04-01,64.96
2007-07-01,75.48
2007-10-01,90.67
2008-01-01,97.94
2008-04-01,123.97
2008-07-01,117.99
2008-10-01,58.45
2009-01-01,42.95
2009-04-01,59.51
2009-07-01,68.21
2009-10-01,76.08
2010-01-01,78.63
2010-04-01,77.86
2010-07-01,76.01
2010-10-01,85.1
2011-01-01,93.93
2011-04-01,102.52
2011-07-01,89.71
2011-10-01,94.03
2012-01-01,102.85
2012-04-01,93.38
2012-07-01,92.2
2012-10-01,88.13
2013-01-01,94.36
2013-04-01,94.18
2013-07-01,105.8
2013-10-01,97.41
2014-01-01,98.76
2014-04-01,103.14
2014-07-01,97.57
2014-10-01,73.07
2015-01-01,48.7
2015-04-01,57.76
2015-07-01,46.5
2015-10-01,42.03
2016-01-01,33.28
