conum,year,co_code,gdp,pop,gold,silver,bronze,medaltot,host,planned,soviet,missing
1,80,AFG,26.6,16.0,0.0,0.0,0.0,0.0,0,0,0,0.0
1,84,AFG,29.9,17.6,,,,,0,0,0,1.0
2,80,ALB,2.45,2.671,,,,,0,1,0,1.0
2,84,ALB,2.66,2.897,,,,,0,1,0,1.0
2,88,ALB,2.8,3.138,,,,,0,1,0,1.0
3,80,DZA,31.6,18.7,0.0,0.0,0.0,0.0,0,0,0,0.0
3,84,DZA,38.5,21.2,0.0,0.0,2.0,2.0,0,0,0,0.0
3,60,DZA,12.4,10.8,,,,,0,0,0,1.0
6,80,AGO,4.99,7.019,0.0,0.0,0.0,0.0,0,0,0,0.0
6,84,AGO,5.19,7.7995,,,,,0,0,0,1.0
7,84,ANT,0.248,0.0618,0.0,0.0,0.0,0.0,0,0,0,0.0
7,80,ANT,0.207,0.061,,,,,0,0,0,1.0
8,84,ARG,231.0,29.9,0.0,0.0,0.0,0.0,0,0,0,0.0
8,80,ARG,237.0,28.1,,,,,0,0,0,1.0
9,92,ARM,3.0,3.686,,,,,0,0,0,1.0
11,80,AUS,231.0,14.7,2.0,2.0,5.0,9.0,0,0,0,0.0
11,84,AUS,258.0,15.5,4.0,8.0,12.0,24.0,0,0,0,0.0
12,84,AUT,176.0,7.552,1.0,1.0,1.0,3.0,0,0,0,0.0
12,80,AUT,167.0,7.553,1.0,2.0,1.0,4.0,0,0,0,0.0
13,88,AZE,11.7,7.004,,,,,0,0,0,1.0
13,92,AZE,6.22,7.333,,,,,0,0,0,1.0
14,84,BHS,3.06,0.229,0.0,0.0,0.0,0.0,0,0,0,0.0
14,80,BHS,2.67,0.21,,,,,0,0,0,1.0
15,84,BAH,3.93,0.40733,0.0,0.0,0.0,0.0,0,0,0,0.0
15,76,BAH,3.07,0.275,,,,,0,0,0,1.0
15,80,BAH,4.02,0.334,,,,,0,0,0,1.0
16,84,BGD,23.8,95.6,0.0,0.0,0.0,0.0,0,0,0,0.0
16,60,BGD,11.1,51.4,,,,,0,0,0,1.0
16,64,BGD,13.7,56.8,,,,,0,0,0,1.0
16,68,BGD,15.3,63.1,,,,,0,0,0,1.0
16,72,BGD,13.3,70.4,,,,,0,0,0,1.0
16,76,BGD,16.2,78.6,,,,,0,0,0,1.0
16,80,BGD,19.0,86.7,,,,,0,0,0,1.0
17,84,BRB,1.51,0.2526,0.0,0.0,0.0,0.0,0,0,0,0.0
17,60,BRB,0.635,0.2307,,,,,0,0,0,1.0
17,64,BRB,0.744,0.2343,,,,,0,0,0,1.0
17,80,BRB,1.58,0.2491,,,,,0,0,0,1.0
18,92,BLR,25.5,10.3,,,,,0,0,0,1.0
19,84,BEL,219.0,9.853,1.0,1.0,2.0,4.0,0,0,0,0.0
19,80,BEL,214.0,9.847,1.0,0.0,0.0,1.0,0,0,0,0.0
