dateid01,du,inf,u
1987-01-01,-0.09999999999999964,2.0,8.3
1987-04-01,-0.10000000000000142,1.5,8.2
1987-07-01,-0.1999999999999993,1.7,8.0
1987-10-01,-0.09999999999999964,1.7,7.9
1988-01-01,-0.40000000000000036,1.7,7.5
1988-04-01,0.09999999999999964,1.9,7.6
1988-07-01,-0.6999999999999993,1.8,6.9
1988-10-01,-0.20000000000000018,2.0,6.7
1989-01-01,-0.10000000000000053,1.0,6.6
1989-04-01,-0.5,2.5,6.1
1989-07-01,0.0,2.3,6.1
1989-10-01,-0.2999999999999998,1.8,5.8
1990-01-01,0.40000000000000036,1.8,6.2
1990-04-01,0.2999999999999998,1.6,6.5
1990-07-01,0.7000000000000002,0.7,7.2
1990-10-01,0.7000000000000002,2.6,7.9
1991-01-01,0.7999999999999989,-0.2,8.7
1991-04-01,0.9000000000000004,0.2,9.6
1991-07-01,0.3000000000000007,0.5,9.9
1991-10-01,0.29999999999999893,1.0,10.2
1992-01-01,0.20000000000000107,0.0,10.4
1992-04-01,0.29999999999999893,-0.3,10.7
1992-07-01,0.10000000000000142,0.2,10.8
1992-10-01,0.29999999999999893,0.5,11.1
1993-01-01,-0.1999999999999993,0.8,10.9
1993-04-01,0.0,0.3,10.9
1993-07-01,0.0,0.5,10.9
1993-10-01,-0.09999999999999964,0.2,10.8
1994-01-01,-0.3000000000000007,0.5,10.5
1994-04-01,-0.5999999999999996,0.7,9.9
1994-07-01,-0.5,0.6,9.4
1994-10-01,-0.40000000000000036,0.8,9.0
1995-01-01,-0.3000000000000007,1.6,8.7
1995-04-01,-0.29999999999999893,1.4,8.4
1995-07-01,0.0,1.2,8.4
1995-10-01,0.0,0.8,8.4
1996-01-01,0.0,0.3,8.4
1996-04-01,0.0,0.8,8.4
1996-07-01,0.1999999999999993,0.3,8.6
1996-10-01,0.0,0.1,8.6
1997-01-01,0.0,0.1,8.6
1997-04-01,-0.09999999999999964,-0.3,8.5
1997-07-01,-0.1999999999999993,-0.4,8.3
1997-10-01,-0.3000000000000007,0.3,8.0
1998-01-01,-0.09999999999999964,0.3,7.9
1998-04-01,-0.20000000000000018,0.6,7.7
1998-07-01,0.09999999999999964,0.1,7.8
1998-10-01,-0.39999999999999947,0.4,7.4
1999-01-01,-0.3000000000000007,0.0,7.1
1999-04-01,-0.1999999999999993,0.4,6.9
1999-07-01,0.0,0.9,6.9
1999-10-01,-0.3000000000000007,0.6,6.6
2000-01-01,0.10000000000000053,0.9,6.7
2000-04-01,-0.40000000000000036,0.7,6.3
2000-07-01,-0.2999999999999998,0.8499999999999996,6.0
2000-10-01,0.09999999999999964,0.3,6.1
2001-01-01,0.3000000000000007,1.1,6.4
2001-04-01,0.39999999999999947,0.8,6.8
2001-07-01,0.10000000000000053,0.3,6.9
2001-10-01,0.09999999999999964,0.9,7.0
2002-01-01,-0.40000000000000036,0.9,6.6
2002-04-01,-0.1999999999999993,0.7,6.4
2002-07-01,-0.10000000000000053,0.7,6.3
2002-10-01,-0.09999999999999964,0.6,6.2
2003-01-01,-0.20000000000000018,1.3,6.0
2003-04-01,0.0,0.0,6.0
2003-07-01,-0.09999999999999964,0.6,5.9
2003-10-01,-0.20000000000000018,0.5,5.7
2004-01-01,-0.20000000000000018,0.9,5.5
2004-04-01,-0.09999999999999964,0.5,5.4
2004-07-01,0.09999999999999964,0.4,5.5
2004-10-01,-0.40000000000000036,0.7,5.1
2005-01-01,0.0,0.7,5.1
2005-04-01,-0.09999999999999964,0.6,5.0
2005-07-01,0.0,1.0,5.0
2005-10-01,0.0,0.5,5.0
2006-01-01,0.0,0.8,5.0
2006-04-01,-0.20000000000000018,1.7,4.8
2006-07-01,-0.09999999999999964,0.9,4.7
2006-10-01,-0.20000000000000018,-0.1,4.5
2007-01-01,0.0,0.0,4.5
2007-04-01,-0.20000000000000018,1.3,4.3
2007-07-01,0.0,0.7,4.3
2007-10-01,0.0,0.9,4.3
2008-01-01,-0.20000000000000018,1.3,4.1
2008-04-01,0.10000000000000053,1.4,4.2
2008-07-01,0.0,1.2,4.2
2008-10-01,0.2999999999999998,-0.3,4.5
2009-01-01,0.7999999999999998,0.1,5.3
2009-04-01,0.40000000000000036,0.4,5.7
2009-07-01,0.0,1.0,5.7
2009-10-01,-0.20000000000000018,0.5,5.5
2010-01-01,-0.20000000000000018,1.0,5.3
2010-04-01,0.0,0.6,5.3
2010-07-01,-0.20000000000000018,0.7,5.1
2010-10-01,0.0,0.4,5.1
2011-01-01,-0.09999999999999964,1.4,5.0
2011-04-01,0.0,0.9,5.0
2011-07-01,0.20000000000000018,0.6,5.2
2011-10-01,0.0,0.0,5.2
2012-01-01,0.0,0.1,5.2
2012-04-01,-0.10000000000000053,0.5,5.1
2012-07-01,0.20000000000000018,1.4,5.3
2012-10-01,0.0,0.2,5.3
2013-01-01,0.20000000000000018,0.4,5.5
2013-04-01,0.09999999999999964,0.4,5.6
2013-07-01,0.10000000000000053,1.2,5.7
2013-10-01,0.09999999999999964,0.8,5.8
2014-01-01,0.10000000000000053,0.6,5.9
2014-04-01,0.09999999999999964,0.5,6.0
2014-07-01,0.20000000000000018,0.5,6.2
2014-10-01,0.0,0.2,6.2
2015-01-01,0.0,0.2,6.2
2015-04-01,-0.20000000000000018,0.7,6.0
2015-07-01,0.20000000000000018,0.5,6.2
2015-10-01,-0.40000000000000036,0.4,5.8
2016-01-01,0.0,-0.2,5.8
