dateid01,gold,silver
1970-01-01,3.5505,5.2531
1970-02-01,3.5542,5.2459
1970-03-01,3.5582,5.234
1970-04-01,3.5821,5.1557
1970-05-01,3.5824,5.0946
1970-06-01,3.5667,5.1053
1970-07-01,3.5639,5.1748
1970-08-01,3.5625,5.2132
1970-09-01,3.5899,5.154
1970-10-01,3.6376,5.1776
1970-11-01,3.6257,5.1115
1970-12-01,3.6217,5.0954
1971-01-01,3.6389,5.0714
1971-02-01,3.6571,5.0672
1971-03-01,3.6589,5.1438
1971-04-01,3.6687,5.129
1971-05-01,3.7116,5.076
1971-06-01,3.6926,5.076
1971-07-01,3.7589,5.07
1971-08-01,3.7577,5.0476
1971-09-01,3.753,4.9265
1971-10-01,3.7495,4.8714
1971-11-01,3.7705,4.8783
1971-12-01,3.7739,4.9205
1972-01-01,3.833,5.0256
1972-02-01,3.8844,5.0027
1972-03-01,3.8795,5.0508
1972-04-01,3.8979,5.0566
1972-05-01,4.0843,5.0475
1972-06-01,4.1589,5.0344
1972-07-01,4.1972,5.2149
1972-08-01,4.2025,5.2457
1972-09-01,4.2305,5.1577
1972-10-01,4.1705,5.194
1972-11-01,4.1518,5.2325
1972-12-01,4.1744,5.3142
1973-01-01,4.2312,5.2878
1973-02-01,4.4067,5.535
1973-03-01,4.5081,5.3931
1973-04-01,4.5076,5.3617
1973-05-01,4.8363,5.5603
1973-06-01,4.804,5.5866
1973-07-01,4.7501,5.6718
1973-08-01,4.6549,5.5605
1973-09-01,4.5824,5.5975
1973-10-01,4.585,5.6597
1973-11-01,4.6587,5.6782
1973-12-01,4.7163,5.7788
1974-01-01,4.9236,6.0001
1974-02-01,5.1648,6.3667
1974-03-01,5.1489,6.2828
1974-04-01,5.1631,6.3074
1974-05-01,5.037,6.1995
1974-06-01,5.009,6.1346
1974-07-01,5.0689,6.1427
1974-08-01,5.0272,6.0195
1974-09-01,4.9938,6.0393
1974-10-01,5.1255,6.1915
1974-11-01,5.2257,6.0996
1974-12-01,5.2627,6.172
1975-01-01,5.1733,6.0351
1975-02-01,5.2204,6.0933
1975-03-01,5.1747,6.0552
1975-04-01,5.1183,6.0866
1975-05-01,5.1475,6.1158
1975-06-01,5.0901,6.0853
1975-07-01,5.1263,6.215
1975-08-01,5.0867,6.1383
1975-09-01,4.8579,6.1016
1975-10-01,4.9607,6.0379
1975-11-01,4.9516,6.058
1975-12-01,4.947,6.0316
1976-01-01,4.8383,5.9948
1976-02-01,4.8862,6.0205
1976-03-01,4.8575,6.0181
1976-04-01,4.8575,6.0915
1976-05-01,4.8243,6.1341
1976-06-01,4.8179,6.1826
1976-07-01,4.7375,6.1198
1976-08-01,4.648,6.0189
1976-09-01,4.7557,6.0673
1976-10-01,4.8203,6.0445
1976-11-01,4.8714,6.0618
1976-12-01,4.9025,6.0973
1977-01-01,4.8857,6.1321
1977-02-01,4.9638,6.1606
1977-03-01,5.0031,6.2108
1977-04-01,4.993,6.1551
1977-05-01,4.9642,6.1247
1977-06-01,4.9638,6.1116
1977-07-01,4.9724,6.1136
1977-08-01,4.9845,6.0978
1977-09-01,5.0394,6.1408
1977-10-01,5.0853,6.1898
1977-11-01,5.076,6.1625
1977-12-01,5.1067,6.171
1978-01-01,5.1698,6.2124
1978-02-01,5.2075,6.2112
1978-03-01,5.2129,6.2866
1978-04-01,5.1395,6.2146
1978-05-01,5.217,6.3089
1978-06-01,5.2116,6.2685
1978-07-01,5.3015,6.3371
1978-08-01,5.3382,6.3166
1978-09-01,5.3816,6.3425
1978-10-01,5.4853,6.4299
1978-11-01,5.2647,6.3787
1978-12-01,5.4222,6.404
1979-01-01,5.4548,6.5064
1979-02-01,5.528,6.645
1979-03-01,5.4749,6.6134
1979-04-01,5.5069,6.6453
1979-05-01,5.6191,6.7775
1979-06-01,5.6344,6.7548
1979-07-01,5.7,6.7964
1979-08-01,5.7569,6.9395
1979-09-01,5.9865,7.3954
1979-10-01,5.9467,7.4141
1979-11-01,6.0301,7.5517
1979-12-01,6.2663,8.0746
1980-01-01,6.477,8.1672
1980-02-01,6.4622,8.1728
1980-03-01,6.2226,7.2055
1980-04-01,6.2432,7.2277
1980-05-01,6.2832,7.2283
1980-06-01,6.4793,7.4216
1980-07-01,6.4252,7.363
1980-08-01,6.4497,7.3828
1980-09-01,6.508,7.625
1980-10-01,6.4449,7.542
1980-11-01,6.4337,7.5185
1980-12-01,6.3793,7.3491
1981-01-01,6.2275,7.175
1981-02-01,6.1954,7.1374
1981-03-01,6.2295,7.1166
1981-04-01,6.1779,7.0081
1981-05-01,6.1727,6.9639
1981-06-01,6.058,6.7181
1981-07-01,6.0064,6.7388
1981-08-01,6.0568,6.8256
1981-09-01,6.0649,6.7983
1981-10-01,6.0591,6.8229
1981-11-01,6.0137,6.7097
1981-12-01,5.9915,6.7031
1982-01-01,5.9584,6.7181
1982-02-01,5.8944,6.6672
1982-03-01,5.7683,6.5586
1982-04-01,5.8916,6.5621
1982-05-01,5.7807,6.4538
1982-06-01,5.7621,6.355
1982-07-01,5.8363,6.4963
1982-08-01,6.0247,6.6934
1982-09-01,5.9802,6.7091
1982-10-01,6.0474,6.8965
1982-11-01,6.0822,6.8662
1982-12-01,6.1048,6.9926
1983-01-01,6.2146,7.2234
1983-02-01,6.0234,7.0595
1983-03-01,6.0355,6.9569
1983-04-01,6.0615,7.0864
1983-05-01,6.0788,7.208
1983-06-01,6.0307,7.0553
1983-07-01,6.0441,7.1012
1983-08-01,6.0274,7.0902
1983-09-01,6.0085,7.025
1983-10-01,5.9477,6.7727
1983-11-01,6.0002,6.8895
1983-12-01,5.9454,6.7929
1984-01-01,5.9219,6.7355
1984-02-01,5.9789,6.8721
1984-03-01,5.9616,6.8738
1984-04-01,5.9283,6.7998
1984-05-01,5.9526,6.8156
1984-06-01,5.9229,6.7354
1984-07-01,5.8323,6.5682
1984-08-01,5.8522,6.6115
1984-09-01,5.8399,6.6222
1984-10-01,5.8104,6.5806
1984-11-01,5.7968,6.5558
1984-12-01,5.7333,6.4437
1985-01-01,5.726,6.463
1985-02-01,5.6656,6.3346
1985-03-01,5.7991,6.4972
1985-04-01,5.7714,6.4367
1985-05-01,5.7557,6.4278
1985-06-01,5.7613,6.4174
1985-07-01,5.7846,6.4361
1985-08-01,5.8096,6.4368
1985-09-01,5.7846,6.4055
1985-10-01,5.7823,6.4115
1985-11-01,5.7838,6.4127
1985-12-01,5.7907,6.3627
1986-01-01,5.8569,6.4043
1986-02-01,5.8201,6.3227
1986-03-01,5.8399,6.3222
1986-04-01,5.8457,6.2319
1986-05-01,5.8392,6.2305
1986-06-01,5.8508,6.235
1986-07-01,5.883,6.2338
1986-08-01,5.9539,6.2391
1986-09-01,6.0489,6.3097
1986-10-01,5.993,6.3306
1986-11-01,5.9642,6.283
1986-12-01,5.9687,6.2737
1987-01-01,6.0024,6.308
1987-02-01,6.0051,6.3053
1987-03-01,6.0391,6.4474
1987-04-01,6.1153,6.6968
1987-05-01,6.1131,6.647
