instnm,unitid,year,private,aca,benstaff,carnegie,cf,city,core,crash,d1987,d1989,d1991,d1999,d2002,d2005,d2008,d2010,d2011,donor,fteex,ftef,ftenap,ftenap2,ftenpro,ftepro,ftestu,ftgrad,ftug,fwest,ga,glakes,hosp,invest,medical,neweng,oh,other,prof,ptf,ptnap,ptnap2,ptnpro,ptpro,ptstu,rev,rural,staffsal,staffsize,stem,tc,tt,ttnap,ttnap2
Claremont Graduate University,112251,1989,1,1.094,5.441,0,0.052,1,18.577,0,0,1,0,0,0,0,0,0,0,5.097,0.17,0.457,0.964,0.928,2.275,0.794,15.315,0.355,14.466,1,0.0,0,0.0,5.942,0,0,1.151,1.746,0,0.039,0.062,0.004,0.127,0.056,0.494,25.419,0,27.829,18.086,0,2.245,0.366,0.379,0.165
Claremont Graduate University,112251,1991,1,38.239,15.086,0,4.148,1,21.481,0,0,0,1,0,0,0,0,0,0,6.187,10.041,19.98,12.223,149.395,12.869,2.181,0.458,0.458,0.0,1,0.0,0,0.0,5.021,0,0,39.696,2.47,0,3.386,0.432,0.187,1.297,0.216,0.0,30.138,0,69.532,1.499,0,77.935,12.445,1.018,1.114
Claremont Graduate University,112251,1999,1,22.284,18.234,0,1.91,1,22.875,0,0,0,0,1,0,0,0,0,0,10.815,2.213,9.769,6.881,47.344,6.244,4.668,1.1,0.533,0.0,1,4.922,0,0.0,4.786,0,0,15.649,2.165,0,2.221,0.06,0.004,0.06,0.091,0.567,35.856,0,85.155,4.932,0,37.933,5.638,0.819,0.683
Claremont Graduate University,112251,2002,1,1.483,19.538,0,0.0,1,15.328,0,0,0,0,0,1,0,0,0,0,10.372,0.136,0.386,0.466,0.217,0.381,0.33,17.594,1.656,15.52,1,0.0,0,0.0,4.248,0,0,1.14,1.869,0,0.0,0.023,0.001,0.006,0.023,0.418,27.569,0,106.704,5.208,0,2.623,0.801,1.72,3.03
Claremont Graduate University,112251,2005,1,14.228,20.968,0,1.004,1,16.019,0,0,0,0,0,0,1,0,0,0,23.41,1.746,4.962,4.925,24.254,3.512,3.178,1.793,1.639,0.0,1,2.208,0,0.0,3.36,0,0,11.278,2.324,0,0.055,0.223,0.05,0.335,0.0,0.154,41.753,0,41.117,3.831,0,25.506,3.903,0.793,0.647
Claremont Graduate University,112251,2008,1,16.015,19.195,0,1.295,1,16.303,1,0,0,0,0,0,0,1,0,0,6.423,1.762,6.736,5.44,29.598,3.472,3.679,1.93,1.753,0.0,1,1.983,0,0.0,3.725,0,0,11.731,2.362,0,1.295,0.155,0.024,0.155,0.052,0.177,25.088,0,87.884,4.059,0,27.746,4.145,0.784,0.615
Claremont Graduate University,112251,2010,1,19.685,22.329,0,0.543,1,18.507,1,0,0,0,0,0,0,0,1,0,3.624,2.273,6.225,5.879,34.568,3.607,3.607,2.024,1.875,0.0,1,3.196,0,0.0,4.73,0,0,11.643,2.845,0,1.729,0.132,0.017,0.115,0.049,0.149,24.977,0,92.567,3.174,0,31.329,3.953,0.688,0.473
Claremont Graduate University,112251,2011,1,20.431,22.507,0,0.569,1,19.845,1,0,0,0,0,0,0,0,0,1,4.525,2.69,6.829,6.467,41.817,4.656,3.777,1.933,1.782,0.0,1,2.458,0,0.0,4.284,0,0,11.273,4.874,0,1.914,0.103,0.011,0.052,0.052,0.151,29.244,0,88.812,3.135,0,31.704,4.346,0.683,0.466
University of Southern California,123961,1987,1,24.859,16.559,1,4.471,1,23.719,0,1,0,0,0,0,0,0,0,0,3.144,0.646,8.939,10.738,115.313,14.18,10.092,23.997,3.161,14.49,1,0.451,0,0.0,1.217,1,0,19.431,12.937,0,0.0,0.191,0.037,0.245,0.191,6.346,39.8,0,56.252,37.578,0,44.29,4.467,0.424,0.179
University of Southern California,123961,1991,1,25.161,14.182,1,6.148,1,27.412,0,0,0,1,0,0,0,0,0,0,4.773,0.95,11.24,15.058,226.736,15.165,14.108,23.309,6.005,13.991,1,0.168,0,3.023,1.204,1,0,32.581,16.95,0,0.622,0.076,0.006,0.222,0.075,3.313,52.158,0,49.585,30.829,0,57.742,4.47,0.297,0.089
University of Southern California,123961,1999,1,33.164,23.669,1,4.758,1,24.165,0,0,0,0,1,0,0,0,0,0,9.275,0.534,10.185,13.661,186.61,11.801,13.127,25.113,5.439,14.705,1,2.798,0,2.616,13.628,1,0,23.448,17.758,0,1.516,0.428,0.184,0.332,1.286,4.969,53.814,0,75.309,46.721,0,56.613,3.91,0.286,0.087
University of Southern California,123961,2002,1,54.57,25.503,1,8.517,1,25.58,0,0,0,0,0,1,0,0,0,0,14.917,0.788,18.994,25.355,642.87,20.89,24.567,16.238,10.843,3.806,1,5.193,0,2.984,-3.439,1,0,48.751,20.644,0,8.887,1.712,2.931,1.663,1.687,1.589,64.125,0,75.979,57.664,0,103.321,7.544,0.298,0.102
University of Southern California,123961,2005,1,34.64,23.363,1,5.085,1,26.682,0,0,0,0,0,0,1,0,0,0,11.235,1.14,11.199,12.84,164.866,11.83,11.7,30.365,12.751,16.072,1,2.905,0,0.0,13.464,1,0,24.383,21.042,0,1.31,1.097,1.203,0.85,1.044,1.542,58.959,0,113.275,20.633,0,59.024,4.805,0.374,0.148
University of Southern California,123961,2008,1,36.259,24.317,1,5.222,1,28.807,1,0,0,0,0,0,0,1,0,0,12.413,1.22,11.108,14.171,200.831,11.917,12.951,31.14,13.589,15.839,1,2.65,0,0.0,20.219,1,0,25.833,20.11,0,1.339,0.373,0.139,0.283,0.36,1.712,61.33,0,82.574,20.379,0,62.091,4.547,0.33,0.109
University of Southern California,123961,2010,1,46.443,25.889,1,5.31,1,29.797,1,0,0,0,0,0,0,0,1,0,12.726,1.753,10.99,17.863,319.087,13.849,16.11,34.104,15.677,16.688,1,2.377,0,3.113,-25.531,1,0,31.66,19.884,0,1.539,0.486,0.236,0.346,0.462,1.739,65.519,0,87.033,17.085,0,78.104,4.14,0.238,0.057
University of Southern California,123961,2011,1,47.01,24.673,1,5.441,1,31.569,1,0,0,0,0,0,0,0,0,1,19.315,1.819,11.112,18.28,334.171,13.291,16.462,34.972,16.329,16.753,1,2.379,0,14.752,18.685,1,0,33.183,23.467,0,1.616,0.452,0.204,0.352,0.432,1.89,89.103,0,88.566,16.36,0,80.194,4.055,0.227,0.052
University of Denver,127060,1987,1,12.659,12.539,0,1.375,1,18.975,0,1,0,0,0,0,0,0,0,0,2.716,0.67,7.158,6.759,45.683,9.954,6.089,5.526,1.114,2.68,0,0.0,0,0.0,0.707,0,0,15.972,6.017,0,0.137,0.245,0.06,0.418,0.245,1.732,27.708,0,53.281,23.963,0,28.631,5.646,0.867,0.751
University of Denver,127060,1989,1,25.327,15.064,0,3.151,1,18.872,0,0,1,0,0,0,0,0,0,0,2.158,1.932,13.441,11.243,126.401,16.089,9.311,3.174,1.437,0.0,0,3.795,0,0.0,0.591,0,0,30.123,4.042,0,0.177,0.468,0.219,0.998,0.457,1.737,25.072,0,60.148,13.145,0,55.45,10.113,0.9,0.881
University of Denver,127060,1991,1,11.951,13.421,0,1.156,1,19.721,0,0,0,1,0,0,0,0,0,0,1.964,0.851,6.648,6.105,37.27,8.689,5.254,6.227,2.395,2.725,0,1.865,0,0.0,0.475,0,0,14.461,3.625,0,0.079,0.307,0.094,0.466,0.291,1.107,25.31,0,52.591,16.384,0,26.413,5.412,0.887,0.871
University of Denver,127060,1999,1,14.424,12.059,0,0.884,1,21.001,0,0,0,0,1,0,0,0,0,0,9.436,1.252,5.773,9.596,92.091,7.082,8.344,7.24,1.836,3.209,0,1.837,0,0.0,6.79,0,0,13.456,4.301,0,0.068,0.287,0.082,0.328,0.843,2.195,34.738,0,64.017,12.32,0,27.88,4.82,0.502,0.268
University of Denver,127060,2002,1,27.342,13.885,0,4.67,1,23.507,0,0,0,0,0,1,0,0,0,0,6.206,6.691,12.497,25.016,625.816,18.708,18.325,3.662,2.839,0.0,0,3.407,0,0.0,-3.98,0,0,40.903,4.649,0,0.71,2.294,5.263,3.742,2.048,0.823,34.363,0,62.157,5.535,0,68.245,7.592,0.303,0.13
University of Denver,127060,2005,1,12.908,15.4,0,1.41,1,25.492,0,0,0,0,0,0,1,0,0,0,5.534,2.707,7.877,9.187,84.393,8.161,6.48,8.655,3.139,4.431,0,1.479,0,0.0,4.608,0,0,20.625,5.547,0,2.158,0.843,0.711,2.426,0.693,1.085,36.574,0,74.887,5.408,0,33.533,4.31,0.469,0.234
