dateid01,m,p
1961-01-01,0.066369,0.0123551
1961-04-01,0.0774253,0.0110558
1961-07-01,0.0732792,0.0103529
1961-10-01,0.0777178,0.0107249
1962-01-01,0.0825334,0.014486
1962-04-01,0.0806297,0.013837
1962-07-01,0.079121,0.0132255
1962-10-01,0.0844866,0.0130154
1963-01-01,0.0852398,0.0093194
1963-04-01,0.08734,0.0098524
1963-07-01,0.0914047,0.0093329
1963-10-01,0.0887256,0.0137187
1964-01-01,0.0846144,0.0144384
1964-04-01,0.0826999,0.0148617
1964-07-01,0.0860642,0.0170017
1964-10-01,0.0862159,0.014391
1965-01-01,0.0887053,0.0164916
1965-04-01,0.0858026,0.0182318
1965-07-01,0.0845762,0.0179503
1965-10-01,0.085982,0.0194499
1966-01-01,0.0820864,0.020956
1966-04-01,0.0780106,0.0249856
1966-07-01,0.0646982,0.0318029
1966-10-01,0.0464826,0.0345088
1967-01-01,0.0571357,0.0324557
1967-04-01,0.0706726,0.0297316
1967-07-01,0.08598,0.0288223
1967-10-01,0.0978808,0.030766
1968-01-01,0.0864006,0.0371731
1968-04-01,0.078422,0.0420483
1968-07-01,0.0774763,0.0422352
1968-10-01,0.0839163,0.0451934
1969-01-01,0.0742848,0.0447031
1969-04-01,0.0616668,0.0472241
1969-07-01,0.0297134,0.0516549
1969-10-01,0.0133531,0.050482
1970-01-01,0.0109416,0.0543252
1970-04-01,0.027399,0.0550021
1970-07-01,0.0709427,0.0486652
1970-10-01,0.0926302,0.0486879
1971-01-01,0.1372802,0.0493008
1971-04-01,0.1517859,0.0488129
1971-07-01,0.1389556,0.0508407
1971-10-01,0.1354832,0.0459496
1972-01-01,0.1251965,0.048299
1972-04-01,0.1218876,0.0394459
1972-07-01,0.1307943,0.0391933
1972-10-01,0.1320172,0.0444071
1973-01-01,0.1333596,0.0391245
1973-04-01,0.1317917,0.0502331
1973-07-01,0.1212606,0.0598035
1973-10-01,0.105902,0.0662227
1974-01-01,0.0991095,0.0732204
1974-04-01,0.0977642,0.0810744
1974-07-01,0.0868905,0.0907616
1974-10-01,0.0833166,0.1006534
1975-01-01,0.075034,0.1044007
1975-04-01,0.0747943,0.0962885
1975-07-01,0.0837046,0.0856773
1975-10-01,0.0914143,0.0736598
1976-01-01,0.0990857,0.0620012
1976-04-01,0.0990169,0.057505
1976-07-01,0.1015262,0.0526727
1976-10-01,0.1129512,0.0533069
1977-01-01,0.1124727,0.0585336
1977-04-01,0.1145915,0.0622691
1977-07-01,0.1190102,0.0608269
1977-10-01,0.1166998,0.0642652
1978-01-01,0.1153683,0.0628425
1978-04-01,0.1126312,0.0665887
1978-07-01,0.1126226,0.0709461
1978-10-01,0.1128786,0.0703313
1979-01-01,0.1071804,0.0730008
1979-04-01,0.1046458,0.0792533
1979-07-01,0.1105069,0.0841163
1979-10-01,0.0938459,0.082972
1980-01-01,0.0952831,0.0863753
1980-04-01,0.0861463,0.0838639
1980-07-01,0.0817319,0.0849688
1980-10-01,0.0973514,0.0925068
1981-01-01,0.106096,0.0970735
1981-04-01,0.116204,0.0938621
1981-07-01,0.1197387,0.0890273
1981-10-01,0.1213751,0.0797905
1982-01-01,0.1119168,0.0678656
1982-04-01,0.1080557,0.0612532
1982-07-01,0.1022158,0.0577167
1982-10-01,0.0889315,0.0503332
1983-01-01,0.0955553,0.0450098
1983-04-01,0.0920208,0.0401474
1983-07-01,0.0831416,0.036268
1983-10-01,0.0925413,0.033084
1984-01-01,0.0896765,0.0373123
1984-04-01,0.0981323,0.0387296
1984-07-01,0.1011781,0.0365095
1984-10-01,0.1037495,0.0353039
1985-01-01,0.0980469,0.0340876
1985-04-01,0.0855579,0.0311861
1985-07-01,0.0802862,0.0273533
1985-10-01,0.0697337,0.0274779
1986-01-01,0.0699798,0.0214033
1986-04-01,0.0772,0.0208609
1986-07-01,0.0862753,0.0224838
1986-10-01,0.0866776,0.022565
1987-01-01,0.0780288,0.0256536
1987-04-01,0.0689929,0.0259504
1987-07-01,0.0587273,0.0276081
1987-10-01,0.0514256,0.0283238
1988-01-01,0.0606645,0.0285564
1988-04-01,0.0646953,0.0326302
1988-07-01,0.0619199,0.036304
1988-10-01,0.0634785,0.0365514
1989-01-01,0.0524603,0.0393526
1989-04-01,0.0408742,0.039374
1989-07-01,0.0398433,0.035349
1989-10-01,0.0369628,0.0347564
1990-01-01,0.0348702,0.0353946
1990-04-01,0.0305748,0.0374224
1990-07-01,0.0287174,0.039165
1990-10-01,0.0185576,0.0397557
1991-01-01,0.0257692,0.0396522
1991-04-01,0.0225826,0.0344921
1991-07-01,0.0085716,0.0327529
1991-10-01,0.0135181,0.0305148
1992-01-01,0.0075017,0.0247362
1992-04-01,0.0014733,0.0237904
1992-07-01,0.0100621,0.0212275
1992-10-01,0.0034987,0.0211613
1993-01-01,-0.0072642,0.022905
1993-04-01,0.0063907,0.0229416
1993-07-01,0.0033788,0.0227211
1993-10-01,0.0156639,0.0228184
1994-01-01,0.0155287,0.0211002
