bin,d,share,share2,share3,share4,sharenext
0.1025,1,0.1049000025,0.0110040105,0.0011543207,0.0001210882,0.581
0.1375,1,0.1393000036,0.019404491,0.0027030457,0.0003765343,0.4611
-0.0725,0,-0.0736000016,0.0054169602,-0.0003986883,2.93435e-05,0.5434
0.0875,1,0.0868000016,0.0075342403,0.0006539721,5.67648e-05,0.5846
0.1675,1,0.1680999994,0.0282576098,0.0047501042,0.0007984925,0.6244
0.1525,1,0.1527999938,0.0233478381,0.0035675495,0.0005451215,0.5955
0.2025,1,0.2023999989,0.0409657596,0.0082914697,0.0016781935,0.6304
0.2375,1,0.2378000021,0.056548841,0.0134473145,0.0031977714,0.7419
0.0325,1,0.0329000019,0.0010824101,3.56113e-05,1.1716e-06,0.4918
-0.0125,0,-0.0137999998,0.00019044,-2.6281e-06,3.63e-08,0.4095
-0.1825,0,-0.1809999943,0.0327609979,-0.0059297404,0.001073283,0.5329
0.0675,1,0.0658000037,0.0043296405,0.0002848904,1.87458e-05,0.4988
0.1325,1,0.1300999969,0.0169260092,0.0022020737,0.0002864898,0.5405
0.0875,1,0.0870999992,0.0075864099,0.0006607763,5.75536e-05,0.4674
0.1975,1,0.1981000006,0.0392436102,0.0077741592,0.0015400609,0.6507
0.0925,1,0.0920000002,0.008464,0.000778688,7.16393e-05,0.6738
0.0025,1,0.0001,1e-08,0.0,0.0,0.5159
0.0675,1,0.0665000007,0.0044222501,0.0002940796,1.95563e-05,0.6101
0.0075,1,0.0066999998,4.489e-05,3.008e-07,2e-09,0.5192
-0.0525,0,-0.0533000007,0.0028408901,-0.0001514194,8.0707e-06,0.4
-0.2025,0,-0.200000003,0.0400000012,-0.0080000004,0.0016000001,0.5622
0.1225,1,0.124499999,0.0155002497,0.0019297811,0.0002402577,0.5491
0.1175,1,0.1160999984,0.0134792096,0.0015649362,0.0001816891,0.54
0.1175,1,0.1154000014,0.0133171603,0.0015368003,0.0001773468,0.5456
0.1125,1,0.1119000018,0.0125216104,0.0014011682,0.0001567907,0.5813
0.1825,1,0.181099996,0.0327972085,0.0059395743,0.0010756569,0.4646
0.0525,1,0.0540999994,0.0029268099,0.0001583404,8.5662e-06,0.6965
-0.1175,0,-0.1176000014,0.0138297603,-0.0016263798,0.0001912623,0.4205
-0.1475,0,-0.148300007,0.0219928921,-0.003261546,0.0004836873,0.3113
0.0175,1,0.0181000009,0.00032761,5.9297e-06,1.073e-07,0.4796
0.0375,1,0.0362000018,0.0013104401,4.74379e-05,1.7173e-06,0.5096
0.0175,1,0.0192000009,0.00036864,7.0779e-06,1.359e-07,0.4733
-0.0425,0,-0.0408000015,0.0016646401,-6.79173e-05,2.771e-06,0.4263
-0.0775,0,-0.0799999982,0.0063999997,-0.000512,4.096e-05,0.3706
-0.2375,0,-0.2395000011,0.0573602505,-0.0137377801,0.0032901983,0.4164
-0.1675,0,-0.1673000008,0.0279892903,-0.0046826083,0.0007834004,0.3742
-0.0725,0,-0.0707999989,0.0050126398,-0.0003548949,2.51266e-05,0.2707
-0.2275,0,-0.2283000052,0.0521208924,-0.0118992,0.0027165874,0.2987
-0.0375,0,-0.0366000012,0.0013395601,-4.90279e-05,1.7944e-06,0.4566
