state,state_nm,year,vote,margin,d,bin,margin2,margin3,margin4
1,Connecticut,1922,45.5982131958,-6.86866045,0,-7.5,47.1784973145,-324.0530700684,2225.810546875
1,Connecticut,1926,48.4760627747,-27.668056488,0,-27.5,765.5213623047,-21180.48828125,586022.9375
1,Connecticut,1928,51.7468681335,-8.2569684982,0,-7.5,68.1775283813,-562.9396972656,4648.1752929688
1,Connecticut,1932,39.8026428223,0.7324814796,1,2.5,0.5365291238,0.3929976523,0.287863493
1,Connecticut,1934,53.1510696411,3.4937381744,1,2.5,12.2062063217,42.6452903748,148.9914703369
1,Connecticut,1938,51.9876365662,-3.0905752182,0,-2.5,9.5516548157,-29.5201091766,91.2341156006
1,Connecticut,1944,51.6782951355,4.703455925,1,2.5,22.1224975586,104.052192688,489.4049072266
1,Connecticut,1952,57.4689025879,-8.1198635101,0,-7.5,65.932182312,-535.3603515625,4347.052734375
1,Connecticut,1956,51.2547416687,-11.7948112488,0,-12.5,139.1175689697,-1640.8654785156,19353.69921875
1,Connecticut,1958,64.6442565918,14.9378061295,1,12.5,223.1380462646,3333.1928710938,49790.58984375
1,Connecticut,1962,54.2911643982,2.5094838142,1,2.5,6.2975091934,15.8034973145,39.658618927
1,Connecticut,1964,33.7924537659,29.306394577,1,27.5,858.8647460938,25170.23046875,737648.6875
1,Connecticut,1968,63.674861908,8.5855636597,1,7.5,73.7119064331,632.858215332,5433.4448242188
1,Connecticut,1970,41.2177429199,-7.9507646561,0,-7.5,63.2146568298,-502.6048583984,3996.0930175781
1,Connecticut,1974,56.3415184021,29.3814868927,1,27.5,863.2717895508,25364.208984375,745238.125
1,Connecticut,1976,46.0675849915,-16.5060348511,0,-17.5,272.4491882324,-4497.0556640625,74228.5625
1,Connecticut,1980,64.7633972168,13.4284820557,1,12.5,180.3241271973,2421.4792480469,32516.791015625
1,Connecticut,1982,49.7644386292,-4.3230862617,0,-2.5,18.68907547,-80.7944793701,349.2815246582
1,Connecticut,1986,58.8120155334,29.9157676697,1,27.5,894.953125,26773.2109375,800941.125
1,Connecticut,1988,67.0432662964,0.7260471582,1,2.5,0.5271444917,0.3827317357,0.2778812945
1,Connecticut,1992,65.1460876465,20.6930809021,1,22.5,428.2035827637,8860.8515625,183358.328125
1,Connecticut,1994,63.2141113281,36.0305595398,1,37.5,1298.201171875,46774.91796875,1685326.375
1,Connecticut,1998,65.3606033325,32.7779273987,1,32.5,1074.392578125,35216.359375,1154319.25
1,Connecticut,2000,39.7296409607,29.0426521301,1,27.5,843.4756469727,24496.76953125,711451.1875
1,Connecticut,2004,55.158416748,33.7121734619,1,32.5,1136.5106201172,38314.2421875,1291656.375
2,Maine,1922,30.3589725494,-15.0081129074,0,-17.5,225.2434539795,-3380.4792480469,50734.61328125
2,Maine,1928,49.7090759277,-39.2820549011,0,-37.5,1543.0798339844,-60615.34765625,2381095.5
2,Maine,1930,49.25390625,-21.8894805908,0,-22.5,479.1493530273,-10488.3310546875,229584.109375
2,Maine,1934,41.2734107971,-0.4304647446,0,-2.5,0.1852999032,-0.079765074,0.0343360528
2,Maine,1936,33.3309402466,-1.492190361,0,-2.5,2.2266321182,-3.3225588799,4.9578905106
2,Maine,1940,36.4536552429,-17.3341331482,0,-17.5,300.4721679688,-5208.4248046875,90283.5234375
2,Maine,1942,28.6997890472,-33.3381195068,0,-32.5,1111.4301757813,-37052.9921875,1235277.125
2,Maine,1946,37.2583045959,-27.0926914215,0,-27.5,734.0139160156,-19886.412109375,538776.4375
2,Maine,1948,41.3921051025,-42.6004219055,0,-42.5,1814.7958984375,-77311.0703125,3293484.25
2,Maine,1952,60.781955719,-25.4833946228,0,-27.5,649.4033813477,-16549.00390625,421724.78125
2,Maine,1954,38.351184845,-17.2157878876,0,-17.5,296.3833618164,-5102.4731445313,87843.09375
2,Maine,1958,66.6168289185,21.563911438,1,22.5,465.0022888184,10027.267578125,216227.109375
2,Maine,1960,41.0535125732,-23.2976322174,0,-22.5,542.7796630859,-12645.4814453125,294609.78125
2,Maine,1964,61.7408752441,33.2336540222,1,32.5,1104.4757080078,36705.765625,1219866.75
2,Maine,1966,53.2315864563,-17.8929767609,0,-17.5,320.1586303711,-5728.5908203125,102501.5390625
2,Maine,1970,60.2032546997,23.4817504883,1,22.5,551.392578125,12947.6640625,304033.8125
2,Maine,1972,33.9383010864,6.4631729126,1,7.5,41.772605896,269.9835510254,1744.9504394531
2,Maine,1978,25.8658771515,-22.6474761963,0,-22.5,512.908203125,-11616.076171875,263074.8125
2,Maine,1984,38.6402587891,-47.4764518738,0,-47.5,2254.0134277344,-107012.5625,5080577.0
2,Maine,1988,36.3552856445,62.5958747864,1,62.5,3918.2436523438,245265.875,15352632.0
2,Maine,1990,43.8754272461,-22.7002620697,0,-22.5,515.3018798828,-11697.48828125,265536.03125
2,Maine,1994,31.0587024689,-23.880027771,0,-22.5,570.2557373047,-13617.72265625,325191.59375
2,Maine,1996,41.5643501282,-5.3060679436,0,-7.5,28.1543579102,-149.3889312744,792.6678466797
2,Maine,2000,20.5860137939,-37.882598877,0,-37.5,1435.0913085938,-54364.98828125,2059487.0
2,Maine,2002,38.5834350586,-16.8712978363,0,-17.5,284.6406860352,-4802.2578125,81020.3203125
3,Massachusetts,1924,54.0115585327,-1.6500294209,0,-2.5,2.7225971222,-4.4923653603,7.4125347137
3,Massachusetts,1928,59.3883285522,8.1636610031,1,7.5,66.645362854,544.0701293945,4441.6040039063
3,Massachusetts,1930,41.0207748413,9.3379945755,1,7.5,87.1981430054,814.2557983398,7603.5161132813
3,Massachusetts,1934,55.6355895996,22.012462616,1,22.5,484.5485229492,10666.1064453125,234787.265625
3,Massachusetts,1936,46.6061859131,-7.5087189674,0,-7.5,56.380859375,-423.3480224609,3178.8015136719
3,Massachusetts,1940,39.7217178345,12.8106594086,1,12.5,164.112991333,2102.3957519531,26933.07421875
3,Massachusetts,1946,51.3460083008,-19.8269271851,0,-17.5,393.1070556641,-7794.1044921875,154533.140625
3,Massachusetts,1948,49.024887085,-6.5218925476,0,-7.5,42.5350837708,-277.4092407227,1809.2332763672
3,Massachusetts,1952,73.195274353,2.9967932701,1,2.5,8.9807701111,26.9135112762,80.6542282104
3,Massachusetts,1954,43.4576644897,-1.5166610479,0,-2.5,2.3002607822,-3.4887158871,5.2911996841
3,Massachusetts,1960,38.7390365601,-12.7317962646,0,-12.5,162.0986328125,-2063.8068847656,26275.96875
3,Massachusetts,1964,62.1436042786,48.8421401978,1,47.5,2385.5546875,116515.59375,5690871.0
3,Massachusetts,1966,34.7275619507,-21.9361610413,0,-22.5,481.1951599121,-10555.57421875,231548.78125
3,Massachusetts,1970,69.3087234497,25.1537628174,1,27.5,632.7117919922,15915.08203125,400324.1875
3,Massachusetts,1972,55.0578117371,-28.7957553864,0,-27.5,829.1955566406,-23877.3125,687565.25
3,Massachusetts,1976,60.811088562,40.3016166687,1,42.5,1624.2203369141,65458.703125,2638091.5
3,Massachusetts,1978,55.0542945862,10.2079362869,1,12.5,104.201965332,1063.6870117188,10858.048828125
3,Massachusetts,1982,64.9730529785,22.5518379211,1,22.5,508.5853881836,11469.53515625,258659.109375
3,Massachusetts,1984,57.0635147095,10.124712944,1,12.5,102.5098114014,1037.8824462891,10508.26171875
3,Massachusetts,1988,58.0748558044,31.0440216064,1,32.5,963.731262207,29918.09375,928778.0
3,Massachusetts,1990,52.2067489624,14.1953735352,1,12.5,201.5086364746,2860.490234375,40605.7265625
3,Massachusetts,1994,72.6890640259,17.0647735596,1,17.5,291.2064819336,4969.373046875,84801.2265625
3,Massachusetts,1996,80.0283813477,7.4928226471,1,7.5,56.1423912048,420.6649780273,3151.9680175781
3,Massachusetts,2000,69.3024673462,58.2402572632,1,57.5,3391.9274902344,197546.734375,11505173.0
3,Massachusetts,2002,65.8587646484,60.0567703247,1,62.5,3606.8156738281,216613.703125,13009119.0
4,New Hampshire,1924,41.8972511292,-19.5129985809,0,-17.5,380.7571105957,-7429.712890625,144975.984375
4,New Hampshire,1926,50.3456039429,-24.6387958527,0,-22.5,607.0702514648,-14957.48046875,368534.3125
4,New Hampshire,1930,47.6653862,-15.9795198441,0,-17.5,255.3450469971,-4080.2912597656,65201.09765625
4,New Hampshire,1932,45.7658996582,1.0791301727,1,2.5,1.1645219326,1.2566707134,1.3561112881
4,New Hampshire,1936,45.3946533203,-4.1939945221,0,-2.5,17.5895900726,-73.7706451416,309.3936767578
4,New Hampshire,1938,49.0691375732,-8.4681987762,0,-7.5,71.7103881836,-607.2578125,5142.3798828125
4,New Hampshire,1942,41.1668128967,-9.2106933594,0,-7.5,84.8368759155,-781.4064331055,7197.294921875
4,New Hampshire,1944,38.0289955139,-1.8617242575,0,-2.5,3.4660172462,-6.4527683258,12.0132751465
4,New Hampshire,1948,39.7797813416,-16.9763736725,0,-17.5,288.197265625,-4892.5444335938,83057.6640625
4,New Hampshire,1954,39.6543159485,-20.4404354095,0,-22.5,417.8114013672,-8540.2470703125,174566.359375
4,New Hampshire,1956,40.2906303406,-28.1432723999,0,-27.5,792.043762207,-22290.703125,627333.375
4,New Hampshire,1962,40.7039985657,-19.4187393188,0,-17.5,377.0874328613,-7322.5625,142194.9375
4,New Hampshire,1966,56.8807525635,8.1319627762,1,7.5,66.1288223267,537.7570800781,4373.0205078125
4,New Hampshire,1972,48.5046195984,13.763666153,1,12.5,189.4385070801,2607.3684082031,35886.94921875
4,New Hampshire,1978,40.9585189819,-2.1988093853,0,-2.5,4.8347625732,-10.6307220459,23.3749313354
4,New Hampshire,1980,32.3713493347,-4.2937130928,0,-2.5,18.4359722137,-79.1587753296,339.8850708008
4,New Hampshire,1984,31.39494133,-17.7887439728,0,-17.5,316.4394226074,-5629.0595703125,100133.8984375
4,New Hampshire,1986,45.3269195557,-30.5898571014,0,-32.5,935.7393798828,-28624.1328125,875608.125
4,New Hampshire,1990,46.2220954895,-33.8687362671,0,-32.5,1147.0913085938,-38850.53125,1315818.5
4,New Hampshire,1992,28.2207660675,-2.8180062771,0,-2.5,7.9411592484,-22.3782367706,63.0620117188
4,New Hampshire,1996,46.4016456604,-3.0300884247,0,-2.5,9.181435585,-27.8205623627,84.2987670898
4,New Hampshire,1998,33.7168960571,-39.5591812134,0,-37.5,1564.9288330078,-61907.30078125,2449002.25
4,New Hampshire,2002,51.5896263123,-4.4172315598,0,-2.5,19.5119342804,-86.1887359619,380.7156066895
4,New Hampshire,2004,36.8110198975,-32.4612007141,0,-32.5,1053.7294921875,-34205.328125,1110346.0
5,Rhode Island,1922,49.2986946106,8.7853755951,1,7.5,77.1828231812,678.080078125,5957.1884765625
5,Rhode Island,1924,49.16847229,-15.8353481293,0,-17.5,250.7582550049,-3970.8442382813,62879.69921875
5,Rhode Island,1928,57.1224403381,-1.2698560953,0,-2.5,1.612534523,-2.0476868153,2.6002674103
5,Rhode Island,1930,48.611946106,-1.1273801327,0,-2.5,1.270985961,-1.4328843355,1.6154053211
5,Rhode Island,1934,55.1616783142,14.2724876404,1,12.5,203.7039031982,2907.361328125,41495.28125
5,Rhode Island,1936,57.967918396,4.2313070297,1,2.5,17.9039592743,75.7571487427,320.5517578125
5,Rhode Island,1940,55.1124572754,10.3233604431,1,12.5,106.5717697144,1100.1788330078,11357.5419921875
5,Rhode Island,1942,59.2873687744,15.9358415604,1,17.5,253.9510498047,4046.9235839844,64491.1328125
5,Rhode Island,1948,59.2895812988,18.5747375488,1,17.5,345.0208740234,6408.6723632813,119039.40625
5,Rhode Island,1952,64.4858474731,9.5572023392,1,7.5,91.3401184082,872.9559936523,8343.0166015625
5,Rhode Island,1954,68.8966827393,18.5791606903,1,17.5,345.1852111816,6413.2514648438,119152.828125
