dateid01,allords,ftse,nasdaq,nikkei
1988-01-01,-4.7652,4.4868,4.2965,9.5437
1988-02-01,-0.5091,-1.2285,6.4694,6.8622
1988-03-01,13.1846,-1.4869,2.0708,4.0288
1988-04-01,2.9387,3.4261,1.228,4.4707
1988-05-01,7.5281,-0.9821,-2.3471,-0.062
1988-06-01,-0.7658,4.0964,6.5893,1.2839
1988-07-01,3.653,-0.2153,-1.8748,0.515
1988-08-01,-2.5563,-5.3949,-2.7627,-1.9561
1988-09-01,-1.2034,4.1572,2.9474,2.039
1988-10-01,2.2815,1.418,-1.3412,0.2113
1988-11-01,-7.2779,-3.239,-2.8758,5.7035
1988-12-01,1.0805,0.0391,2.6649,1.9609
1989-01-01,4.3095,14.4275,5.2176,4.715
1989-02-01,-4.2991,-2.4076,-0.3987,1.2824
1989-03-01,-1.6972,3.6256,1.7513,2.6668
1989-04-01,2.7816,2.0723,5.1389,2.6615
1989-05-01,1.9797,-0.17,4.3499,1.6433
1989-06-01,-0.5752,1.731,-2.4429,-3.8463
1989-07-01,7.4354,6.7875,4.2499,6.0852
1989-08-01,7.8938,3.9573,3.4156,-1.4963
1989-09-01,-1.554,-3.7062,0.7671,3.5027
1989-10-01,-5.1619,-6.8192,-3.6583,-0.2469
1989-11-01,-2.1018,6.2634,0.1097,4.8384
1989-12-01,2.3207,6.4081,-0.285,4.4192
1990-01-01,1.698,-3.525,-8.5752,-4.4378
1990-02-01,-6.0704,-3.504,2.405,-6.9832
1990-03-01,-2.5013,-0.3325,2.2781,-13.3326
1990-04-01,-5.2937,-6.4282,-3.5362,-1.3175
1990-05-01,3.9601,11.4909,9.2597,11.9858
1990-06-01,-0.7539,1.2579,0.719,-3.5948
1990-07-01,4.8711,-2.0382,-5.2131,-2.8303
1990-08-01,-4.2064,-7.0243,-13.0078,-16.2972
1990-09-01,-7.2433,-7.9804,-9.6275,-19.224
1990-10-01,-5.0915,3.0198,-4.2671,20.0629
1990-11-01,-0.5651,4.8334,8.8842,-10.8716
1990-12-01,-3.0234,-0.2745,4.0936,6.208
1991-01-01,3.2583,1.2503,10.8079,-2.3313
1991-02-01,6.364,9.7037,9.3916,13.3774
1991-03-01,2.739,3.1753,6.4445,-0.443
1991-04-01,6.2392,1.209,0.5018,-0.6884
1991-05-01,-1.5774,0.535,4.4129,-1.2294
1991-06-01,-0.2517,-3.3887,-5.9651,-9.6898
1991-07-01,4.3952,7.2056,5.4883,3.5636
1991-08-01,-2.0351,2.1979,4.7088,-7.4002
1991-09-01,1.4087,-0.9071,0.2283,7.0738
1991-10-01,7.7396,-2.1246,3.0557,5.4608
1991-11-01,-4.593,-5.682,-3.5139,-10.0507
1991-12-01,2.8461,3.0122,11.9183,1.3091
1992-01-01,-1.9317,3.1326,5.7765,-4.1812
1992-02-01,-0.3273,-0.3539,2.138,-3.1058
1992-03-01,-1.9576,-4.7617,-4.6885,-9.3397
1992-04-01,4.6316,8.7701,-4.1556,-10.1054
1992-05-01,1.3527,2.0157,1.1457,5.5028
1992-06-01,-2.0557,-6.8843,-3.7091,-13.0586
1992-07-01,-1.5878,-4.8231,3.0571,-0.2633
1992-08-01,-4.358,-3.6256,-3.0491,13.5198
1992-09-01,-4.0202,10.3952,3.5783,-3.6654
1992-10-01,-3.9865,4.1246,3.7547,-3.6324
1992-11-01,1.564,4.533,7.8589,5.4691
1992-12-01,7.0299,2.4363,3.7106,-4.292
1993-01-01,-1.4001,-1.3806,2.8643,0.5849
