firm,dateid,area,fert,labor,prod,year
1,1993-01-01,2.5,338.0,127.0,7.31,1993
1,1994-01-01,2.5,337.5,145.0,7.54,1994
2,1993-01-01,3.8,421.0,262.0,18.58,1993
2,1994-01-01,3.8,595.7,174.0,17.07,1994
3,1993-01-01,4.3,287.0,189.0,8.92,1993
3,1994-01-01,4.3,294.0,214.0,7.36,1994
4,1993-01-01,1.4,71.0,75.0,4.88,1993
4,1994-01-01,1.4,69.8,74.0,4.46,1994
5,1993-01-01,3.6,218.0,163.0,10.95,1993
5,1994-01-01,3.6,221.3,144.0,8.0,1994
6,1993-01-01,0.5,31.0,30.0,1.24,1993
6,1994-01-01,0.5,28.5,37.0,1.56,1994
7,1993-01-01,1.75,178.0,83.0,7.64,1993
7,1994-01-01,1.75,240.0,93.0,6.58,1994
8,1993-01-01,1.7,195.0,114.0,6.35,1993
8,1994-01-01,1.7,172.5,100.0,5.84,1994
9,1993-01-01,3.0,183.0,211.0,8.97,1993
9,1994-01-01,3.0,210.0,136.0,8.42,1994
10,1993-01-01,3.15,253.0,147.0,11.22,1993
10,1994-01-01,2.7,283.5,141.0,5.7,1994
11,1993-01-01,1.55,43.0,58.0,3.04,1993
11,1994-01-01,1.55,43.5,50.0,1.98,1994
12,1993-01-01,0.2,24.8,11.0,1.29,1993
12,1994-01-01,0.2,26.4,18.0,0.78,1994
13,1993-01-01,1.25,81.0,111.0,3.45,1993
13,1994-01-01,1.25,147.0,84.0,3.04,1994
14,1993-01-01,1.8,111.0,114.0,5.98,1993
14,1994-01-01,1.8,97.5,84.0,5.29,1994
15,1993-01-01,0.3,20.0,20.0,1.01,1993
15,1994-01-01,0.3,21.0,21.0,1.01,1994
16,1993-01-01,0.6,31.0,28.0,1.84,1993
16,1994-01-01,0.6,42.0,27.0,2.21,1994
17,1993-01-01,3.55,467.0,200.0,17.99,1993
17,1994-01-01,3.55,414.0,216.0,19.92,1994
18,1993-01-01,5.5,569.6,304.0,20.24,1993
18,1994-01-01,5.5,557.3,381.0,21.07,1994
19,1993-01-01,4.0,352.0,206.0,6.21,1993
19,1994-01-01,4.0,306.0,199.0,12.93,1994
20,1993-01-01,3.5,437.3,175.0,12.42,1993
20,1994-01-01,3.5,331.5,211.0,12.93,1994
21,1993-01-01,3.5,106.0,112.0,4.46,1993
21,1994-01-01,3.5,126.0,155.0,7.87,1994
22,1993-01-01,1.38,99.5,120.0,6.44,1993
22,1994-01-01,1.38,131.3,86.0,3.13,1994
23,1993-01-01,5.5,532.0,178.0,8.28,1993
23,1994-01-01,5.5,540.0,224.0,15.18,1994
24,1993-01-01,2.7,82.0,129.0,6.55,1993
24,1994-01-01,2.7,202.8,139.5,3.91,1994
25,1993-01-01,4.5,346.3,174.0,14.86,1993
25,1994-01-01,4.5,577.5,220.0,8.6,1994
26,1993-01-01,1.1,123.0,71.0,3.17,1993
26,1994-01-01,1.1,121.5,45.0,4.09,1994
27,1993-01-01,1.3,154.0,55.0,3.73,1993
27,1994-01-01,1.3,87.0,54.0,2.76,1994
28,1993-01-01,1.3,191.0,91.0,5.66,1993
28,1994-01-01,1.3,144.0,77.0,5.29,1994
29,1993-01-01,2.0,126.0,80.0,6.9,1993
29,1994-01-01,2.0,73.5,90.0,3.17,1994
30,1993-01-01,0.4,20.0,26.0,1.2,1993
30,1994-01-01,0.4,21.0,20.0,1.06,1994
31,1993-01-01,0.75,56.0,72.0,2.53,1993
31,1994-01-01,0.75,31.5,33.0,2.35,1994
32,1993-01-01,0.81,69.3,72.0,3.53,1993
32,1994-01-01,0.81,67.2,37.0,2.38,1994
33,1993-01-01,0.6,41.0,51.0,2.3,1993
33,1994-01-01,1.4,132.0,52.0,5.15,1994
34,1993-01-01,1.0,10.0,63.0,1.66,1993
34,1994-01-01,1.0,10.5,18.0,0.6,1994
35,1993-01-01,2.0,111.0,121.0,6.49,1993
35,1994-01-01,2.0,261.0,135.0,5.61,1994
36,1993-01-01,2.1,165.0,104.0,4.83,1993
36,1994-01-01,2.1,133.5,121.0,4.83,1994
37,1993-01-01,1.0,66.0,59.0,2.3,1993
37,1994-01-01,1.0,135.0,61.0,1.43,1994
38,1993-01-01,1.0,264.0,59.0,5.75,1993
38,1994-01-01,1.0,63.0,60.0,3.17,1994
39,1993-01-01,4.6,193.0,139.0,12.17,1993
39,1994-01-01,4.6,379.5,194.0,9.89,1994
40,1993-01-01,0.8,20.0,34.0,1.84,1993
40,1994-01-01,0.4,21.0,22.0,1.61,1994
41,1993-01-01,1.75,151.5,99.0,4.46,1993
41,1994-01-01,1.75,150.0,124.0,4.83,1994
42,1993-01-01,1.3,30.0,62.0,3.68,1993
42,1994-01-01,1.3,31.5,50.0,2.3,1994
43,1993-01-01,2.3,114.9,60.0,5.11,1993
43,1994-01-01,1.65,99.8,62.0,3.59,1994
44,1993-01-01,2.0,68.0,67.0,3.31,1993
44,1994-01-01,2.0,94.5,96.0,5.61,1994
