date,returns
1995-07-07,4.44824
1995-07-10,-0.08102
1995-07-11,-2.59245
1995-07-12,-0.04314
1995-07-13,1.10954
1995-07-14,-0.51186
1995-07-17,6.32883
1995-07-18,2.83806
1995-07-19,-3.48288
1995-07-20,-0.09846
1995-07-21,0.47115
1995-07-24,2.33145
1995-07-25,-0.89707
1995-07-26,-1.78681
1995-07-27,0.95044
1995-07-28,-0.33019
1995-07-31,0.01869
1995-08-01,2.81389
1995-08-02,-2.17758
1995-08-03,0.49165
1995-08-04,0.91134
1995-08-07,1.1485
1995-08-08,-0.7759
1995-08-09,0.68952
1995-08-10,2.43574
1995-08-11,1.32962
1995-08-14,4.09492
1995-08-15,-3.22754
1995-08-16,2.13023
1995-08-17,0.2329
1995-08-18,-1.57449
1995-08-21,-2.4552
1995-08-22,0.10819
1995-08-23,-1.35671
1995-08-24,0.54108
1995-08-25,-0.85807
1995-08-28,-0.26975
1995-08-29,-0.48905
1995-08-30,-0.88329
1995-08-31,1.13088
1995-09-01,0.68424
1995-09-04,1.23405
1995-09-05,0.22201
1995-09-06,1.90459
1995-09-07,0.01194
1995-09-08,-0.3668
1995-09-11,3.19313
1995-09-12,-1.52816
1995-09-13,-0.0668
1995-09-14,-0.6639
1995-09-15,-0.29061
1995-09-18,0.19427
1995-09-19,-2.76565
1995-09-20,-1.44922
1995-09-21,0.69032
1995-09-22,-0.15878
1995-09-25,-0.9165
1995-09-26,0.75885
1995-09-27,-2.83881
1995-09-28,0.3846
1995-09-29,1.56809
1995-10-02,-0.00042
1995-10-03,0.0
1995-10-04,-0.64393
1995-10-05,0.98291
1995-10-06,-0.68105
1995-10-09,-1.91697
1995-10-10,0.33076
1995-10-11,0.31842
1995-10-12,-0.91713
1995-10-13,-0.20179
1995-10-16,-0.23357
1995-10-17,0.15103
1995-10-18,2.03357
1995-10-19,-1.97806
1995-10-20,3.28913
1995-10-23,-0.44157
1995-10-24,0.06636
1995-10-25,4.96605
1995-10-26,-3.88016
1995-10-27,-1.25187
1995-10-30,0.05674
1995-10-31,-0.75828
1995-11-01,0.84265
1995-11-02,-0.2339
1995-11-03,0.8403
1995-11-06,1.14214
1995-11-07,-0.88141
1995-11-08,-2.50898
1995-11-09,-0.05763
1995-11-10,-0.34367
1995-11-13,-2.87112
1995-11-14,0.02468
1995-11-15,0.48224
1995-11-16,-1.42003
1995-11-17,-0.92005
1995-11-20,-0.21467
1995-11-21,0.54391
1995-11-22,-2.2509
1995-11-23,-0.74904
1995-11-24,0.15178
1995-11-27,-2.1988
1995-11-28,1.16216
1995-11-29,-1.69689
1995-11-30,-0.07016
1995-12-01,-1.14986
1995-12-04,0.17498
1995-12-05,0.3616
1995-12-06,-1.38903
1995-12-07,0.54116
1995-12-08,0.7788
1995-12-11,-2.7899
1995-12-12,1.63212
1995-12-13,-2.51773
1995-12-14,0.15465
1995-12-15,-1.78236
1995-12-18,-1.9649
1995-12-19,-0.01351
1995-12-20,1.50535
1995-12-21,-0.60244
1995-12-22,-0.53538
1995-12-25,-2.42035
1995-12-26,-1.35563
1995-12-27,-0.31857
1995-12-28,-2.40958
1995-12-29,-0.27515
1996-01-01,-0.0018
1996-01-02,-3.18556
1996-01-03,0.84237
1996-01-04,2.96794
1996-01-05,-4.08958
1996-01-08,0.52067
1996-01-09,3.54385
1996-01-10,-1.98878
1996-01-11,-0.36222
1996-01-12,0.26905
1996-01-15,0.71575
1996-01-16,-0.59702
1996-01-17,-1.9262
1996-01-18,-3.73145
1996-01-19,1.12954
1996-01-22,-1.35583
