id,schid,tchid,tchexper,absent,readscore,mathscore,totalscore,boy,white_asian,black,tchwhite,tchmasters,freelunch,schurban,schrural,small,regular,aide
10133,169280,16928003,7.0,5.0,427,478,905.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1
10246,218562,21856202,8.0,28.0,450,494,944.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0,0,1
10263,205492,20549204,3.0,2.0,483,513,996.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,0,0
10266,257899,25789904,12.0,10.0,456,513,969.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0
10275,161176,16117602,2.0,3.0,411,468,879.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1
10281,189382,18938204,7.0,2.0,443,473,916.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0
10282,189382,18938203,14.0,7.0,448,449,897.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,1
10285,201449,20144901,4.0,8.0,463,520,983.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1,0,0
10286,230612,23061203,6.0,2.0,472,536,1008.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,1,0
10287,128068,12806803,11.0,17.0,428,484,912.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1
10289,262937,26293701,16.0,8.0,545,626,1171.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
10290,169219,16921902,12.0,0.0,408,454,862.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1,0
10291,169229,16922904,5.0,31.0,422,439,861.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
10292,205491,20549104,17.0,7.0,472,528,1000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1
10295,161176,16117604,6.0,20.0,437,463,900.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,0,0
10299,168211,16821101,10.0,7.0,450,484,934.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0
10300,173312,17331203,13.0,2.0,497,547,1044.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1
10302,234628,23462803,9.0,19.0,460,576,1036.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,0,1
10303,244831,24483102,18.0,24.0,408,449,857.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
10308,189382,18938204,7.0,8.0,467,576,1043.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0
10311,253888,25388801,13.0,9.0,403,392,795.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1
10312,244755,24475504,1.0,7.0,411,444,855.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1,0
10313,218562,21856201,14.0,4.0,490,559,1049.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,0
