absent,aide,black,boy,freelunch,id,mathscore,readscore,regular,schid,schrural,schurban,small,tchexper,tchid,tchmasters,tchwhite,totalscore,white_asian
5.0,1,1.0,1.0,0.0,10133,478,427,0,169280,0.0,0.0,0,7.0,16928003,0.0,1.0,905.0,0.0
28.0,1,0.0,0.0,0.0,10246,494,450,0,218562,0.0,1.0,0,8.0,21856202,1.0,1.0,944.0,1.0
2.0,0,1.0,0.0,1.0,10263,513,483,0,205492,0.0,0.0,1,3.0,20549204,0.0,1.0,996.0,0.0
10.0,0,0.0,1.0,0.0,10266,513,456,1,257899,1.0,0.0,0,12.0,25789904,1.0,1.0,969.0,1.0
3.0,1,0.0,1.0,0.0,10275,468,411,0,161176,1.0,0.0,0,2.0,16117602,0.0,1.0,879.0,1.0
2.0,0,0.0,1.0,0.0,10281,473,443,0,189382,0.0,0.0,1,7.0,18938204,1.0,1.0,916.0,1.0
7.0,1,0.0,1.0,1.0,10282,449,448,0,189382,0.0,0.0,0,14.0,18938203,1.0,1.0,897.0,1.0
8.0,0,0.0,0.0,1.0,10285,520,463,0,201449,1.0,0.0,1,4.0,20144901,1.0,1.0,983.0,1.0
2.0,0,0.0,1.0,0.0,10286,536,472,1,230612,1.0,0.0,0,6.0,23061203,1.0,1.0,1008.0,1.0
17.0,1,0.0,1.0,0.0,10287,484,428,0,128068,1.0,0.0,0,11.0,12806803,0.0,1.0,912.0,1.0
8.0,1,0.0,1.0,0.0,10289,626,545,0,262937,0.0,0.0,0,16.0,26293701,0.0,1.0,1171.0,1.0
0.0,0,1.0,1.0,0.0,10290,454,408,1,169219,0.0,0.0,0,12.0,16921902,1.0,1.0,862.0,0.0
31.0,1,0.0,1.0,0.0,10291,439,422,0,169229,0.0,0.0,0,5.0,16922904,0.0,0.0,861.0,1.0
7.0,1,0.0,0.0,0.0,10292,528,472,0,205491,0.0,0.0,0,17.0,20549104,0.0,1.0,1000.0,1.0
20.0,0,0.0,0.0,1.0,10295,463,437,0,161176,1.0,0.0,1,6.0,16117604,0.0,1.0,900.0,1.0
7.0,0,0.0,0.0,0.0,10299,484,450,1,168211,1.0,0.0,0,10.0,16821101,0.0,1.0,934.0,1.0
2.0,1,0.0,0.0,0.0,10300,547,497,0,173312,1.0,0.0,0,13.0,17331203,0.0,1.0,1044.0,1.0
19.0,1,0.0,0.0,1.0,10302,576,460,0,234628,1.0,0.0,0,9.0,23462803,1.0,1.0,1036.0,1.0
24.0,0,0.0,1.0,0.0,10303,449,408,1,244831,0.0,0.0,0,18.0,24483102,0.0,0.0,857.0,1.0
8.0,0,0.0,1.0,0.0,10308,576,467,0,189382,0.0,0.0,1,7.0,18938204,1.0,1.0,1043.0,1.0
9.0,1,0.0,1.0,0.0,10311,392,403,0,253888,1.0,0.0,0,13.0,25388801,0.0,1.0,795.0,1.0
7.0,0,1.0,1.0,0.0,10312,444,411,1,244755,0.0,1.0,0,1.0,24475504,0.0,0.0,855.0,0.0
4.0,0,0.0,1.0,1.0,10313,559,490,0,218562,0.0,1.0,1,14.0,21856201,1.0,1.0,1049.0,1.0
19.0,0,0.0,0.0,0.0,10316,576,503,0,262937,0.0,0.0,1,18.0,26293703,1.0,1.0,1079.0,1.0
3.0,1,0.0,1.0,0.0,10319,547,442,0,244801,0.0,0.0,0,8.0,24480103,0.0,0.0,989.0,1.0
4.0,0,0.0,0.0,1.0,10321,484,443,1,189396,1.0,0.0,0,4.0,18939602,0.0,1.0,927.0,1.0
15.0,1,0.0,0.0,0.0,10322,459,403,0,212522,0.0,1.0,0,,21252201,0.0,0.0,862.0,1.0
26.0,1,0.0,1.0,1.0,10323,444,424,0,253888,1.0,0.0,0,13.0,25388801,0.0,1.0,868.0,1.0
6.0,1,0.0,0.0,0.0,10326,459,413,0,205491,0.0,0.0,0,17.0,20549104,0.0,1.0,872.0,1.0
5.0,0,0.0,0.0,0.0,10329,576,495,1,262937,0.0,0.0,0,15.0,26293702,1.0,1.0,1071.0,1.0
10.0,1,0.0,0.0,1.0,10330,528,451,0,262937,0.0,0.0,0,16.0,26293701,0.0,1.0,979.0,1.0
3.0,0,1.0,0.0,1.0,10331,468,413,1,221571,1.0,0.0,0,13.0,22157103,1.0,1.0,881.0,0.0
15.0,1,1.0,0.0,1.0,10332,429,393,0,205489,0.0,0.0,0,3.0,20548903,0.0,1.0,822.0,0.0
13.0,1,0.0,0.0,0.0,10333,444,398,0,205491,0.0,0.0,0,17.0,20549104,0.0,1.0,842.0,1.0
2.0,0,0.0,0.0,1.0,10334,506,483,0,218562,0.0,1.0,1,11.0,21856203,0.0,1.0,989.0,1.0
1.0,0,0.0,0.0,0.0,10379,500,431,0,162184,1.0,0.0,1,2.0,16218404,0.0,1.0,931.0,1.0
12.0,1,1.0,0.0,1.0,10381,459,421,0,244736,0.0,1.0,0,11.0,24473601,0.0,1.0,880.0,0.0
7.0,0,1.0,0.0,1.0,10383,468,419,0,244818,0.0,1.0,1,10.0,24481802,1.0,0.0,887.0,0.0
2.0,1,1.0,0.0,1.0,10384,536,472,0,244736,0.0,1.0,0,11.0,24473601,0.0,1.0,1008.0,0.0
6.0,1,1.0,0.0,1.0,10386,412,405,0,244736,0.0,1.0,0,11.0,24473601,0.0,1.0,817.0,0.0
4.0,0,1.0,0.0,1.0,10391,439,416,0,244796,0.0,1.0,1,21.0,24479603,0.0,0.0,855.0,0.0
5.0,0,0.0,0.0,1.0,10395,468,445,0,162184,1.0,0.0,1,2.0,16218404,0.0,1.0,913.0,1.0
6.0,0,1.0,0.0,1.0,10396,489,428,0,244796,0.0,1.0,1,21.0,24479603,0.0,0.0,917.0,0.0
4.0,0,1.0,1.0,1.0,10424,500,414,0,244806,0.0,1.0,1,1.0,24480601,0.0,1.0,914.0,0.0
8.0,1,1.0,0.0,1.0,10425,489,467,0,159171,1.0,0.0,0,10.0,15917101,0.0,1.0,956.0,0.0
6.0,0,0.0,1.0,0.0,10432,559,461,0,169229,0.0,0.0,1,15.0,16922901,1.0,1.0,1020.0,1.0
4.0,0,0.0,1.0,1.0,10433,459,398,0,162184,1.0,0.0,1,6.0,16218403,1.0,1.0,857.0,1.0
3.0,1,1.0,0.0,1.0,10434,399,400,0,244723,0.0,1.0,0,17.0,24472301,1.0,1.0,799.0,0.0
17.0,1,1.0,1.0,1.0,10473,463,414,0,244723,0.0,1.0,0,17.0,24472301,1.0,1.0,877.0,0.0
7.0,0,0.0,1.0,0.0,10481,489,433,0,215533,1.0,0.0,1,6.0,21553303,1.0,1.0,922.0,1.0
9.0,1,0.0,1.0,0.0,10485,434,414,0,169229,0.0,0.0,0,5.0,16922904,0.0,0.0,848.0,1.0
7.0,0,0.0,1.0,1.0,10486,506,451,1,169229,0.0,0.0,0,13.0,16922903,1.0,1.0,957.0,1.0
3.0,0,1.0,0.0,1.0,10489,434,414,0,244723,0.0,1.0,1,1.0,24472303,0.0,0.0,848.0,0.0
5.0,1,1.0,1.0,1.0,10491,536,485,0,244806,0.0,1.0,0,20.0,24480602,0.0,0.0,1021.0,0.0
23.0,1,1.0,1.0,1.0,10541,434,397,0,244755,0.0,1.0,0,7.0,24475502,0.0,1.0,831.0,0.0
7.0,0,1.0,1.0,0.0,10726,473,411,0,244796,0.0,1.0,1,21.0,24479603,0.0,0.0,884.0,0.0
13.0,0,0.0,1.0,0.0,10763,459,427,1,169229,0.0,0.0,0,13.0,16922903,1.0,1.0,886.0,1.0
0.0,0,0.0,1.0,0.0,10764,536,461,1,169280,0.0,0.0,0,13.0,16928002,1.0,1.0,997.0,1.0
4.0,1,0.0,1.0,1.0,10766,454,414,0,180344,0.0,1.0,0,11.0,18034403,0.0,1.0,868.0,1.0
2.0,1,0.0,1.0,1.0,10767,547,451,0,201449,1.0,0.0,0,7.0,20144904,1.0,1.0,998.0,1.0
10.0,0,0.0,1.0,0.0,10783,494,448,1,257905,0.0,1.0,0,5.0,25790504,0.0,1.0,942.0,1.0
74.0,0,0.0,1.0,1.0,10803,418,393,1,215533,1.0,0.0,0,0.0,21553306,0.0,1.0,811.0,1.0
24.0,0,1.0,1.0,1.0,10817,439,440,1,244755,0.0,1.0,0,24.0,24475505,0.0,0.0,879.0,0.0
10.0,0,1.0,0.0,1.0,10825,449,407,0,244818,0.0,1.0,1,10.0,24481802,1.0,0.0,856.0,0.0
13.0,1,0.0,0.0,1.0,10857,434,419,0,201449,1.0,0.0,0,7.0,20144904,1.0,1.0,853.0,1.0
8.0,1,0.0,0.0,1.0,10899,459,443,0,193422,1.0,0.0,0,9.0,19342201,0.0,1.0,902.0,1.0
3.0,0,0.0,1.0,0.0,10935,484,440,1,169229,0.0,0.0,0,13.0,16922903,1.0,1.0,924.0,1.0
5.0,1,0.0,1.0,1.0,10960,444,390,0,112038,0.0,1.0,0,17.0,11203803,0.0,1.0,834.0,1.0
18.0,1,0.0,1.0,1.0,10961,478,402,0,112038,0.0,1.0,0,17.0,11203803,0.0,1.0,880.0,1.0
