dateid01,eaf,t
1970-01-01,0.153,1
1971-01-01,0.174,2
1972-01-01,0.178,3
1973-01-01,0.184,4
1974-01-01,0.197,5
1975-01-01,0.194,6
1976-01-01,0.192,7
1977-01-01,0.222,8
1978-01-01,0.235,9
1979-01-01,0.246,10
1980-01-01,0.272,11
1981-01-01,0.283,12
1982-01-01,0.311,13
1983-01-01,0.315,14
1984-01-01,0.339,15
1985-01-01,0.339,16
1986-01-01,0.372,17
1987-01-01,0.381,18
1988-01-01,0.369,19
1989-01-01,0.359,20
1990-01-01,0.373,21
1991-01-01,0.384,22
1992-01-01,0.38,23
1993-01-01,0.394,24
1994-01-01,0.393,25
1995-01-01,0.404,26
1996-01-01,0.426,27
1997-01-01,0.438,28
1998-01-01,0.446,29
1999-01-01,0.451,30
2000-01-01,0.47,31
2001-01-01,0.474,32
2002-01-01,0.504,33
2003-01-01,0.51,34
2004-01-01,0.521,35
2005-01-01,0.55,36
2006-01-01,0.569,37
2007-01-01,0.581,38
2008-01-01,0.581,39
2009-01-01,0.617,40
2010-01-01,0.613,41
2011-01-01,0.603,42
2012-01-01,0.591,43
2013-01-01,0.606,44
2014-01-01,0.626,45
2015-01-01,0.63,46
