x,ey,e,ystar,d,y
19.702946,10.70295,-4.386391,6.316556,1,6.316556
15.340993,6.340993,12.72817,19.06916,1,19.06916
13.12362,4.123621,9.276341,13.39996,1,13.39996
1.0560622,-7.943938,2.125992,-5.817946,0,0.0
1.7304921,-7.269508,-0.505381,-7.774889,0,0.0
1.9848421,-7.015158,-4.26409,-11.27925,0,0.0
9.0584796,0.0584796,9.256494,9.314973,1,9.314973
4.94011,-4.05989,3.080579,-0.9793105,0,0.0
0.71150181,-8.288498,0.2925268,-7.995971,0,0.0
0.64248073,-8.357519,2.860748,-5.496771,0,0.0
0.94224506,-8.057755,2.523841,-5.533913,0,0.0
2.634922,-6.365078,0.397385,-5.967693,0,0.0
5.231087,-3.768913,-10.33453,-14.10344,0,0.0
1.0721352,-7.927865,2.762051,-5.165814,0,0.0
3.3712112,-5.628789,-8.255087,-13.88388,0,0.0
3.4134039,-5.586596,-4.986032,-10.57263,0,0.0
2.3048,-6.6952,-2.639884,-9.335084,0,0.0
1.6650237,-7.334976,-5.915467,-13.25044,0,0.0
10.332091,1.332091,1.2287,2.560791,1,2.560791
19.481584,10.48158,-1.641432,8.840151,1,8.840151
2.0553229,-6.944677,-4.943472,-11.88815,0,0.0
18.333385,9.333385,-1.781029,7.552355,1,7.552355
11.151459,2.151459,3.314297,5.465756,1,5.465756
13.459985,4.459985,3.280704,7.740689,1,7.740689
14.183826,5.183826,-1.330541,3.853285,1,3.853285
6.2662221,-2.733778,-2.018962,-4.75274,0,0.0
2.7423233,-6.257677,2.280518,-3.977159,0,0.0
13.433451,4.433451,2.354506,6.787957,1,6.787957
13.406586,4.406586,-5.160973,-0.7543869,0,0.0
0.55872351,-8.441277,-3.287634,-11.72891,0,0.0
1.5048264,-7.495173,4.594892,-2.900282,0,0.0
7.0312152,-1.968785,3.727677,1.758892,1,1.758892
16.159724,7.159724,1.855197,9.014921,1,9.014921
12.528957,3.528957,-1.778503,1.750455,1,1.750455
11.903107,2.903107,5.81855,8.721657,1,8.721657
6.4862246,-2.513775,0.4809427,-2.032833,0,0.0
13.664548,4.664548,2.467372,7.13192,1,7.13192
1.5724054,-7.427595,-4.617986,-12.04558,0,0.0
11.70788,2.70788,-0.3997432,2.308136,1,2.308136
9.9172866,0.9172866,5.66729,6.584577,1,6.584577
18.912466,9.912466,4.266501,14.17897,1,14.17897
7.4373471,-1.562653,-3.752693,-5.315346,0,0.0
12.024512,3.024512,-5.746422,-2.72191,0,0.0
17.431988,8.431988,3.334502,11.76649,1,11.76649
4.2102365,-4.789763,3.694059,-1.095705,0,0.0
15.89983,6.89983,0.8930854,7.792915,1,7.792915
15.609216,6.609216,1.77106,8.380276,1,8.380276
10.437295,1.437295,0.7890583,2.226353,1,2.226353
13.083565,4.083565,7.312933,11.3965,1,11.3965
16.000109,7.00011,1.490191,8.4903,1,8.4903
15.283611,6.283611,-3.269457,3.014154,1,3.014154
6.5319426,-2.468057,6.297827,3.829769,1,3.829769
0.68728837,-8.312712,6.867738,-1.444973,0,0.0
15.453034,6.453034,1.353804,7.806838,1,7.806838
5.7624615,-3.237539,0.3770403,-2.860498,0,0.0
2.5408755,-6.459125,-3.658352,-10.11748,0,0.0
9.0355554,0.0355554,5.036187,5.071742,1,5.071742
18.734443,9.734443,-4.000092,5.734351,1,5.734351
0.35837234,-8.641627,-0.6525575,-9.294185,0,0.0
5.4880601,-3.51194,2.291806,-1.220134,0,0.0
17.997635,8.997635,2.015886,11.01352,1,11.01352
16.121379,7.121379,-1.327507,5.793871,1,5.793871
14.526901,5.526901,-5.380958,0.1459436,1,0.1459436
3.5937218,-5.406278,-2.144348,-7.550626,0,0.0
19.767884,10.76788,1.734064,12.50195,1,12.50195
17.634048,8.634048,-2.240571,6.393477,1,6.393477
19.697571,10.69757,-3.013374,7.684198,1,7.684198
13.883566,4.883566,-3.251097,1.63247,1,1.63247
17.526192,8.526192,-1.431709,7.094482,1,7.094482
0.32928152,-8.670718,-3.328003,-11.99872,0,0.0
19.757347,10.75735,-2.837505,7.919842,1,7.919842
18.408542,9.408543,-3.85993,5.548613,1,5.548613
7.6935137,-1.306486,0.7534511,-0.5530351,0,0.0
6.9040991,-2.095901,3.050604,0.9547026,1,0.9547026
7.2150364,-1.784964,-5.382957,-7.167921,0,0.0
14.008746,5.008746,-5.660772,-0.6520262,0,0.0
11.87928,2.87928,-2.351476,0.5278039,1,0.5278039
8.8335393,-0.1664607,-5.160889,-5.327349,0,0.0
6.3142759,-2.685724,-1.222195,-3.907919,0,0.0
3.5603085,-5.439692,0.9701412,-4.46955,0,0.0
13.521104,4.521104,-4.555149,-0.0340452,0,0.0
15.743867,6.743867,4.951678,11.69555,1,11.69555
2.2764201,-6.72358,5.848016,-0.8755636,0,0.0
12.97497,3.97497,9.394755,13.36973,1,13.36973
13.262973,4.262973,2.997079,7.260053,1,7.260053
14.740317,5.740317,3.924601,9.664918,1,9.664918
15.035288,6.035287,0.904152,6.939439,1,6.939439
4.6368982,-4.363102,4.027429,-0.3356729,0,0.0
4.74801,-4.25199,-0.8872071,-5.139197,0,0.0
9.9904376,0.9904376,2.889264,3.879701,1,3.879701
11.222694,2.222694,1.012002,3.234696,1,3.234696
8.4270672,-0.5729328,-5.773283,-6.346216,0,0.0
2.4694106,-6.53059,-3.98948,-10.52007,0,0.0
7.17929,-1.82071,4.133872,2.313161,1,2.313161
17.170259,8.170259,-4.212234,3.958025,1,3.958025
7.1653446,-1.834655,1.328275,-0.5063801,0,0.0
4.1099319,-4.890068,-1.905656,-6.795724,0,0.0
16.357263,7.357263,6.395586,13.75285,1,13.75285
6.2918317,-2.708168,3.406248,0.6980793,1,0.6980793
0.36556788,-8.634432,-2.1855,-10.81993,0,0.0
12.35262,3.35262,-3.886176,-0.5335555,0,0.0
15.594028,6.594028,-2.953504,3.640524,1,3.640524
9.5327483,0.5327482,0.7242807,1.257029,1,1.257029
12.77518,3.77518,-9.890311,-6.115131,0,0.0
1.4675905,-7.53241,-5.038585,-12.57099,0,0.0
6.8780818,-2.121918,1.194562,-0.9273562,0,0.0
15.839939,6.839939,1.881427,8.721366,1,8.721366
14.584337,5.584337,-2.201806,3.38253,1,3.38253
17.769648,8.769649,-6.019915,2.749734,1,2.749734
18.973382,9.973382,-2.609016,7.364366,1,7.364366
11.941879,2.941879,3.991403,6.933282,1,6.933282
4.8550542,-4.144946,1.091232,-3.053714,0,0.0
7.6319846,-1.368015,0.6469325,-0.7210829,0,0.0
1.8167682,-7.183232,3.538984,-3.644248,0,0.0
7.1558182,-1.844182,-3.747705,-5.591887,0,0.0
17.502419,8.502419,0.8218875,9.324306,1,9.324306
10.635236,1.635236,7.475381,9.110617,1,9.110617
18.251062,9.251062,1.361559,10.61262,1,10.61262
17.677371,8.677371,0.3806019,9.057973,1,9.057973
19.264596,10.2646,4.087266,14.35186,1,14.35186
18.528276,9.528275,-5.862798,3.665477,1,3.665477
15.995091,6.99509,-0.708604,6.286487,1,6.286487
5.5961912,-3.403809,-0.3642157,-3.768024,0,0.0
11.370088,2.370088,-2.256603,0.1134853,1,0.1134853
12.79928,3.79928,0.3771087,4.176388,1,4.176388
0.59938347,-8.400617,-5.017642,-13.41826,0,0.0
8.9053145,-0.0946855,0.2296714,0.1349859,1,0.1349859
5.7638093,-3.236191,-6.883196,-10.11939,0,0.0
0.17266422,-8.827335,-1.600952,-10.42829,0,0.0
16.653069,7.653069,-10.09961,-2.446537,0,0.0
18.033986,9.033986,-2.257419,6.776567,1,6.776567
7.6474702,-1.35253,4.66656,3.31403,1,3.31403
13.608756,4.608756,-3.864218,0.7445383,1,0.7445383
14.67081,5.67081,-3.825474,1.845336,1,1.845336
4.6826602,-4.31734,-1.379553,-5.696893,0,0.0
13.295595,4.295595,6.260262,10.55586,1,10.55586
11.080591,2.08059,-0.4773278,1.603263,1,1.603263
3.5562725,-5.443727,-3.36301,-8.806738,0,0.0
11.947053,2.947053,-3.348202,-0.4011488,0,0.0
3.9926778,-5.007322,7.996616,2.989294,1,2.989294
8.2670412,-0.7329588,2.792443,2.059484,1,2.059484
4.5232276,-4.476772,3.765761,-0.7110114,0,0.0
10.925015,1.925015,1.544282,3.469297,1,3.469297
7.0283969,-1.971603,2.828265,0.8566618,1,0.8566618
15.468093,6.468093,4.248226,10.71632,1,10.71632
6.9357592,-2.064241,-3.554924,-5.619165,0,0.0
16.980195,7.980196,-3.526022,4.454174,1,4.454174
10.200279,1.200279,-0.3743838,0.8258948,1,0.8258948
9.7149385,0.7149385,-0.0067709,0.7081676,1,0.7081676
16.620535,7.620535,2.432482,10.05302,1,10.05302
16.336878,7.336878,-4.46645,2.870428,1,2.870428
10.319836,1.319836,7.320602,8.640439,1,8.640439
12.104299,3.104299,0.1760094,3.280308,1,3.280308
15.723375,6.723375,0.7312804,7.454656,1,7.454656
12.95389,3.95389,-1.846119,2.107771,1,2.107771
5.838827,-3.161173,6.735557,3.574384,1,3.574384
9.1388025,0.1388025,2.232488,2.371291,1,2.371291
13.910435,4.910435,1.853314,6.763749,1,6.763749
19.601592,10.60159,-1.328942,9.27265,1,9.27265
18.046988,9.046988,-1.620866,7.426122,1,7.426122
17.878768,8.878768,1.294978,10.17375,1,10.17375
16.997148,7.997148,0.3094734,8.306622,1,8.306622
11.366185,2.366185,-1.775678,0.5905076,1,0.5905076
12.908148,3.908148,4.708281,8.616428,1,8.616428
7.5652173,-1.434783,4.231984,2.797201,1,2.797201
15.260319,6.260319,-2.725697,3.534622,1,3.534622
5.8886097,-3.11139,1.759935,-1.351455,0,0.0
3.3184721,-5.681528,0.4048063,-5.276722,0,0.0
12.059154,3.059154,-3.982418,-0.9232643,0,0.0
5.1258488,-3.874151,0.6110466,-3.263105,0,0.0
2.0867578,-6.913242,4.583543,-2.3297,0,0.0
13.39967,4.399671,1.416037,5.815707,1,5.815707
6.6148091,-2.385191,1.730247,-0.6549439,0,0.0
19.036998,10.037,5.47787,15.51487,1,15.51487
13.838273,4.838273,-10.76488,-5.926606,0,0.0
16.579527,7.579527,4.503537,12.08307,1,12.08307
9.6424096,0.6424096,3.371096,4.013506,1,4.013506
