dateid01,rain,t,trend,y,year
1950-01-01,4.099,1,0.0,1.3508,1950
1951-01-01,3.5740000000000003,2,0.1,0.9476,1951
1952-01-01,4.258,3,0.2,1.2569,1952
1953-01-01,4.79,4,0.3,0.9142,1953
1954-01-01,3.648,5,0.4,1.1022,1954
1955-01-01,6.035,6,0.5,1.1897,1955
1956-01-01,4.829,7,0.6,1.0689,1956
1957-01-01,4.216,8,0.7,0.9007,1957
1958-01-01,4.659,9,0.8,1.2231,1958
1959-01-01,2.9800000000000004,10,0.9,1.2434,1959
1960-01-01,4.245,11,1.0,1.1427,1960
1961-01-01,3.198,12,1.1,0.7998,1961
1962-01-01,4.735,13,1.2,0.8468,1962
1963-01-01,6.0969999999999995,14,1.3,0.8938,1963
1964-01-01,5.724,15,1.4,0.9006,1964
1965-01-01,4.645,16,1.5,1.0955,1965
1966-01-01,3.8200000000000003,17,1.6,0.988,1966
1967-01-01,4.927,18,1.7,0.9408,1967
1968-01-01,4.793,19,1.8,0.8939,1968
1969-01-01,2.052,20,1.9,0.3629,1969
1970-01-01,3.6769999999999996,21,2.0,1.7111,1970
1971-01-01,3.297,22,2.1,1.5152,1971
1972-01-01,3.1559999999999997,23,2.2,1.5135,1972
1973-01-01,4.844,24,2.3,1.8519,1973
1974-01-01,4.5760000000000005,25,2.4,1.2963,1974
1975-01-01,4.264,26,2.5,1.5072,1975
1976-01-01,3.091,27,2.6,1.5867,1976
1977-01-01,3.2640000000000002,28,2.7,1.3538,1977
1978-01-01,3.596,29,2.8,1.6757,1978
1979-01-01,2.746,30,2.9,1.475,1979
1980-01-01,3.136,31,3.0,1.3289,1980
1981-01-01,5.319,32,3.1,1.28,1981
1982-01-01,3.331,33,3.2,1.5357,1982
1983-01-01,4.5920000000000005,34,3.3,1.2079,1983
1984-01-01,3.386,35,3.4,1.6154,1984
1985-01-01,2.7560000000000002,36,3.5,1.6497,1985
1986-01-01,3.851,37,3.6,1.6914,1986
1987-01-01,3.652,38,3.7,2.1408,1987
1988-01-01,3.402,39,3.8,2.3132,1988
1989-01-01,3.7800000000000002,40,3.9,2.2897,1989
1990-01-01,4.457,41,4.0,2.0983,1990
1991-01-01,4.396,42,4.1,1.9555,1991
1992-01-01,3.7460000000000004,43,4.2,1.8192,1992
1993-01-01,3.651,44,4.3,2.3881,1993
1994-01-01,4.896,45,4.4,2.2106,1994
1995-01-01,4.797000000000001,46,4.5,2.4475,1995
1996-01-01,3.316,47,4.6,2.3959,1996
1997-01-01,3.39,48,4.7,2.9669,1997
