year,uk,rate_uk,spend_uk,ireland,rate_ir,spend_ir
1955,4504,8.84,315.8,,,
1956,5740,11.21,317.2,,,
1957,6966,13.55,322.3,,,
1958,8090,15.66,329.3,,,
1959,9255,17.81,341.6,,,
1960,10470,19.99,352.2,,,
1961,11268,21.34,357.5,,,
1962,11834,22.21,361.9,92.7,3.28,255.4
1963,12443,23.24,375.9,150.3,5.27,263.9
1964,12885,23.91,386.6,221.9,7.75,274.4
1965,13253,24.44,391.0,255.8,8.9,275.2
1966,13567,24.89,396.8,287.7,9.98,279.5
1967,14267,26.04,403.6,308.2,10.63,288.7
1968,15093,27.42,412.1,376.5,12.94,305.3
1969,15510,28.07,413.3,394.3,13.5,326.1
1970,15899,28.69,422.0,415.9,14.13,331.8
1971,15961,28.7,431.8,433.0,14.54,338.7
1972,16678,29.89,456.1,498.2,16.53,353.5
1973,17146,30.66,476.3,530.1,17.38,376.3
