dateid01,br,ffr,infn
1954-08-01,1.49,1.22,0.0
1954-09-01,1.6,1.06,-0.298
1954-10-01,1.72,0.85,-0.8571
1954-11-01,1.75,0.83,-0.261
1954-12-01,1.81,1.28,-0.3729
1955-01-01,1.99,1.39,-0.633
1955-02-01,2.12,1.29,-0.6319
1955-03-01,2.26,1.35,-0.5212
1955-04-01,2.37,1.43,-0.261
1955-05-01,2.37,1.43,-0.5959
1955-06-01,2.39,1.64,-0.8574
1955-07-01,2.51,1.68,-0.373
1955-08-01,2.72,1.96,-0.4853
1955-09-01,2.69,2.18,0.1491
1955-10-01,2.62,2.24,0.3736
1955-11-01,2.73,2.35,0.3727
1955-12-01,2.88,2.48,0.3729
1956-01-01,2.78,2.45,0.2239
1956-02-01,2.67,2.5,0.149
1956-03-01,2.89,2.5,0.3726
1956-04-01,3.19,2.62,0.5212
1956-05-01,3.08,2.75,0.9666
1956-06-01,2.95,2.71,1.6339
1956-07-01,3.06,2.75,1.9612
1956-08-01,3.39,2.73,2.1841
1956-09-01,3.5,2.95,1.8451
1956-10-01,3.4,2.96,2.5402
1956-11-01,3.57,2.88,2.3167
1956-12-01,3.76,2.94,2.7892
1957-01-01,3.46,2.84,3.0828
1957-02-01,3.42,3.0,3.4398
1957-03-01,3.47,2.96,3.5437
1957-04-01,3.53,3.0,3.646
1957-05-01,3.61,3.0,3.5257
1957-06-01,3.8,3.0,3.4748
1957-07-01,3.96,2.99,3.2447
1957-08-01,4.02,3.24,3.4902
1957-09-01,4.06,3.47,3.4852
1957-10-01,4.09,3.5,2.9019
1957-11-01,3.7,3.28,3.2192
1957-12-01,3.11,2.98,2.9949
1958-01-01,2.78,2.72,3.4456
1958-02-01,2.58,1.67,3.1861
1958-03-01,2.4,1.2,3.5611
1958-04-01,2.15,1.26,3.5523
1958-05-01,2.07,0.63,3.302
1958-06-01,2.08,0.93,2.8062
1958-07-01,2.42,0.68,2.4528
1958-08-01,3.06,1.53,2.307
1958-09-01,3.52,1.76,2.0619
1958-10-01,3.67,1.8,2.0619
1958-11-01,3.6,2.27,1.8829
1958-12-01,3.72,2.42,1.741
1959-01-01,3.91,2.48,1.2836
1959-02-01,3.92,2.43,1.0399
1959-03-01,3.97,2.8,0.3458
1959-04-01,4.03,2.96,0.1381
1959-05-01,4.25,2.9,0.3449
1959-06-01,4.52,3.39,0.6894
1959-07-01,4.6,3.47,0.8959
1959-08-01,4.6,3.5,0.8259
1959-09-01,4.97,3.76,1.1692
1959-10-01,4.78,3.98,1.5105
1959-11-01,4.85,4.0,1.3722
1959-12-01,5.12,3.99,1.5074
1960-01-01,4.99,3.99,1.2333
1960-02-01,4.73,3.97,1.4039
1960-03-01,4.29,3.84,1.5074
1960-04-01,4.27,3.92,1.9139
1960-05-01,4.46,3.85,1.8086
1960-06-01,4.01,3.32,1.703
1960-07-01,3.63,3.23,1.3629
1960-08-01,3.41,2.98,1.4629
1960-09-01,3.43,2.6,1.2233
1960-10-01,3.53,2.47,1.3537
1960-11-01,3.6,2.44,1.4544
1960-12-01,3.42,1.98,1.3509
1961-01-01,3.39,1.45,1.5876
1961-02-01,3.46,2.54,1.4515
1961-03-01,3.35,2.02,1.4515
1961-04-01,3.33,1.49,0.9099
1961-05-01,3.23,1.98,0.9089
1961-06-01,3.63,1.73,0.7738
1961-07-01,3.59,1.17,1.2443
1961-08-01,3.76,2.0,1.1083
1961-09-01,3.73,1.88,1.2418
1961-10-01,3.62,2.26,0.7701
1961-11-01,3.61,2.61,0.6693
1961-12-01,3.72,2.33,0.6687
1962-01-01,3.76,2.15,0.668
1962-02-01,3.69,2.37,0.9008
1962-03-01,3.45,2.85,1.0998
1962-04-01,3.38,2.78,1.3329
1962-05-01,3.4,2.36,1.3316
1962-06-01,3.39,2.68,1.2323
1962-07-01,3.62,2.71,0.9977
1962-08-01,3.46,2.93,1.1292
1962-09-01,3.41,2.9,1.457
1962-10-01,3.33,2.9,1.3254
1962-11-01,3.4,2.94,1.3254
1962-12-01,3.37,2.93,1.2254
1963-01-01,3.4,2.92,1.3228
1963-02-01,3.39,3.0,1.2213
1963-03-01,3.41,2.98,1.1206
1963-04-01,3.5,2.9,0.8898
1963-05-01,3.54,3.0,0.8889
1963-06-01,3.61,2.99,1.3154
1963-07-01,3.76,3.02,1.5433
1963-08-01,3.77,3.49,1.5403
1963-09-01,3.82,3.48,0.9814
1963-10-01,3.87,3.5,1.2105
1963-11-01,3.95,3.48,1.3081
1963-12-01,4.01,3.38,1.6324
1964-01-01,4.04,3.48,1.6292
1964-02-01,4.0,3.48,1.4009
1964-03-01,4.12,3.43,1.3995
1964-04-01,4.15,3.47,1.5302
1964-05-01,4.04,3.5,1.5287
1964-06-01,4.01,3.5,1.2983
1964-07-01,3.93,3.42,1.0695
1964-08-01,3.93,3.5,0.9709
1964-09-01,4.01,3.45,1.1651
1964-10-01,4.02,3.36,1.1961
1964-11-01,4.04,3.52,1.3873
1964-12-01,4.08,3.85,1.1911
1965-01-01,4.03,3.9,1.0929
1965-02-01,4.08,3.98,1.1899
1965-03-01,4.13,4.04,1.1888
1965-04-01,4.12,4.09,1.3798
1965-05-01,4.11,4.1,1.6011
1965-06-01,4.08,4.04,1.9164
1965-07-01,4.09,4.09,1.7892
1965-08-01,4.16,4.12,1.5975
1965-09-01,4.24,4.01,1.7225
1965-10-01,4.33,4.08,1.6887
1965-11-01,4.45,4.1,1.7154
1965-12-01,4.79,4.32,1.9018
1966-01-01,4.9,4.42,1.9
1966-02-01,5.02,4.6,2.5254
1966-03-01,4.97,4.65,2.7408
1966-04-01,4.89,4.67,2.8277
1966-05-01,5.0,4.9,2.7262
1966-06-01,5.05,5.17,2.4067
1966-07-01,5.26,5.3,2.7176
1966-08-01,5.68,5.53,3.4271
1966-09-01,5.79,5.4,3.5113
1966-10-01,5.48,5.53,3.7214
1966-11-01,5.53,5.76,3.4972
1966-12-01,5.19,5.4,3.3043
1967-01-01,4.75,4.94,3.1494
1967-02-01,4.73,5.0,2.8275
1967-03-01,4.47,4.53,2.5162
1967-04-01,4.38,4.05,2.5085
1967-05-01,4.61,3.94,2.2919
1967-06-01,4.89,3.98,2.8016
1967-07-01,5.06,3.79,2.8855
1967-08-01,5.23,3.9,2.5701
1967-09-01,5.41,3.99,2.5623
1967-10-01,5.52,3.88,2.5546
1967-11-01,5.71,4.13,3.055
1967-12-01,5.71,4.51,3.228
1968-01-01,5.53,4.6,3.5825
1968-02-01,5.61,4.71,3.5718
1968-03-01,5.8,5.05,3.8638
1968-04-01,5.75,5.76,3.8523
1968-05-01,6.11,6.11,4.1426
1968-06-01,5.82,6.07,4.1182
1968-07-01,5.54,6.02,4.3931
1968-08-01,5.42,6.03,4.3803
1968-09-01,5.39,5.78,4.3675
1968-10-01,5.52,5.91,4.6385
1968-11-01,5.57,5.82,4.3297
1968-12-01,6.16,6.02,4.5985
1969-01-01,6.22,6.3,4.5853
1969-02-01,6.32,6.61,4.5722
1969-03-01,6.38,6.79,5.1148
1969-04-01,6.25,7.41,5.3761
1969-05-01,6.51,8.67,5.3609
1969-06-01,6.83,8.9,5.3309
1969-07-01,7.31,8.61,5.3011
1969-08-01,7.29,9.19,5.2863
1969-09-01,7.77,9.15,5.5416
1969-10-01,7.57,9.0,5.511
1969-11-01,7.65,8.85,5.7629
1969-12-01,8.1,8.97,5.7314
1970-01-01,8.24,8.98,5.98
1970-02-01,7.79,8.98,6.2266
1970-03-01,7.15,7.76,5.9157
1970-04-01,7.39,8.1,5.8841
1970-05-01,7.94,7.94,5.8684
1970-06-01,7.84,7.6,5.8372
1970-07-01,7.56,7.21,5.5496
1970-08-01,7.46,6.61,5.535
1970-09-01,7.11,6.29,5.506
1970-10-01,6.96,6.2,5.4772
1970-11-01,6.25,5.6,5.4488
1970-12-01,5.75,4.9,5.4207
1971-01-01,5.61,4.14,5.1425
1971-02-01,5.07,3.72,4.6162
1971-03-01,4.5,3.71,4.343
1971-04-01,5.22,4.15,4.0718
1971-05-01,5.97,4.63,4.3099
1971-06-01,6.32,4.91,4.2882
1971-07-01,6.74,5.31,4.2774
1971-08-01,6.35,5.56,4.2666
1971-09-01,5.89,5.55,4.0005
1971-10-01,5.56,5.2,3.7364
1971-11-01,5.35,4.91,3.4743
1971-12-01,5.27,4.14,3.2141
1972-01-01,5.14,3.5,3.2062
1972-02-01,5.25,3.29,3.6905
1972-03-01,5.56,3.83,3.4401
1972-04-01,5.88,4.17,3.4317
1972-05-01,5.55,4.27,3.1749
1972-06-01,5.64,4.46,2.9199
1972-07-01,5.78,4.55,2.9128
1972-08-01,5.79,4.8,2.9058
1972-09-01,6.06,4.87,3.1366
1972-10-01,6.05,5.04,3.129
1972-11-01,5.94,5.06,3.3576
1972-12-01,6.01,5.33,3.3496
1973-01-01,6.27,5.94,3.5761
1973-02-01,6.58,6.58,3.7919
1973-03-01,6.86,7.09,4.7179
1973-04-01,6.78,7.12,5.1655
1973-05-01,6.83,7.84,5.3814
1973-06-01,6.84,8.49,5.8224
1973-07-01,7.54,10.4,5.5828
1973-08-01,7.89,10.5,7.1377
1973-09-01,7.25,10.78,7.1049
1973-10-01,6.81,10.01,7.7487
1973-11-01,7.0,10.03,7.9317
1973-12-01,6.81,9.95,8.5638
1974-01-01,6.96,9.65,9.1684
1974-02-01,6.76,8.97,9.531
1974-03-01,7.35,9.35,9.6566
1974-04-01,8.05,10.51,9.5934
1974-05-01,8.27,11.31,10.1709
1974-06-01,8.15,11.93,10.3096
1974-07-01,8.41,12.92,10.9199
1974-08-01,8.66,12.01,10.3359
1974-09-01,8.41,11.34,11.2854
1974-10-01,8.0,10.06,11.1918
1974-11-01,7.61,9.45,11.5117
1974-12-01,7.24,8.53,11.4177
1975-01-01,7.23,7.13,11.1113
1975-02-01,6.65,6.24,10.6206
1975-03-01,6.81,5.54,9.9486
1975-04-01,7.76,5.49,9.701
1975-05-01,7.39,5.22,8.8553
1975-06-01,7.17,5.55,8.7861
1975-07-01,7.72,6.1,9.106
1975-08-01,8.16,6.14,8.266
1975-09-01,8.29,6.24,7.6082
1975-10-01,7.81,5.82,7.3688
1975-11-01,7.46,5.22,7.1191
1975-12-01,7.43,5.2,6.8864
1976-01-01,6.99,4.87,6.4777
1976-02-01,7.06,4.77,6.0848
1976-03-01,7.13,4.84,5.8841
1976-04-01,6.84,4.82,5.6844
1976-05-01,7.27,5.29,6.0292
1976-06-01,7.31,5.48,5.8093
1976-07-01,7.12,5.31,5.4067
1976-08-01,6.86,5.29,5.562
1976-09-01,6.66,5.25,5.3489
1976-10-01,6.24,5.02,5.3204
1976-11-01,6.09,4.95,4.9393
1976-12-01,5.68,4.65,4.9133
1977-01-01,6.22,4.61,5.0666
1977-02-01,6.44,4.68,5.9045
1977-03-01,6.47,4.69,6.2304
1977-04-01,6.31,4.73,6.7209
1977-05-01,6.55,5.35,6.5203
1977-06-01,6.39,5.39,6.4869
1977-07-01,6.51,5.42,6.4539
1977-08-01,6.79,5.9,6.4211
1977-09-01,6.84,6.14,6.2257
1977-10-01,7.19,6.47,6.1944
1977-11-01,7.22,6.51,6.4969
1977-12-01,7.3,6.56,6.4646
1978-01-01,7.61,6.7,6.5922
1978-02-01,7.67,6.78,6.0525
1978-03-01,7.7,6.79,6.1808
1978-04-01,7.85,6.89,6.2975
1978-05-01,8.07,7.36,6.8993
1978-06-01,8.3,7.6,7.1744
1978-07-01,8.54,7.81,7.446
1978-08-01,8.33,8.04,7.5627
1978-09-01,8.41,8.45,8.1422
1978-10-01,8.62,8.96,8.5522
1978-11-01,9.04,9.76,8.4993
1978-12-01,9.33,10.03,8.6075
1979-01-01,9.5,10.07,8.8472
1979-02-01,9.29,10.06,9.3866
1979-03-01,9.38,10.09,9.7602
1979-04-01,9.43,10.01,9.9711
1979-05-01,9.42,10.24,10.1633
1979-06-01,8.95,10.29,10.5053
1979-07-01,8.94,10.47,10.8409
1979-08-01,9.14,10.94,11.1864
1979-09-01,9.69,11.43,11.2254
1979-10-01,10.95,13.77,11.3967
1979-11-01,11.18,13.18,11.8606
1979-12-01,10.71,13.78,12.447
1980-01-01,10.88,13.82,12.9875
1980-02-01,12.84,14.13,13.2447
1980-03-01,14.05,17.19,13.621
1980-04-01,12.02,17.61,13.6184
1980-05-01,9.44,10.98,13.4756
1980-06-01,8.91,9.47,13.3358
1980-07-01,9.27,9.03,12.355
1980-08-01,10.63,9.61,12.1245
1980-09-01,11.57,10.87,12.017
1980-10-01,12.01,12.81,11.8964
1980-11-01,13.31,15.85,11.8952
1980-12-01,13.65,18.9,11.6482
1981-01-01,13.01,19.08,11.1496
1981-02-01,13.65,15.93,10.7889
1981-03-01,13.51,14.7,10.0856
1981-04-01,14.09,15.72,9.6546
1981-05-01,15.08,18.52,9.3417
1981-06-01,14.29,19.1,9.2552
1981-07-01,15.15,19.04,10.2329
1981-08-01,16.0,17.82,10.2713
1981-09-01,16.22,15.87,10.4049
1981-10-01,15.5,15.08,9.7776
1981-11-01,13.11,13.31,9.148
1981-12-01,13.66,12.37,8.537
1982-01-01,14.64,13.22,7.9337
1982-02-01,14.73,14.78,7.3377
1982-03-01,14.13,14.68,6.6582
1982-04-01,14.18,14.94,6.4118
1982-05-01,13.77,14.45,6.6835
1982-06-01,14.48,14.15,6.9361
1982-07-01,14.0,12.59,6.3513
1982-08-01,12.62,10.12,5.7941
1982-09-01,12.03,10.31,4.8227
1982-10-01,10.62,9.71,4.9096
1982-11-01,9.98,9.2,4.3803
1982-12-01,9.88,8.95,3.7544
