dateid01,g,inf,u
1948-01-01,2.267,2.119,3.7
1948-04-01,2.517,1.592,3.7
1948-07-01,2.418,1.684,3.8
1948-10-01,0.429,-0.918,3.8
1949-01-01,-1.888,-0.951,4.7
1949-04-01,-1.344,-0.109,5.9
1949-07-01,0.589,-0.836,6.7
1949-10-01,-0.842,-0.24,7.0
1950-01-01,3.764,-0.309,6.4
1950-04-01,3.378,0.763,5.6
1950-07-01,6.123,1.834,4.6
1950-10-01,3.825,2.025,4.2
1951-01-01,5.027,4.066,3.5
1951-04-01,2.408,0.973,3.1
1951-07-01,2.119,-0.054,3.2
1951-10-01,1.364,1.481,3.4
1952-01-01,1.01,0.38,3.1
1952-04-01,0.333,0.265,3.0
1952-07-01,1.854,0.68,3.2
1952-10-01,3.559,0.112,2.8
1953-01-01,1.915,-0.288,2.7
1953-04-01,0.978,0.376,2.6
1953-07-01,-0.153,0.46,2.7
1953-10-01,-1.328,0.175,3.7
1954-01-01,-0.155,0.234,5.3
1954-04-01,0.207,-0.16,5.8
1954-07-01,1.267,-0.26,6.0
1954-10-01,2.222,-0.309,5.3
1955-01-01,3.372,0.135,4.7
1955-04-01,2.03,-0.134,4.4
1955-07-01,2.061,0.075,4.1
1955-10-01,1.601,0.299,4.2
1956-01-01,0.617,0.011,4.0
1956-04-01,1.43,0.659,4.2
1956-07-01,1.164,1.036,4.1
1956-10-01,2.058,0.853,4.1
1957-01-01,2.016,0.824,3.9
1957-04-01,0.467,0.85,4.1
1957-07-01,1.586,0.892,4.2
1957-10-01,-0.958,0.485,4.9
1958-01-01,-1.535,1.187,6.3
1958-04-01,0.939,0.672,7.4
1958-07-01,2.94,-0.059,7.3
1958-10-01,2.815,0.104,6.4
1959-01-01,2.138,0.173,5.8
1959-04-01,2.563,0.172,5.1
1959-07-01,0.191,0.516,5.3
1959-10-01,0.781,0.606,5.6
1960-01-01,2.645,0.092,5.1
1960-04-01,-0.11,0.599,5.2
1960-07-01,0.608,0.057,5.5
1960-10-01,-0.897,0.642,6.3
1961-01-01,0.887,0.201,6.8
1961-04-01,2.107,-0.034,7.0
1961-07-01,1.938,0.392,6.8
1961-10-01,2.358,0.144,6.2
1962-01-01,2.338,0.39,5.6
1962-04-01,1.243,0.375,5.5
1962-07-01,1.162,0.288,5.6
1962-10-01,0.574,0.241,5.5
1963-01-01,1.566,0.319,5.8
1963-04-01,1.461,0.184,5.7
1963-07-01,2.089,0.612,5.5
1963-10-01,1.519,0.27,5.6
1964-01-01,2.489,0.412,5.5
1964-04-01,1.445,0.162,5.2
1964-07-01,1.763,0.226,5.0
1964-10-01,0.808,0.461,5.0
1965-01-01,2.978,0.311,4.9
1965-04-01,1.835,0.639,4.7
1965-07-01,2.43,0.295,4.4
1965-10-01,3.053,0.529,4.1
1966-01-01,3.13,0.935,3.9
1966-04-01,1.242,0.905,3.8
1966-07-01,1.685,0.866,3.8
1966-10-01,1.718,0.816,3.7
1967-01-01,1.33,0.255,3.8
1967-04-01,0.603,0.607,3.8
1967-07-01,1.821,1.004,3.8
1967-10-01,1.916,1.096,3.9
1968-01-01,3.159,0.983,3.7
1968-04-01,2.766,0.974,3.6
1968-07-01,1.709,1.352,3.5
1968-10-01,1.869,1.237,3.4
1969-01-01,2.608,1.225,3.4
1969-04-01,1.607,1.578,3.4
1969-07-01,2.037,1.372,3.6
1969-10-01,0.843,1.535,3.6
1970-01-01,1.23,1.6,4.2
1970-04-01,1.576,1.399,4.8
1970-07-01,1.719,1.035,5.2
1970-10-01,0.276,1.453,5.8
1971-01-01,4.242,0.841,5.9
1971-04-01,1.898,0.919,5.9
1971-07-01,1.803,0.993,6.0
1971-10-01,1.127,0.737,5.9
1972-01-01,3.368,0.812,5.8
1972-04-01,2.942,0.646,5.7
1972-07-01,1.866,0.8,5.6
1972-10-01,2.953,1.035,5.4
1973-01-01,3.656,1.572,4.9
1973-04-01,2.673,2.091,4.9
1973-07-01,1.354,1.973,4.8
1973-10-01,2.944,2.529,4.8
1974-01-01,1.055,2.976,5.1
1974-04-01,2.643,2.679,5.2
1974-07-01,1.903,2.813,5.6
1974-10-01,2.533,3.072,6.6
1975-01-01,1.036,2.137,8.3
1975-04-01,2.272,1.204,8.9
1975-07-01,3.465,2.006,8.5
1975-10-01,3.04,1.843,8.3
1976-01-01,3.318,1.145,7.7
1976-04-01,1.776,0.894,7.6
1976-07-01,1.809,1.596,7.7
1976-10-01,2.534,1.454,7.8
1977-01-01,2.791,1.835,7.5
1977-04-01,3.398,1.745,7.1
1977-07-01,3.019,1.385,6.9
1977-10-01,2.181,1.474,6.7
1978-01-01,1.844,1.72,6.3
1978-04-01,5.791,2.275,6.0
1978-07-01,2.666,2.327,6.0
1978-10-01,3.472,2.324,5.9
1979-01-01,1.99,2.519,5.9
1979-04-01,2.54,3.179,5.7
1979-07-01,2.87,3.221,5.9
1979-10-01,2.258,3.166,6.0
1980-01-01,2.41,3.946,6.3
1980-04-01,0.122,3.375,7.3
1980-07-01,2.147,1.876,7.7
1980-10-01,4.668,2.804,7.4
1981-01-01,4.62,2.765,7.4
1981-04-01,1.134,2.086,7.4
1981-07-01,2.965,2.785,7.4
1981-10-01,0.684,1.626,8.2
1982-01-01,-0.295,0.888,8.8
1982-04-01,1.756,1.445,9.4
1982-07-01,1.075,1.736,9.9
1982-10-01,1.209,0.307,10.7
1983-01-01,2.127,0.068,10.4
1983-04-01,2.974,1.156,10.1
1983-07-01,3.028,0.975,9.4
1983-10-01,2.811,0.999,8.5
1984-01-01,3.074,1.417,7.9
1984-04-01,2.612,0.943,7.4
1984-07-01,1.803,0.87,7.4
1984-10-01,1.473,0.862,7.3
1985-01-01,2.155,0.918,7.2
1985-04-01,1.541,0.909,7.3
1985-07-01,2.145,0.622,7.2
1985-10-01,1.331,1.019,7.0
1986-01-01,1.419,0.52,7.0
1986-04-01,0.861,-0.487,7.2
1986-07-01,1.414,0.612,7.0
1986-10-01,1.078,0.699,6.8
1987-01-01,1.431,1.207,6.6
1987-04-01,1.801,1.133,6.3
1987-07-01,1.638,1.061,6.0
1987-10-01,2.494,0.933,5.8
1988-01-01,1.352,0.78,5.7
1988-04-01,2.3,1.148,5.5
1988-07-01,1.763,1.219,5.5
1988-10-01,2.136,1.092,5.3
1989-01-01,2.119,1.136,5.2
1989-04-01,1.827,1.616,5.2
1989-07-01,1.478,0.782,5.2
1989-10-01,0.907,1.017,5.4
1990-01-01,2.211,1.721,5.3
1990-04-01,1.424,0.99,5.3
1990-07-01,0.917,1.727,5.7
1990-10-01,-0.103,1.698,6.1
1991-01-01,0.525,0.748,6.6
1991-04-01,1.465,0.594,6.8
1991-07-01,1.218,0.762,6.9
1991-10-01,0.979,0.829,7.1
1992-01-01,1.616,0.678,7.4
1992-04-01,1.747,0.769,7.6
1992-07-01,1.451,0.764,7.6
1992-10-01,1.687,0.876,7.4
1993-01-01,0.755,0.728,7.1
1993-04-01,1.206,0.722,7.1
1993-07-01,1.092,0.463,6.8
1993-10-01,1.863,0.829,6.6
1994-01-01,1.472,0.502,6.6
1994-04-01,1.871,0.568,6.2
1994-07-01,1.135,0.927,6.0
1994-10-01,1.692,0.582,5.6
1995-01-01,0.918,0.734,5.5
1995-04-01,0.79,0.817,5.7
1995-07-01,1.336,0.504,5.7
1995-10-01,1.207,0.545,5.6
1996-01-01,1.2,0.889,5.5
1996-04-01,2.134,0.86,5.5
1996-07-01,1.209,0.575,5.3
1996-10-01,1.57,0.869,5.3
1997-01-01,1.388,0.609,5.2
1997-04-01,1.783,0.23,5.0
1997-07-01,1.636,0.5,4.9
1997-10-01,1.11,0.539,4.7
1998-01-01,1.154,0.206,4.6
1998-04-01,1.181,0.329,4.4
1998-07-01,1.688,0.513,4.5
1998-10-01,1.959,0.469,4.4
1999-01-01,1.302,0.366,4.3
1999-04-01,1.163,0.749,4.3
1999-07-01,1.625,0.743,4.2
1999-10-01,2.201,0.737,4.1
2000-01-01,1.057,0.99,4.0
2000-04-01,2.465,0.784,3.9
2000-07-01,0.77,0.914,4.0
2000-10-01,1.109,0.713,3.9
2001-01-01,0.342,0.957,4.2
2001-04-01,1.24,0.701,4.4
2001-07-01,0.01,0.282,4.8
2001-10-01,0.581,-0.075,5.5
2002-01-01,1.244,0.319,5.7
2002-04-01,0.927,0.786,5.8
2002-07-01,0.936,0.538,5.7
2002-10-01,0.604,0.591,5.9
2003-01-01,1.137,1.029,5.9
2003-04-01,1.252,-0.164,6.1
2003-07-01,2.237,0.746,6.1
2003-10-01,1.649,0.38,5.8
2004-01-01,1.452,0.846,5.7
2004-04-01,1.61,0.786,5.6
2004-07-01,1.529,0.638,5.4
2004-10-01,1.573,1.074,5.4
2005-01-01,2.002,0.505,5.3
2005-04-01,1.252,0.676,5.1
2005-07-01,1.783,1.514,5.0
2005-10-01,1.334,0.932,5.0
2006-01-01,1.998,0.521,4.7
2006-04-01,1.106,0.902,4.6
2006-07-01,0.788,0.944,4.6
2006-10-01,1.135,-0.41,4.4
2007-01-01,1.186,0.981,4.5
2007-04-01,1.329,1.133,4.5
