default,arm,refinance,lien2,term30,underwater,ltv,rate,amount,fico
0.0,1.0,1.0,0.0,1.0,1.0,67.4,5.99,37.0,707.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,7.58,19.5,667.0
0.0,0.0,1.0,0.0,1.0,0.0,42.0,5.767,8.946,731.0
0.0,1.0,0.0,0.0,1.0,1.0,78.6,6.25,18.0,742.0
0.0,1.0,0.0,0.0,1.0,1.0,86.0,7.5,15.48,674.0
1.0,0.0,1.0,0.0,1.0,1.0,57.94,5.625,11.1,685.0
1.0,1.0,1.0,0.0,1.0,1.0,72.91,5.875,40.1,642.0
1.0,1.0,1.0,0.0,1.0,1.0,80.0,6.625,12.4,634.0
0.0,0.0,0.0,0.0,1.0,0.0,85.0,6.99,12.7415,754.0
0.0,0.0,1.0,0.0,1.0,0.0,54.1,5.75,16.5,661.0
0.0,0.0,1.0,0.0,1.0,1.0,83.13,6.5,20.7,559.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,2.0,23.44,632.0
1.0,0.0,1.0,0.0,1.0,1.0,89.76,5.75,38.15,656.0
0.0,1.0,0.0,0.0,1.0,1.0,94.99,8.625,55.95,624.0
0.0,1.0,1.0,0.0,1.0,1.0,79.27,8.225,32.5,610.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,5.0,20.32,504.0
0.0,1.0,1.0,0.0,1.0,1.0,83.05,6.25,26.99,626.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,6.5,18.0,600.0
0.0,0.0,1.0,0.0,1.0,1.0,47.27,5.99,13.0,809.0
0.0,0.0,1.0,0.0,1.0,1.0,66.67,6.99,14.0,630.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,5.0,22.4,581.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,10.25,24.4,504.0
0.0,1.0,1.0,0.0,1.0,1.0,85.0,2.0,20.4,614.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,8.95,19.5,602.0
1.0,1.0,1.0,0.0,1.0,1.0,95.0,5.5,32.3,635.0
0.0,1.0,1.0,0.0,1.0,1.0,70.0,8.425,31.15,588.0
1.0,1.0,1.0,0.0,1.0,1.0,85.0,5.125,28.05,574.0
0.0,0.0,1.0,0.0,1.0,1.0,61.2,6.962,15.3,548.0
1.0,1.0,1.0,0.0,1.0,1.0,80.0,3.43,24.96,586.0
0.0,1.0,1.0,0.0,1.0,1.0,69.91,3.5,46.002,633.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,10.5,25.44,536.0
1.0,1.0,1.0,0.0,1.0,1.0,80.0,5.0,27.2,643.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,5.25,18.88,552.0
0.0,1.0,0.0,0.0,1.0,1.0,78.81,5.0,26.4,741.0
0.0,0.0,0.0,1.0,1.0,0.0,19.7,5.0,6.6,741.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,7.875,22.16,638.0
0.0,1.0,1.0,0.0,1.0,1.0,51.16,5.01,11.0,546.0
1.0,1.0,1.0,0.0,1.0,1.0,100.0,4.5,31.17,631.0
0.0,1.0,0.0,0.0,1.0,1.0,100.0,5.0,26.0,628.0
0.0,1.0,1.0,0.0,1.0,1.0,85.0,7.47,15.47,589.0
1.0,1.0,1.0,0.0,1.0,1.0,80.0,10.45,18.0,596.0
0.0,0.0,1.0,0.0,1.0,1.0,90.0,8.9,17.1,661.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,5.075,22.0,726.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,6.875,16.432,735.0
1.0,0.0,0.0,1.0,0.0,0.0,20.0,9.99,4.108,735.0
0.0,0.0,1.0,0.0,1.0,1.0,72.41,7.85,19.55,529.0
1.0,1.0,0.0,0.0,1.0,1.0,95.0,6.5,30.685,666.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,7.7,14.8,602.0
0.0,0.0,0.0,1.0,1.0,0.0,19.6,10.5,9.8,656.0
1.0,0.0,1.0,0.0,0.0,1.0,108.8,5.99,21.76,580.0
1.0,1.0,0.0,0.0,1.0,1.0,90.0,8.625,36.63,577.0
0.0,1.0,1.0,0.0,1.0,0.0,90.0,5.75,19.8,651.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,7.25,16.8,639.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,7.0,19.2,631.0
0.0,1.0,1.0,0.0,1.0,1.0,68.42,5.625,19.5,534.0
0.0,0.0,1.0,0.0,1.0,0.0,50.83,6.725,9.2,752.0
0.0,0.0,1.0,0.0,1.0,0.0,58.82,8.6,5.0,585.0
0.0,1.0,1.0,0.0,1.0,1.0,69.0,4.875,10.0,661.0
0.0,0.0,0.0,1.0,1.0,0.0,20.0,10.99,4.01,699.0
0.0,0.0,1.0,0.0,1.0,1.0,90.0,6.99,16.56,614.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,6.65,30.8,655.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,9.09,21.2,517.0
1.0,1.0,0.0,0.0,1.0,1.0,79.08,7.375,20.72,696.0
1.0,1.0,0.0,0.0,1.0,1.0,82.86,7.375,23.2,600.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,6.125,18.96,668.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,7.745,18.4,596.0
0.0,0.0,1.0,0.0,1.0,0.0,49.34,7.55,18.65,578.0
0.0,1.0,1.0,0.0,1.0,1.0,50.19,5.125,12.9,501.0
0.0,0.0,1.0,0.0,1.0,1.0,93.06,6.99,22.8,600.0
0.0,1.0,1.0,0.0,0.0,1.0,75.86,4.0,22.0,684.0
0.0,0.0,1.0,0.0,1.0,1.0,70.0,5.99,14.0,660.0
0.0,0.0,1.0,1.0,0.0,0.0,15.0,8.25,2.745,754.0
1.0,0.0,0.0,0.0,1.0,1.0,98.45,6.5,9.747,743.0
0.0,0.0,0.0,0.0,1.0,1.0,89.84,5.8,13.476,789.0
0.0,0.0,0.0,0.0,1.0,0.0,80.0,5.875,11.2,797.0
1.0,0.0,0.0,1.0,1.0,1.0,68.66,5.0,6.66,659.0
0.0,1.0,1.0,0.0,1.0,1.0,53.0,7.65,15.0,614.0
0.0,0.0,0.0,1.0,1.0,0.0,56.11,2.0,5.6108,613.0
0.0,0.0,1.0,1.0,0.0,1.0,64.52,10.45,4.0,664.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,6.0,21.825,504.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,7.95,14.775,633.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,6.59,13.6,654.0
1.0,1.0,1.0,0.0,1.0,1.0,109.0,6.5,22.89,589.0
0.0,1.0,1.0,0.0,1.0,1.0,94.22,5.125,21.2,619.0
0.0,0.0,0.0,1.0,1.0,0.0,20.0,13.15,5.5,609.0
0.0,0.0,1.0,0.0,1.0,1.0,57.37,5.75,21.8,685.0
0.0,0.0,0.0,1.0,1.0,0.0,69.25,3.747,4.64,602.0
0.0,0.0,0.0,1.0,0.0,0.0,35.0,8.25,21.875,695.0
0.0,0.0,0.0,1.0,0.0,0.0,20.0,8.875,4.455,722.0
0.0,0.0,0.0,1.0,1.0,0.0,15.0,7.625,4.005,810.0
0.0,0.0,0.0,1.0,0.0,1.0,61.24,3.95,4.97,716.0
0.0,0.0,0.0,1.0,1.0,0.0,20.0,10.125,8.2,733.0
0.0,0.0,1.0,1.0,1.0,0.0,20.0,11.55,6.0,634.0
0.0,0.0,0.0,1.0,0.0,1.0,47.75,10.125,11.125,691.0
0.0,0.0,1.0,1.0,0.0,0.0,17.19,7.5,5.5,690.0
0.0,0.0,0.0,1.0,0.0,1.0,50.72,9.875,6.34,734.0
0.0,0.0,0.0,1.0,0.0,0.0,52.31,2.0,6.8,687.0
0.0,0.0,1.0,0.0,0.0,0.0,46.73,7.39,16.6,660.0
0.0,0.0,0.0,1.0,0.0,0.0,20.0,11.75,4.5,616.0
0.0,0.0,0.0,1.0,0.0,1.0,89.36,5.741,4.2,666.0
0.0,0.0,0.0,1.0,0.0,0.0,20.0,12.7,7.598,638.0
0.0,0.0,0.0,1.0,0.0,0.0,67.65,2.0,4.6,644.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,6.52,34.0,675.0
0.0,1.0,1.0,0.0,1.0,1.0,76.12,5.15,20.4,611.0
0.0,1.0,1.0,0.0,1.0,1.0,90.0,7.48,25.2,626.0
0.0,0.0,1.0,0.0,1.0,1.0,51.01,6.85,10.15,658.0
0.0,0.0,1.0,1.0,1.0,0.0,37.14,9.875,2.6,688.0
0.0,0.0,0.0,1.0,0.0,0.0,54.29,5.75,5.7,696.0
0.0,1.0,0.0,1.0,0.0,0.0,13.75,4.0,7.7,732.0
0.0,0.0,0.0,1.0,0.0,0.0,8.0,12.875,2.0,690.0
0.0,0.0,0.0,1.0,0.0,0.0,20.0,9.5,6.329,756.0
0.0,0.0,0.0,1.0,0.0,0.0,10.0,10.5,2.88,672.0
1.0,0.0,0.0,1.0,0.0,0.0,10.0,10.67,2.83,728.0
0.0,0.0,0.0,1.0,1.0,0.0,20.0,6.0,5.36,696.0
0.0,1.0,0.0,0.0,1.0,1.0,85.36,3.5,20.4,592.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,8.95,20.4,616.0
0.0,0.0,1.0,0.0,1.0,1.0,69.42,6.5,27.7,628.0
0.0,0.0,1.0,0.0,1.0,0.0,64.96,6.95,8.25,632.0
0.0,1.0,0.0,0.0,1.0,1.0,90.0,7.95,15.03,583.0
1.0,0.0,1.0,0.0,1.0,1.0,90.0,7.607,17.1,653.0
0.0,0.0,1.0,0.0,1.0,1.0,90.0,6.871,31.95,724.0
0.0,0.0,1.0,0.0,0.0,1.0,69.77,6.793,24.42,654.0
0.0,1.0,0.0,0.0,1.0,1.0,108.89,3.95,7.84,631.0
0.0,0.0,0.0,1.0,1.0,0.0,27.22,2.0,1.96,631.0
0.0,0.0,0.0,1.0,1.0,0.0,70.13,6.0,5.4,694.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,6.15,123.2,736.0
0.0,0.0,1.0,1.0,1.0,0.0,45.24,9.99,5.7,656.0
0.0,0.0,1.0,0.0,0.0,0.0,37.6,5.71,4.7,604.0
0.0,0.0,1.0,0.0,1.0,1.0,94.37,7.67,25.48,681.0
0.0,0.0,1.0,0.0,1.0,1.0,88.24,5.75,30.0,717.0
0.0,0.0,0.0,1.0,1.0,0.0,76.67,2.0,4.6,714.0
0.0,0.0,0.0,1.0,1.0,0.0,83.64,2.0,4.6,630.0
0.0,0.0,1.0,0.0,1.0,1.0,61.36,5.75,8.59,708.0
0.0,0.0,1.0,0.0,1.0,1.0,77.27,6.541,17.0,759.0
0.0,0.0,1.0,0.0,1.0,1.0,59.07,5.912,12.7,656.0
0.0,0.0,1.0,0.0,1.0,1.0,81.68,6.933,20.42,674.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,4.401,20.0,662.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,5.375,12.4,591.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,5.625,37.6,715.0
0.0,0.0,0.0,0.0,1.0,0.0,80.0,6.5,24.0,699.0
0.0,1.0,0.0,0.0,1.0,1.0,75.0,4.125,35.625,687.0
0.0,1.0,1.0,1.0,0.0,0.0,21.99,3.875,13.635,663.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.375,22.8,796.0
0.0,0.0,1.0,0.0,0.0,0.0,62.44,5.75,5.62,719.0
0.0,0.0,0.0,0.0,1.0,1.0,70.0,6.5,14.7,816.0
0.0,1.0,1.0,0.0,1.0,1.0,64.43,3.375,19.33,730.0
0.0,0.0,1.0,0.0,1.0,1.0,80.0,5.875,18.4,720.0
0.0,1.0,1.0,0.0,1.0,1.0,57.58,5.25,19.0,717.0
0.0,1.0,1.0,0.0,1.0,1.0,63.38,5.125,45.0,756.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,6.375,16.24,665.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,6.75,19.92,703.0
0.0,1.0,0.0,0.0,0.0,0.0,29.57,4.375,2.15,729.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,2.821,21.04,727.0
0.0,1.0,0.0,0.0,0.0,1.0,47.48,4.625,5.698,708.0
0.0,1.0,1.0,0.0,0.0,1.0,64.1,4.121,23.6531,666.0
0.0,1.0,1.0,0.0,1.0,1.0,62.5,5.875,20.0,772.0
0.0,1.0,1.0,0.0,1.0,1.0,76.09,3.871,17.5,692.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,5.625,24.0,664.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,6.125,25.44,743.0
0.0,1.0,0.0,0.0,1.0,1.0,95.0,4.696,19.95,722.0
0.0,1.0,1.0,0.0,0.0,1.0,85.82,2.0,23.6,771.0
0.0,1.0,0.0,1.0,0.0,1.0,62.27,3.875,5.48,742.0
0.0,1.0,1.0,1.0,0.0,0.0,40.0,4.25,5.0,718.0
0.0,0.0,1.0,1.0,0.0,0.0,28.3,8.875,15.0,762.0
0.0,1.0,1.0,0.0,1.0,0.0,37.88,2.791,27.5,756.0
0.0,1.0,1.0,0.0,0.0,1.0,61.54,3.971,20.0,795.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,3.171,28.0,746.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,2.0,22.04,703.0
0.0,1.0,1.0,0.0,0.0,1.0,78.57,3.721,22.0,724.0
0.0,1.0,1.0,0.0,0.0,1.0,60.98,3.371,15.0,753.0
0.0,1.0,1.0,0.0,1.0,0.0,37.21,6.75,22.7,789.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,7.25,13.44,751.0
0.0,1.0,1.0,0.0,0.0,1.0,72.26,3.871,28.0,663.0
1.0,1.0,1.0,0.0,0.0,1.0,75.0,4.221,22.5,661.0
0.0,0.0,1.0,0.0,1.0,0.0,69.97,8.74,7.55,612.0
0.0,0.0,0.0,1.0,0.0,0.0,20.0,9.4,5.76,668.0
0.0,1.0,0.0,0.0,1.0,1.0,79.76,4.75,13.24,641.0
0.0,1.0,0.0,0.0,1.0,1.0,77.78,3.375,35.0,754.0
0.0,1.0,1.0,0.0,1.0,1.0,69.52,3.75,20.3,697.0
1.0,1.0,0.0,0.0,1.0,0.0,18.57,4.125,12.72,751.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,2.875,10.08,714.0
0.0,1.0,0.0,0.0,1.0,1.0,90.0,2.625,21.15,772.0
0.0,1.0,1.0,0.0,1.0,1.0,60.67,2.625,33.37,722.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.625,29.2,768.0
0.0,1.0,0.0,0.0,1.0,1.0,65.63,2.75,18.375,773.0
0.0,1.0,0.0,0.0,1.0,1.0,60.0,2.625,26.7,800.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.125,18.0,771.0
0.0,1.0,1.0,0.0,1.0,1.0,70.0,3.625,45.5,758.0
0.0,1.0,0.0,0.0,1.0,1.0,56.67,2.625,25.5,716.0
0.0,1.0,0.0,0.0,1.0,1.0,79.56,3.0,21.88,720.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,3.25,22.65,697.0
0.0,1.0,1.0,0.0,1.0,1.0,73.22,2.75,51.4,642.0
0.0,1.0,0.0,0.0,1.0,1.0,79.63,2.625,25.48,754.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.125,22.4,752.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.0,20.4,700.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.375,17.2,749.0
0.0,1.0,1.0,0.0,1.0,1.0,76.8,4.875,19.2,684.0
0.0,1.0,0.0,0.0,1.0,0.0,31.48,3.875,8.5,701.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,4.625,15.44,689.0
0.0,1.0,1.0,0.0,1.0,1.0,80.0,3.625,13.6,665.0
0.0,1.0,1.0,0.0,1.0,1.0,76.0,3.5,22.42,760.0
0.0,1.0,0.0,0.0,1.0,1.0,79.23,2.75,24.56,691.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.25,12.96,758.0
0.0,1.0,1.0,0.0,1.0,1.0,67.5,3.75,27.0,743.0
0.0,1.0,1.0,0.0,1.0,1.0,49.14,3.0,17.2,705.0
0.0,1.0,0.0,0.0,1.0,1.0,75.0,5.625,17.25,816.0
