default,arm,refinance,lien2,term30,underwater,ltv,rate,amount,fico
1.0,0.0,1.0,0.0,1.0,1.0,75.0,4.25,17.625,644.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,7.24,18.712,654.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,7.75,30.0,647.0
1.0,1.0,1.0,0.0,1.0,1.0,80.0,5.0,20.0,504.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,6.0,46.8,798.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,7.8,26.36,679.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,3.5,14.36,755.0
0.0,1.0,1.0,0.0,1.0,1.0,78.75,7.75,25.2,626.0
0.0,0.0,1.0,1.0,1.0,0.0,15.0,6.5,4.65,653.0
1.0,1.0,0.0,0.0,1.0,1.0,80.0,6.25,21.6,775.0
1.0,0.0,0.0,0.0,1.0,1.0,80.0,8.625,19.2,688.0
1.0,1.0,0.0,0.0,1.0,1.0,90.0,8.85,23.85,607.0
1.0,0.0,0.0,0.0,1.0,1.0,79.49,4.125,25.04,622.0
0.0,1.0,0.0,0.0,1.0,1.0,77.09,6.99,16.96,620.0
0.0,1.0,1.0,0.0,1.0,1.0,65.63,3.171,26.25,716.0
0.0,1.0,0.0,0.0,1.0,1.0,79.6,5.875,55.16,767.0
0.0,0.0,1.0,0.0,1.0,1.0,75.0,6.875,24.375,684.0
0.0,1.0,1.0,0.0,1.0,1.0,75.0,6.58,22.425,658.0
0.0,0.0,0.0,0.0,1.0,1.0,80.0,6.375,48.0,780.0
1.0,0.0,1.0,0.0,1.0,1.0,70.0,3.875,15.4,737.0
1.0,0.0,1.0,0.0,1.0,1.0,85.0,7.45,16.15,613.0
1.0,0.0,1.0,0.0,1.0,1.0,79.67,3.375,16.73,680.0
0.0,1.0,0.0,0.0,0.0,1.0,79.91,5.0,36.2814,656.0
0.0,1.0,1.0,0.0,1.0,1.0,65.0,3.471,23.725,683.0
0.0,1.0,1.0,0.0,1.0,1.0,74.63,6.1,15.3,580.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,3.125,32.138,716.0
0.0,1.0,1.0,0.0,1.0,1.0,73.22,2.75,51.4,642.0
0.0,0.0,1.0,0.0,1.0,1.0,78.39,6.85,37.0,695.0
0.0,1.0,1.0,0.0,1.0,0.0,44.24,6.5,18.8,737.0
0.0,1.0,0.0,0.0,1.0,1.0,80.0,9.2,23.96,650.0
0.0,1.0,1.0,0.0,1.0,1.0,85.0,8.3,22.78,588.0
0.0,0.0,1.0,0.0,1.0,1.0,69.5,6.375,19.6,778.0
